2022-02-18T16-04-21,49085,LAKELAND HEALTHCARE,02/17/2022 12:00:00 AM,,5,,
2022-03-03T09-56-49,49085,LAKELAND HEALTHCARE,02/25/2022 12:00:00 AM,,10,5,02/23/2022 12:00:00 AM
2022-03-03T10-04-44,49085,LAKELAND HEALTHCARE,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,10,10,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,49085,LAKELAND HEALTHCARE,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,10,10,03/02/2022 12:00:00 AM
2022-03-18T11-17-38,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-03-28T06-21-17,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-03-29T08-50-48,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-03-30T09-27-07,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-03-31T08-53-07,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-03-31T15-09-22,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-04-01T06-54-45,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-04-02T06-05-59,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-04-03T05-51-54,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-04-04T05-38-24,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-04-05T05-48-33,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-04-06T05-45-18,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-04-07T05-34-07,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-04-08T05-48-29,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-04-09T05-41-09,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-04-10T09-31-27,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-04-11T07-06-23,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-04-12T07-06-55,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-04-13T09-20-57,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-04-13T11-55-39,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-04-14T09-18-06,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-04-15T06-03-51,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-04-16T05-33-42,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-04-17T05-32-24,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-04-18T05-31-10,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-04-19T05-39-24,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-04-20T05-27-37,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-04-21T05-29-54,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-04-22T05-26-18,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-04-23T05-25-10,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-04-24T05-22-24,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-04-25T05-22-33,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-04-26T05-20-54,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,18,04/25/2022 12:00:00 AM
2022-04-27T05-23-49,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,18,04/25/2022 12:00:00 AM
2022-04-28T09-22-45,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,18,04/25/2022 12:00:00 AM
2022-04-29T05-13-54,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,18,04/25/2022 12:00:00 AM
2022-04-30T05-15-55,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,18,04/25/2022 12:00:00 AM
2022-05-01T05-13-51,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,18,04/25/2022 12:00:00 AM
2022-05-02T06-02-50,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,18,04/25/2022 12:00:00 AM
2022-05-03T06-05-23,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,18,04/25/2022 12:00:00 AM
2022-05-04T05-12-02,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,16,05/03/2022 12:00:00 AM
2022-05-05T09-49-47,49085,LAKELAND HEALTHCARE,NLP,NLP,NLP,16,05/03/2022 12:00:00 AM
