2022-02-18T16-04-21,71075,SPRINGHILL MEDICAL CENTER,02/15/2022 12:00:00 AM,,5,5,02/18/2022 12:00:00 AM
2022-03-03T09-56-49,71075,SPRINGHILL MEDICAL CENTER,02/28/2022 12:00:00 AM,,15,5,02/18/2022 12:00:00 AM
2022-03-03T10-04-44,71075,SPRINGHILL MEDICAL CENTER,02/28/2022 12:00:00 AM,02/23/2022 12:00:00 AM,15,15,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,71075,SPRINGHILL MEDICAL CENTER,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,15,15,03/02/2022 12:00:00 AM
2022-03-29T08-50-48,71075,SPRINGHILL MEDICAL CENTER,NLP,NLP,NLP,15,03/02/2022 12:00:00 AM
2022-03-30T09-27-07,71075,SPRINGHILL MEDICAL CENTER,NLP,NLP,NLP,15,03/02/2022 12:00:00 AM
2022-03-31T08-53-07,71075,SPRINGHILL MEDICAL CENTER,NLP,NLP,NLP,15,03/02/2022 12:00:00 AM
2022-03-31T15-09-22,71075,SPRINGHILL MEDICAL CENTER,NLP,NLP,NLP,15,03/02/2022 12:00:00 AM
2022-04-01T06-54-45,71075,SPRINGHILL MEDICAL CENTER,NLP,NLP,NLP,15,03/02/2022 12:00:00 AM
2022-04-02T06-05-59,71075,SPRINGHILL MEDICAL CENTER,NLP,NLP,NLP,15,03/02/2022 12:00:00 AM
2022-04-03T05-51-54,71075,SPRINGHILL MEDICAL CENTER,NLP,NLP,NLP,15,03/02/2022 12:00:00 AM
2022-04-04T05-38-24,71075,SPRINGHILL MEDICAL CENTER,NLP,NLP,NLP,15,03/02/2022 12:00:00 AM
2022-04-05T05-48-33,71075,SPRINGHILL MEDICAL CENTER,NLP,NLP,NLP,15,03/02/2022 12:00:00 AM
2022-04-06T05-45-18,71075,SPRINGHILL MEDICAL CENTER,NLP,NLP,NLP,15,03/02/2022 12:00:00 AM
2022-04-07T05-34-07,71075,SPRINGHILL MEDICAL CENTER,NLP,NLP,NLP,15,03/02/2022 12:00:00 AM
2022-04-08T05-48-29,71075,SPRINGHILL MEDICAL CENTER,NLP,NLP,NLP,15,03/02/2022 12:00:00 AM
2022-04-09T05-41-09,71075,SPRINGHILL MEDICAL CENTER,NLP,NLP,NLP,15,03/02/2022 12:00:00 AM
2022-04-10T09-31-27,71075,SPRINGHILL MEDICAL CENTER,NLP,NLP,NLP,15,03/02/2022 12:00:00 AM
2022-04-11T07-06-23,71075,SPRINGHILL MEDICAL CENTER,NLP,NLP,NLP,15,03/02/2022 12:00:00 AM
2022-04-12T07-06-55,71075,SPRINGHILL MEDICAL CENTER,NLP,NLP,NLP,15,03/02/2022 12:00:00 AM
2022-04-13T09-20-57,71075,SPRINGHILL MEDICAL CENTER,NLP,NLP,NLP,15,03/02/2022 12:00:00 AM
2022-04-13T11-55-39,71075,SPRINGHILL MEDICAL CENTER,NLP,NLP,NLP,15,03/02/2022 12:00:00 AM
2022-04-14T09-18-06,71075,SPRINGHILL MEDICAL CENTER,NLP,NLP,NLP,15,03/02/2022 12:00:00 AM
2022-04-15T06-03-51,71075,SPRINGHILL MEDICAL CENTER,NLP,NLP,NLP,15,03/02/2022 12:00:00 AM
2022-04-16T05-33-42,71075,SPRINGHILL MEDICAL CENTER,NLP,NLP,NLP,15,03/02/2022 12:00:00 AM
2022-04-17T05-32-24,71075,SPRINGHILL MEDICAL CENTER,NLP,NLP,NLP,15,03/02/2022 12:00:00 AM
2022-04-18T05-31-10,71075,SPRINGHILL MEDICAL CENTER,NLP,NLP,NLP,15,03/02/2022 12:00:00 AM
2022-04-19T05-39-24,71075,SPRINGHILL MEDICAL CENTER,NLP,NLP,NLP,15,03/02/2022 12:00:00 AM
2022-04-20T05-27-37,71075,SPRINGHILL MEDICAL CENTER,NLP,NLP,NLP,15,03/02/2022 12:00:00 AM
2022-04-21T05-29-54,71075,SPRINGHILL MEDICAL CENTER,NLP,NLP,NLP,15,03/02/2022 12:00:00 AM
2022-04-22T05-26-18,71075,SPRINGHILL MEDICAL CENTER,NLP,NLP,NLP,15,03/02/2022 12:00:00 AM
2022-04-23T05-25-10,71075,SPRINGHILL MEDICAL CENTER,NLP,NLP,NLP,15,03/02/2022 12:00:00 AM
2022-04-24T05-22-24,71075,SPRINGHILL MEDICAL CENTER,NLP,NLP,NLP,15,03/02/2022 12:00:00 AM
2022-04-25T05-22-33,71075,SPRINGHILL MEDICAL CENTER,NLP,NLP,NLP,15,03/02/2022 12:00:00 AM
2022-04-26T05-20-54,71075,SPRINGHILL MEDICAL CENTER,NLP,NLP,NLP,15,03/02/2022 12:00:00 AM
2022-04-27T05-23-49,71075,SPRINGHILL MEDICAL CENTER,NLP,NLP,NLP,15,03/02/2022 12:00:00 AM
2022-04-28T09-22-45,71075,SPRINGHILL MEDICAL CENTER,NLP,NLP,NLP,15,03/02/2022 12:00:00 AM
2022-04-29T05-13-54,71075,SPRINGHILL MEDICAL CENTER,NLP,NLP,NLP,15,03/02/2022 12:00:00 AM
2022-05-21T05-54-21,71075,SPRINGHILL MEDICAL CENTER,NLP,NLP,NLP,8,05/20/2022 12:00:00 AM
2022-05-22T09-07-10,71075,SPRINGHILL MEDICAL CENTER,NLP,NLP,NLP,8,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,71075,SPRINGHILL MEDICAL CENTER,NLP,NLP,NLP,8,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,71075,SPRINGHILL MEDICAL CENTER,NLP,NLP,NLP,8,05/20/2022 12:00:00 AM
