2022-03-08T14-40-56,29556,WILLIAMSBURG REGIONAL HOSPITAL,02/25/2022 12:00:00 AM,03/02/2022 12:00:00 AM,30,30,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,29556,WILLIAMSBURG REGIONAL HOSPITAL,NLP,NLP,NLP,30,03/11/2022 12:00:00 AM
2022-03-18T11-17-38,29556,WILLIAMSBURG REGIONAL HOSPITAL,NLP,NLP,NLP,30,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,29556,WILLIAMSBURG REGIONAL HOSPITAL,NLP,NLP,NLP,30,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,29556,WILLIAMSBURG REGIONAL HOSPITAL,NLP,NLP,NLP,30,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,29556,WILLIAMSBURG REGIONAL HOSPITAL,NLP,NLP,NLP,30,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,29556,WILLIAMSBURG REGIONAL HOSPITAL,NLP,NLP,NLP,30,03/19/2022 12:00:00 AM
2022-03-21T06-11-50,29556,WILLIAMSBURG REGIONAL HOSPITAL,NLP,NLP,NLP,30,03/20/2022 12:00:00 AM
2022-03-21T14-18-38,29556,WILLIAMSBURG REGIONAL HOSPITAL,NLP,NLP,NLP,30,03/20/2022 12:00:00 AM
2022-03-21T16-35-27,29556,WILLIAMSBURG REGIONAL HOSPITAL,NLP,NLP,NLP,30,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,29556,WILLIAMSBURG REGIONAL HOSPITAL,NLP,NLP,NLP,30,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,29556,WILLIAMSBURG REGIONAL HOSPITAL,NLP,NLP,NLP,30,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,29556,WILLIAMSBURG REGIONAL HOSPITAL,NLP,NLP,NLP,30,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,29556,WILLIAMSBURG REGIONAL HOSPITAL,NLP,NLP,NLP,30,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,29556,WILLIAMSBURG REGIONAL HOSPITAL,NLP,NLP,NLP,30,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,29556,WILLIAMSBURG REGIONAL HOSPITAL,NLP,NLP,NLP,30,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,29556,WILLIAMSBURG REGIONAL HOSPITAL,NLP,NLP,NLP,30,03/26/2022 12:00:00 AM
2022-03-27T06-25-27,29556,WILLIAMSBURG REGIONAL HOSPITAL,NLP,NLP,NLP,30,03/26/2022 12:00:00 AM
2022-03-28T06-21-17,29556,WILLIAMSBURG REGIONAL HOSPITAL,NLP,NLP,NLP,30,03/27/2022 12:00:00 AM
2022-03-29T08-50-48,29556,WILLIAMSBURG REGIONAL HOSPITAL,NLP,NLP,NLP,30,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,29556,WILLIAMSBURG REGIONAL HOSPITAL,NLP,NLP,NLP,30,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,29556,WILLIAMSBURG REGIONAL HOSPITAL,NLP,NLP,NLP,30,03/29/2022 12:00:00 AM
2022-03-31T15-09-22,29556,WILLIAMSBURG REGIONAL HOSPITAL,NLP,NLP,NLP,30,03/29/2022 12:00:00 AM
2022-04-01T06-54-45,29556,WILLIAMSBURG REGIONAL HOSPITAL,NLP,NLP,NLP,30,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,29556,WILLIAMSBURG REGIONAL HOSPITAL,NLP,NLP,NLP,30,03/31/2022 12:00:00 AM
2022-04-03T05-51-54,29556,WILLIAMSBURG REGIONAL HOSPITAL,NLP,NLP,NLP,30,03/31/2022 12:00:00 AM
2022-04-04T05-38-24,29556,WILLIAMSBURG REGIONAL HOSPITAL,NLP,NLP,NLP,30,03/31/2022 12:00:00 AM
2022-04-05T05-48-33,29556,WILLIAMSBURG REGIONAL HOSPITAL,NLP,NLP,NLP,30,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,29556,WILLIAMSBURG REGIONAL HOSPITAL,NLP,NLP,NLP,30,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,29556,WILLIAMSBURG REGIONAL HOSPITAL,NLP,NLP,NLP,30,04/05/2022 12:00:00 AM
