2022-02-18T16-04-21,88435,GUADALUPE COUNTY HOSPITAL,02/17/2022 12:00:00 AM,,5,,
2022-03-03T09-56-49,88435,GUADALUPE COUNTY HOSPITAL,02/28/2022 12:00:00 AM,,10,,
2022-03-03T10-04-44,88435,GUADALUPE COUNTY HOSPITAL,02/28/2022 12:00:00 AM,02/22/2022 12:00:00 AM,10,,
2022-03-08T14-40-56,88435,GUADALUPE COUNTY HOSPITAL,03/04/2022 12:00:00 AM,03/08/2022 12:00:00 AM,15,,
2022-05-17T05-27-38,88435,GUADALUPE COUNTY HOSPITAL,NLP,NLP,NLP,20,05/16/2022 12:00:00 AM
2022-05-18T05-40-23,88435,GUADALUPE COUNTY HOSPITAL,NLP,NLP,NLP,20,05/16/2022 12:00:00 AM
2022-05-19T05-25-31,88435,GUADALUPE COUNTY HOSPITAL,NLP,NLP,NLP,20,05/16/2022 12:00:00 AM
2022-05-20T05-59-40,88435,GUADALUPE COUNTY HOSPITAL,NLP,NLP,NLP,20,05/16/2022 12:00:00 AM
2022-05-21T05-54-21,88435,GUADALUPE COUNTY HOSPITAL,NLP,NLP,NLP,20,05/16/2022 12:00:00 AM
2022-05-22T09-07-10,88435,GUADALUPE COUNTY HOSPITAL,NLP,NLP,NLP,20,05/16/2022 12:00:00 AM
2022-05-23T07-42-39,88435,GUADALUPE COUNTY HOSPITAL,NLP,NLP,NLP,20,05/16/2022 12:00:00 AM
2022-05-23T07-42-39,88435,GUADALUPE COUNTY HOSPITAL,NLP,NLP,NLP,20,05/16/2022 12:00:00 AM
2022-05-23T07-42-39,88435,GUADALUPE COUNTY HOSPITAL,NLP,NLP,NLP,20,05/16/2022 12:00:00 AM
2022-05-23T07-42-39,88435,GUADALUPE COUNTY HOSPITAL,NLP,NLP,NLP,20,05/16/2022 12:00:00 AM
2022-05-23T07-42-39,88435,GUADALUPE COUNTY HOSPITAL,NLP,NLP,NLP,20,05/16/2022 12:00:00 AM
2022-05-23T07-42-39,88435,GUADALUPE COUNTY HOSPITAL,NLP,NLP,NLP,20,05/16/2022 12:00:00 AM
2022-05-23T07-42-39,88435,GUADALUPE COUNTY HOSPITAL,NLP,NLP,NLP,20,05/16/2022 12:00:00 AM
2022-05-23T07-42-39,88435,GUADALUPE COUNTY HOSPITAL,NLP,NLP,NLP,20,05/16/2022 12:00:00 AM
2022-05-23T07-42-39,88435,GUADALUPE COUNTY HOSPITAL,NLP,NLP,NLP,20,05/16/2022 12:00:00 AM
2022-05-23T07-42-39,88435,GUADALUPE COUNTY HOSPITAL,NLP,NLP,NLP,20,05/16/2022 12:00:00 AM
2022-05-23T07-42-39,88435,GUADALUPE COUNTY HOSPITAL,NLP,NLP,NLP,20,05/16/2022 12:00:00 AM
2022-05-23T07-42-39,88435,GUADALUPE COUNTY HOSPITAL,NLP,NLP,NLP,20,05/16/2022 12:00:00 AM
2022-05-23T07-42-39,88435,GUADALUPE COUNTY HOSPITAL,NLP,NLP,NLP,20,05/16/2022 12:00:00 AM
2022-05-23T07-42-39,88435,GUADALUPE COUNTY HOSPITAL,NLP,NLP,NLP,20,05/16/2022 12:00:00 AM
2022-05-23T07-42-39,88435,GUADALUPE COUNTY HOSPITAL,NLP,NLP,NLP,20,05/16/2022 12:00:00 AM
2022-05-23T07-42-39,88435,GUADALUPE COUNTY HOSPITAL,NLP,NLP,NLP,20,05/16/2022 12:00:00 AM
2022-05-24T05-46-03,88435,GUADALUPE COUNTY HOSPITAL,NLP,NLP,NLP,20,05/16/2022 12:00:00 AM
2022-05-24T05-46-03,88435,GUADALUPE COUNTY HOSPITAL,NLP,NLP,NLP,20,05/16/2022 12:00:00 AM
2022-05-24T05-46-03,88435,GUADALUPE COUNTY HOSPITAL,NLP,NLP,NLP,20,05/16/2022 12:00:00 AM
2022-05-24T05-46-03,88435,GUADALUPE COUNTY HOSPITAL,NLP,NLP,NLP,20,05/16/2022 12:00:00 AM
2022-05-24T05-46-03,88435,GUADALUPE COUNTY HOSPITAL,NLP,NLP,NLP,20,05/16/2022 12:00:00 AM
2022-05-24T05-46-03,88435,GUADALUPE COUNTY HOSPITAL,NLP,NLP,NLP,20,05/16/2022 12:00:00 AM
2022-05-24T05-46-03,88435,GUADALUPE COUNTY HOSPITAL,NLP,NLP,NLP,20,05/16/2022 12:00:00 AM
2022-05-24T05-46-03,88435,GUADALUPE COUNTY HOSPITAL,NLP,NLP,NLP,20,05/16/2022 12:00:00 AM
2022-05-24T05-46-03,88435,GUADALUPE COUNTY HOSPITAL,NLP,NLP,NLP,20,05/16/2022 12:00:00 AM
2022-05-24T05-46-03,88435,GUADALUPE COUNTY HOSPITAL,NLP,NLP,NLP,20,05/16/2022 12:00:00 AM
2022-05-24T05-46-03,88435,GUADALUPE COUNTY HOSPITAL,NLP,NLP,NLP,20,05/16/2022 12:00:00 AM
2022-05-24T05-46-03,88435,GUADALUPE COUNTY HOSPITAL,NLP,NLP,NLP,20,05/16/2022 12:00:00 AM
2022-05-24T05-46-03,88435,GUADALUPE COUNTY HOSPITAL,NLP,NLP,NLP,20,05/16/2022 12:00:00 AM
2022-05-24T05-46-03,88435,GUADALUPE COUNTY HOSPITAL,NLP,NLP,NLP,20,05/16/2022 12:00:00 AM
2022-05-24T05-46-03,88435,GUADALUPE COUNTY HOSPITAL,NLP,NLP,NLP,20,05/16/2022 12:00:00 AM
2022-05-24T05-46-03,88435,GUADALUPE COUNTY HOSPITAL,NLP,NLP,NLP,20,05/16/2022 12:00:00 AM
2022-05-24T05-46-03,88435,GUADALUPE COUNTY HOSPITAL,NLP,NLP,NLP,20,05/16/2022 12:00:00 AM
2022-05-24T05-46-03,88435,GUADALUPE COUNTY HOSPITAL,NLP,NLP,NLP,20,05/16/2022 12:00:00 AM
2022-05-24T05-46-03,88435,GUADALUPE COUNTY HOSPITAL,NLP,NLP,NLP,20,05/16/2022 12:00:00 AM
2022-05-24T05-46-03,88435,GUADALUPE COUNTY HOSPITAL,NLP,NLP,NLP,20,05/16/2022 12:00:00 AM
2022-05-24T05-46-03,88435,GUADALUPE COUNTY HOSPITAL,NLP,NLP,NLP,20,05/16/2022 12:00:00 AM
2022-05-24T05-46-03,88435,GUADALUPE COUNTY HOSPITAL,NLP,NLP,NLP,20,05/16/2022 12:00:00 AM
2022-05-25T05-39-27,88435,GUADALUPE COUNTY HOSPITAL,NLP,NLP,NLP,20,05/16/2022 12:00:00 AM
2022-05-25T05-39-27,88435,GUADALUPE COUNTY HOSPITAL,NLP,NLP,NLP,20,05/16/2022 12:00:00 AM
2022-05-25T05-39-27,88435,GUADALUPE COUNTY HOSPITAL,NLP,NLP,NLP,20,05/16/2022 12:00:00 AM
2022-05-25T05-39-27,88435,GUADALUPE COUNTY HOSPITAL,NLP,NLP,NLP,20,05/16/2022 12:00:00 AM
2022-05-25T05-39-27,88435,GUADALUPE COUNTY HOSPITAL,NLP,NLP,NLP,20,05/16/2022 12:00:00 AM
