2022-02-18T16-04-21,88401,PHS: DAN C TRIGG MEM HOSP CLINIC,02/17/2022 12:00:00 AM,,5,,
2022-03-03T09-56-49,88401,PHS: DAN C TRIGG MEM HOSP CLINIC,02/28/2022 12:00:00 AM,,10,5,02/24/2022 12:00:00 AM
2022-03-03T10-04-44,88401,PHS: DAN C TRIGG MEM HOSP CLINIC,02/28/2022 12:00:00 AM,02/22/2022 12:00:00 AM,10,5,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,88401,PHS: DAN C TRIGG MEM HOSP CLINIC,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,10,10,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,88401,PHS: DAN C TRIGG MEM HOSP,NLP,NLP,NLP,10,03/10/2022 12:00:00 AM
2022-03-18T09-58-11,88401,PHS: DAN C TRIGG MEM HOSP,NLP,NLP,NLP,10,03/10/2022 12:00:00 AM
2022-03-18T11-03-37,88401,PHS: DAN C TRIGG MEM HOSP,NLP,NLP,NLP,10,03/10/2022 12:00:00 AM
2022-03-19T08-15-59,88401,PHS: DAN C TRIGG MEM HOSP,NLP,NLP,NLP,10,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,88401,PHS: DAN C TRIGG MEM HOSP,NLP,NLP,NLP,10,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,88401,PHS: DAN C TRIGG MEM HOSP,NLP,NLP,NLP,10,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,88401,PHS: DAN C TRIGG MEM HOSP,NLP,NLP,NLP,10,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,88401,PHS: DAN C TRIGG MEM HOSP,NLP,NLP,NLP,10,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,88401,PHS: DAN C TRIGG MEM HOSP,NLP,NLP,NLP,10,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,88401,PHS: DAN C TRIGG MEM HOSP,NLP,NLP,NLP,10,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,88401,PHS: DAN C TRIGG MEM HOSP,NLP,NLP,NLP,10,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,88401,PHS: DAN C TRIGG MEM HOSP,NLP,NLP,NLP,10,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,88401,PHS: DAN C TRIGG MEM HOSP,NLP,NLP,NLP,10,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,88401,PHS: DAN C TRIGG MEM HOSP,NLP,NLP,NLP,10,03/24/2022 12:00:00 AM
