2022-02-18T16-04-21,56156,SANFORD LUVERNE MEDICAL CENTER,02/18/2022 12:00:00 AM,,15,,
2022-03-03T09-56-49,56156,SANFORD LUVERNE MEDICAL CENTER,02/23/2022 12:00:00 AM,,25,25,02/28/2022 12:00:00 AM
2022-03-03T10-04-44,56156,SANFORD LUVERNE MEDICAL CENTER,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,25,25,02/28/2022 12:00:00 AM
2022-03-08T14-40-56,56156,SANFORD LUVERNE MEDICAL CENTER,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,25,25,02/28/2022 12:00:00 AM
2022-03-16T18-51-35,56156,SANFORD LUVERNE MEDICAL CENTER,NLP,NLP,NLP,25,03/08/2022 12:00:00 AM
2022-03-18T09-58-11,56156,SANFORD LUVERNE MEDICAL CENTER,NLP,NLP,NLP,25,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,56156,SANFORD LUVERNE MEDICAL CENTER,NLP,NLP,NLP,25,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,56156,SANFORD LUVERNE MEDICAL CENTER,NLP,NLP,NLP,25,03/15/2022 12:00:00 AM
2022-03-18T15-22-50,56156,SANFORD LUVERNE MEDICAL CENTER,NLP,NLP,NLP,25,03/15/2022 12:00:00 AM
2022-03-19T08-15-59,56156,SANFORD LUVERNE MEDICAL CENTER,NLP,NLP,NLP,25,03/15/2022 12:00:00 AM
2022-03-19T11-58-02,56156,SANFORD LUVERNE MEDICAL CENTER,NLP,NLP,NLP,25,03/15/2022 12:00:00 AM
2022-03-20T06-05-37,56156,SANFORD LUVERNE MEDICAL CENTER,NLP,NLP,NLP,25,03/15/2022 12:00:00 AM
2022-03-21T06-11-50,56156,SANFORD LUVERNE MEDICAL CENTER,NLP,NLP,NLP,25,03/15/2022 12:00:00 AM
2022-03-21T14-18-38,56156,SANFORD LUVERNE MEDICAL CENTER,NLP,NLP,NLP,25,03/15/2022 12:00:00 AM
2022-03-21T16-35-27,56156,SANFORD LUVERNE MEDICAL CENTER,NLP,NLP,NLP,25,03/15/2022 12:00:00 AM
2022-03-22T09-16-18,56156,SANFORD LUVERNE MEDICAL CENTER,NLP,NLP,NLP,25,03/15/2022 12:00:00 AM
2022-03-26T06-57-27,56156,SANFORD LUVERNE MEDICAL CENTER,NLP,NLP,NLP,25,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,56156,SANFORD LUVERNE MEDICAL CENTER,NLP,NLP,NLP,25,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,56156,SANFORD LUVERNE MEDICAL CENTER,NLP,NLP,NLP,25,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,56156,SANFORD LUVERNE MEDICAL CENTER,NLP,NLP,NLP,25,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,56156,SANFORD LUVERNE MEDICAL CENTER,NLP,NLP,NLP,25,03/25/2022 12:00:00 AM
2022-03-30T09-27-07,56156,SANFORD LUVERNE MEDICAL CENTER,NLP,NLP,NLP,25,03/25/2022 12:00:00 AM
2022-03-31T08-53-07,56156,SANFORD LUVERNE MEDICAL CENTER,NLP,NLP,NLP,25,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,56156,SANFORD LUVERNE MEDICAL CENTER,NLP,NLP,NLP,25,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,56156,SANFORD LUVERNE MEDICAL CENTER,NLP,NLP,NLP,25,03/30/2022 12:00:00 AM
2022-04-02T06-05-59,56156,SANFORD LUVERNE MEDICAL CENTER,NLP,NLP,NLP,25,03/30/2022 12:00:00 AM
2022-04-03T05-51-54,56156,SANFORD LUVERNE MEDICAL CENTER,NLP,NLP,NLP,25,03/30/2022 12:00:00 AM
2022-04-04T05-38-24,56156,SANFORD LUVERNE MEDICAL CENTER,NLP,NLP,NLP,25,03/30/2022 12:00:00 AM
2022-04-05T05-48-33,56156,SANFORD LUVERNE MEDICAL CENTER,NLP,NLP,NLP,25,03/30/2022 12:00:00 AM
2022-04-06T05-45-18,56156,SANFORD LUVERNE MEDICAL CENTER,NLP,NLP,NLP,25,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,56156,SANFORD LUVERNE MEDICAL CENTER,NLP,NLP,NLP,25,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,56156,SANFORD LUVERNE MEDICAL CENTER,NLP,NLP,NLP,25,04/07/2022 12:00:00 AM
2022-04-09T05-41-09,56156,SANFORD LUVERNE MEDICAL CENTER,NLP,NLP,NLP,25,04/07/2022 12:00:00 AM
