2022-02-18T16-04-21,35242,MEDHELP 280,02/15/2022 12:00:00 AM,,10,,
2022-03-03T09-56-49,35242,MEDHELP 280,02/21/2022 12:00:00 AM,,15,,
2022-03-03T10-04-44,35242,MEDHELP 280,03/01/2022 12:00:00 AM,02/23/2022 12:00:00 AM,25,,
2022-03-08T14-40-56,35242,MEDHELP 280,03/01/2022 12:00:00 AM,03/03/2022 12:00:00 AM,25,,
2022-04-29T05-13-54,35242,MEDHELP 280,NLP,NLP,NLP,76,04/28/2022 12:00:00 AM
2022-04-30T05-15-55,35242,MEDHELP 280,NLP,NLP,NLP,76,04/28/2022 12:00:00 AM
2022-05-01T05-13-51,35242,MEDHELP 280,NLP,NLP,NLP,76,04/28/2022 12:00:00 AM
2022-05-02T06-02-50,35242,MEDHELP 280,NLP,NLP,NLP,76,04/28/2022 12:00:00 AM
2022-05-03T06-05-23,35242,MEDHELP 280,NLP,NLP,NLP,76,04/28/2022 12:00:00 AM
2022-05-04T05-12-02,35242,MEDHELP 280,NLP,NLP,NLP,76,04/28/2022 12:00:00 AM
2022-05-05T09-49-47,35242,MEDHELP 280,NLP,NLP,NLP,76,04/28/2022 12:00:00 AM
2022-05-06T06-12-41,35242,MEDHELP 280,NLP,NLP,NLP,50,05/05/2022 12:00:00 AM
2022-05-07T05-45-31,35242,MEDHELP 280,NLP,NLP,NLP,50,05/05/2022 12:00:00 AM
2022-05-08T10-02-59,35242,MEDHELP 280,NLP,NLP,NLP,50,05/05/2022 12:00:00 AM
2022-05-09T05-08-14,35242,MEDHELP 280,NLP,NLP,NLP,50,05/05/2022 12:00:00 AM
2022-05-10T06-06-54,35242,MEDHELP 280,NLP,NLP,NLP,50,05/05/2022 12:00:00 AM
2022-05-11T06-51-12,35242,MEDHELP 280,NLP,NLP,NLP,50,05/05/2022 12:00:00 AM
2022-05-12T07-16-49,35242,MEDHELP 280,NLP,NLP,NLP,50,05/05/2022 12:00:00 AM
2022-05-13T06-07-31,35242,MEDHELP 280,NLP,NLP,NLP,23,05/12/2022 12:00:00 AM
2022-05-14T08-49-14,35242,MEDHELP 280,NLP,NLP,NLP,23,05/12/2022 12:00:00 AM
2022-05-15T05-54-13,35242,MEDHELP 280,NLP,NLP,NLP,23,05/12/2022 12:00:00 AM
2022-05-16T05-54-24,35242,MEDHELP 280,NLP,NLP,NLP,23,05/12/2022 12:00:00 AM
2022-05-17T05-27-38,35242,MEDHELP 280,NLP,NLP,NLP,10,05/16/2022 12:00:00 AM
2022-05-18T05-40-23,35242,MEDHELP 280,NLP,NLP,NLP,3,05/17/2022 12:00:00 AM
2022-05-19T05-25-31,35242,MEDHELP 280,NLP,NLP,NLP,7,05/19/2022 12:00:00 AM
2022-05-20T05-59-40,35242,MEDHELP 280,NLP,NLP,NLP,7,05/19/2022 12:00:00 AM
2022-05-26T07-59-29,35242,MEDHELP 280,NLP,NLP,NLP,3,05/25/2022 12:00:00 AM
2022-05-26T07-59-29,35242,MEDHELP 280,NLP,NLP,NLP,3,05/25/2022 12:00:00 AM
2022-05-26T07-59-29,35242,MEDHELP 280,NLP,NLP,NLP,3,05/25/2022 12:00:00 AM
2022-05-27T05-48-57,35242,MEDHELP 280,NLP,NLP,NLP,20,05/26/2022 12:00:00 AM
2022-05-28T05-34-18,35242,MEDHELP 280,NLP,NLP,NLP,20,05/26/2022 12:00:00 AM
2022-05-29T05-31-58,35242,MEDHELP 280,NLP,NLP,NLP,20,05/26/2022 12:00:00 AM
2022-05-30T05-32-42,35242,MEDHELP 280,NLP,NLP,NLP,20,05/26/2022 12:00:00 AM
2022-05-31T08-56-01,35242,MEDHELP 280,NLP,NLP,NLP,20,05/26/2022 12:00:00 AM
2022-06-04T19-11-08,35242,MEDHELP 280,NLP,NLP,NLP,5,06/03/2022 12:00:00 AM
2022-06-05T08-48-25,35242,MEDHELP 280,NLP,NLP,NLP,5,06/03/2022 12:00:00 AM
2022-06-06T06-32-51,35242,MEDHELP 280,NLP,NLP,NLP,5,06/03/2022 12:00:00 AM
2022-06-09T04-15-20,35242,MEDHELP 280,NLP,NLP,NLP,15,06/08/2022 12:00:00 AM
2022-06-10T04-15-36,35242,MEDHELP 280,NLP,NLP,NLP,15,06/08/2022 12:00:00 AM
2022-06-17T04-15-27,35242,MEDHELP 280,NLP,NLP,NLP,15,06/16/2022 12:00:00 AM
2022-06-18T04-15-18,35242,MEDHELP 280,NLP,NLP,NLP,15,06/16/2022 12:00:00 AM
2022-06-19T04-15-29,35242,MEDHELP 280,NLP,NLP,NLP,15,06/16/2022 12:00:00 AM
2022-06-20T04-15-58,35242,MEDHELP 280,NLP,NLP,NLP,15,06/16/2022 12:00:00 AM
2022-06-24T04-15-26,35242,MEDHELP 280,NLP,NLP,NLP,3,06/24/2022 12:00:00 AM
2022-06-25T04-15-18,35242,MEDHELP 280,NLP,NLP,NLP,3,06/24/2022 12:00:00 AM
2022-06-26T04-15-17,35242,MEDHELP 280,NLP,NLP,NLP,3,06/24/2022 12:00:00 AM
2022-06-27T04-15-31,35242,MEDHELP 280,NLP,NLP,NLP,3,06/24/2022 12:00:00 AM
2022-07-01T04-15-22,35242,MEDHELP 280,NLP,NLP,NLP,6,07/01/2022 12:00:00 AM
2022-07-03T14-40-38,35242,MEDHELP 280,NLP,NLP,NLP,6,07/01/2022 12:00:00 AM
2022-07-04T04-15-29,35242,MEDHELP 280,NLP,NLP,NLP,6,07/01/2022 12:00:00 AM
