2022-02-18T16-04-21,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,02/16/2022 12:00:00 AM,,40,0,02/16/2022 12:00:00 AM
2022-03-03T09-56-49,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,02/28/2022 12:00:00 AM,,50,40,02/25/2022 12:00:00 AM
2022-03-03T10-04-44,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,02/28/2022 12:00:00 AM,02/18/2022 12:00:00 AM,50,40,03/01/2022 12:00:00 AM
2022-03-08T14-40-56,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,50,60,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,60,03/10/2022 12:00:00 AM
2022-03-18T09-58-11,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,60,03/14/2022 12:00:00 AM
2022-03-18T11-03-37,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,60,03/14/2022 12:00:00 AM
2022-03-18T11-17-38,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,60,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,60,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,60,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,60,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,60,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,60,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,60,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,60,03/18/2022 12:00:00 AM
2022-03-22T09-16-18,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,60,03/18/2022 12:00:00 AM
2022-03-23T08-41-43,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,60,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,60,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,60,03/22/2022 12:00:00 AM
2022-03-25T08-10-53,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,60,03/22/2022 12:00:00 AM
2022-03-26T06-57-27,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,60,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,60,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,60,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,60,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,60,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,60,03/28/2022 12:00:00 AM
2022-03-31T08-53-07,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,60,03/28/2022 12:00:00 AM
2022-03-31T15-09-22,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,60,03/28/2022 12:00:00 AM
2022-04-01T06-54-45,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,60,03/28/2022 12:00:00 AM
2022-04-02T06-05-59,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,60,03/28/2022 12:00:00 AM
2022-04-03T05-51-54,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,60,03/28/2022 12:00:00 AM
2022-04-04T05-38-24,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,60,03/28/2022 12:00:00 AM
2022-04-05T05-48-33,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,60,03/28/2022 12:00:00 AM
2022-04-06T05-45-18,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,60,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,60,04/05/2022 12:00:00 AM
2022-04-08T05-48-29,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,58,04/07/2022 12:00:00 AM
2022-04-09T05-41-09,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,58,04/07/2022 12:00:00 AM
2022-04-10T09-31-27,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,58,04/07/2022 12:00:00 AM
2022-04-11T07-06-23,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,58,04/07/2022 12:00:00 AM
2022-04-12T07-06-55,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,58,04/07/2022 12:00:00 AM
2022-04-13T09-20-57,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,43,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,43,04/12/2022 12:00:00 AM
2022-04-14T09-18-06,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,43,04/12/2022 12:00:00 AM
2022-04-15T06-03-51,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,43,04/12/2022 12:00:00 AM
2022-04-16T05-33-42,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,43,04/12/2022 12:00:00 AM
2022-04-17T05-32-24,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,43,04/12/2022 12:00:00 AM
2022-04-18T05-31-10,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,43,04/12/2022 12:00:00 AM
2022-04-19T05-39-24,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,42,04/18/2022 12:00:00 AM
2022-04-20T05-27-37,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,42,04/18/2022 12:00:00 AM
2022-04-21T05-29-54,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,40,04/20/2022 12:00:00 AM
2022-04-22T05-26-18,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,40,04/20/2022 12:00:00 AM
2022-04-23T05-25-10,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,39,04/22/2022 12:00:00 AM
2022-04-24T05-22-24,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,39,04/22/2022 12:00:00 AM
2022-04-25T05-22-33,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,39,04/22/2022 12:00:00 AM
2022-04-26T05-20-54,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,49,04/25/2022 12:00:00 AM
2022-04-27T05-23-49,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,47,04/26/2022 12:00:00 AM
2022-04-28T09-22-45,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,47,04/26/2022 12:00:00 AM
2022-04-29T05-13-54,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,52,04/28/2022 12:00:00 AM
2022-04-30T05-15-55,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,51,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,51,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,51,04/29/2022 12:00:00 AM
2022-05-03T06-05-23,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,51,04/29/2022 12:00:00 AM
2022-05-04T05-12-02,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,47,05/03/2022 12:00:00 AM
2022-05-05T09-49-47,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,40,05/04/2022 12:00:00 AM
2022-05-06T06-12-41,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,40,05/04/2022 12:00:00 AM
2022-05-07T05-45-31,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,40,05/04/2022 12:00:00 AM
2022-05-08T10-02-59,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,40,05/04/2022 12:00:00 AM
2022-05-09T05-08-14,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,40,05/04/2022 12:00:00 AM
2022-05-10T06-06-54,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,49,05/09/2022 12:00:00 AM
2022-05-11T06-51-12,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,49,05/09/2022 12:00:00 AM
2022-05-12T07-16-49,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,46,05/11/2022 12:00:00 AM
2022-05-13T06-07-31,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,46,05/11/2022 12:00:00 AM
2022-05-14T08-49-14,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,62,05/13/2022 12:00:00 AM
2022-05-15T05-54-13,54401,ASPIRUS WAUSAU HOSPITAL Pharmacy,NLP,NLP,NLP,62,05/13/2022 12:00:00 AM
