2022-02-18T16-04-21,32459,Primary Care South,02/17/2022 12:00:00 AM,,50,0,02/17/2022 12:00:00 AM
2022-03-03T09-56-49,32459,Primary Care South,02/25/2022 12:00:00 AM,,100,50,02/23/2022 12:00:00 AM
2022-03-03T10-04-44,32459,Primary Care South,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,100,50,02/23/2022 12:00:00 AM
2022-03-08T14-40-56,32459,Primary Care South,03/03/2022 12:00:00 AM,03/04/2022 12:00:00 AM,150,20,03/03/2022 12:00:00 AM
2022-03-18T11-17-38,32459,Primary Care South,NLP,NLP,NLP,50,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,32459,Primary Care South,NLP,NLP,NLP,50,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,32459,Primary Care South,NLP,NLP,NLP,50,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,32459,Primary Care South,NLP,NLP,NLP,50,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,32459,Primary Care South,NLP,NLP,NLP,50,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,32459,Primary Care South,NLP,NLP,NLP,50,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,32459,Primary Care South,NLP,NLP,NLP,50,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,32459,Primary Care South,NLP,NLP,NLP,50,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,32459,Primary Care South,NLP,NLP,NLP,50,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,32459,Primary Care South,NLP,NLP,NLP,50,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,32459,Primary Care South,NLP,NLP,NLP,50,03/16/2022 12:00:00 AM
2022-03-28T06-21-17,32459,Primary Care South,NLP,NLP,NLP,50,03/16/2022 12:00:00 AM
2022-03-29T08-50-48,32459,Primary Care South,NLP,NLP,NLP,50,03/16/2022 12:00:00 AM
2022-03-30T09-27-07,32459,Primary Care South,NLP,NLP,NLP,50,03/16/2022 12:00:00 AM
2022-03-31T08-53-07,32459,Primary Care South,NLP,NLP,NLP,50,03/16/2022 12:00:00 AM
2022-03-31T15-09-22,32459,Primary Care South,NLP,NLP,NLP,50,03/16/2022 12:00:00 AM
2022-04-01T06-54-45,32459,Primary Care South,NLP,NLP,NLP,50,03/16/2022 12:00:00 AM
2022-04-02T06-05-59,32459,Primary Care South,NLP,NLP,NLP,50,03/16/2022 12:00:00 AM
2022-04-03T05-51-54,32459,Primary Care South,NLP,NLP,NLP,50,03/16/2022 12:00:00 AM
2022-04-04T05-38-24,32459,Primary Care South,NLP,NLP,NLP,50,03/16/2022 12:00:00 AM
2022-04-05T05-48-33,32459,Primary Care South,NLP,NLP,NLP,50,03/16/2022 12:00:00 AM
2022-04-06T05-45-18,32459,Primary Care South,NLP,NLP,NLP,50,03/16/2022 12:00:00 AM
2022-04-07T05-34-07,32459,Primary Care South,NLP,NLP,NLP,50,03/16/2022 12:00:00 AM
2022-04-08T05-48-29,32459,Primary Care South,NLP,NLP,NLP,50,03/16/2022 12:00:00 AM
2022-04-09T05-41-09,32459,Primary Care South,NLP,NLP,NLP,160,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,32459,Primary Care South,NLP,NLP,NLP,160,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,32459,Primary Care South,NLP,NLP,NLP,160,04/08/2022 12:00:00 AM
