2022-02-18T16-04-21,45828,MERCER HEALTH MERCER CO COMM HOSP,02/16/2022 12:00:00 AM,,15,15,02/18/2022 12:00:00 AM
2022-03-03T09-56-49,45828,MERCER HEALTH MERCER CO COMM HOSP,02/23/2022 12:00:00 AM,,25,25,02/28/2022 12:00:00 AM
2022-03-03T10-04-44,45828,MERCER HEALTH MERCER CO COMM HOSP,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,25,25,02/28/2022 12:00:00 AM
2022-03-08T14-40-56,45828,MERCER HEALTH MERCER CO COMM HOSP,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,25,25,02/28/2022 12:00:00 AM
2022-03-16T18-51-35,45828,MERCER HEALTH MERCER CO COMM HOSP,NLP,NLP,NLP,25,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,45828,MERCER HEALTH MERCER CO COMM HOSP,NLP,NLP,NLP,25,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,45828,MERCER HEALTH MERCER CO COMM HOSP,NLP,NLP,NLP,25,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,45828,MERCER HEALTH MERCER CO COMM HOSP,NLP,NLP,NLP,25,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,45828,MERCER HEALTH MERCER CO COMM HOSP,NLP,NLP,NLP,25,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,45828,MERCER HEALTH MERCER CO COMM HOSP,NLP,NLP,NLP,25,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,45828,MERCER HEALTH MERCER CO COMM HOSP,NLP,NLP,NLP,25,03/19/2022 12:00:00 AM
2022-03-20T06-05-37,45828,MERCER HEALTH MERCER CO COMM HOSP,NLP,NLP,NLP,25,03/19/2022 12:00:00 AM
2022-03-21T06-11-50,45828,MERCER HEALTH MERCER CO COMM HOSP,NLP,NLP,NLP,25,03/20/2022 12:00:00 AM
2022-03-21T14-18-38,45828,MERCER HEALTH MERCER CO COMM HOSP,NLP,NLP,NLP,25,03/20/2022 12:00:00 AM
2022-03-21T16-35-27,45828,MERCER HEALTH MERCER CO COMM HOSP,NLP,NLP,NLP,25,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,45828,MERCER HEALTH MERCER CO COMM HOSP,NLP,NLP,NLP,25,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,45828,MERCER HEALTH MERCER CO COMM HOSP,NLP,NLP,NLP,25,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,45828,MERCER HEALTH MERCER CO COMM HOSP,NLP,NLP,NLP,25,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,45828,MERCER HEALTH MERCER CO COMM HOSP,NLP,NLP,NLP,25,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,45828,MERCER HEALTH MERCER CO COMM HOSP,NLP,NLP,NLP,25,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,45828,MERCER HEALTH MERCER CO COMM HOSP,NLP,NLP,NLP,25,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,45828,MERCER HEALTH MERCER CO COMM HOSP,NLP,NLP,NLP,25,03/26/2022 12:00:00 AM
2022-03-27T06-25-27,45828,MERCER HEALTH MERCER CO COMM HOSP,NLP,NLP,NLP,25,03/26/2022 12:00:00 AM
2022-03-28T06-21-17,45828,MERCER HEALTH MERCER CO COMM HOSP,NLP,NLP,NLP,25,03/27/2022 12:00:00 AM
2022-03-29T08-50-48,45828,MERCER HEALTH MERCER CO COMM HOSP,NLP,NLP,NLP,25,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,45828,MERCER HEALTH MERCER CO COMM HOSP,NLP,NLP,NLP,25,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,45828,MERCER HEALTH MERCER CO COMM HOSP,NLP,NLP,NLP,25,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,45828,MERCER HEALTH MERCER CO COMM HOSP,NLP,NLP,NLP,25,03/31/2022 12:00:00 AM
2022-04-01T06-54-45,45828,MERCER HEALTH MERCER CO COMM HOSP,NLP,NLP,NLP,25,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,45828,MERCER HEALTH MERCER CO COMM HOSP,NLP,NLP,NLP,24,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,45828,MERCER HEALTH MERCER CO COMM HOSP,NLP,NLP,NLP,24,04/02/2022 12:00:00 AM
2022-04-04T05-38-24,45828,MERCER HEALTH MERCER CO COMM HOSP,NLP,NLP,NLP,24,04/03/2022 12:00:00 AM
2022-04-05T05-48-33,45828,MERCER HEALTH MERCER CO COMM HOSP,NLP,NLP,NLP,24,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,45828,MERCER HEALTH MERCER CO COMM HOSP,NLP,NLP,NLP,24,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,45828,MERCER HEALTH MERCER CO COMM HOSP,NLP,NLP,NLP,24,04/05/2022 12:00:00 AM
2022-04-08T05-48-29,45828,MERCER HEALTH MERCER CO COMM HOSP,NLP,NLP,NLP,24,04/07/2022 12:00:00 AM
2022-04-09T05-41-09,45828,MERCER HEALTH MERCER CO COMM HOSP,NLP,NLP,NLP,24,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,45828,MERCER HEALTH MERCER CO COMM HOSP,NLP,NLP,NLP,24,04/09/2022 12:00:00 AM
2022-04-11T07-06-23,45828,MERCER HEALTH MERCER CO COMM HOSP,NLP,NLP,NLP,24,04/10/2022 12:00:00 AM
2022-04-12T07-06-55,45828,MERCER HEALTH MERCER CO COMM HOSP,NLP,NLP,NLP,24,04/11/2022 12:00:00 AM
2022-04-13T09-20-57,45828,MERCER HEALTH MERCER CO COMM HOSP,NLP,NLP,NLP,24,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,45828,MERCER HEALTH MERCER CO COMM HOSP,NLP,NLP,NLP,24,04/13/2022 12:00:00 AM
