2022-02-18T16-04-21,71854,TOTAL ACCESS HEALTH AND WELLNESS,02/16/2022 12:00:00 AM,,15,,
2022-03-03T09-56-49,71854,TOTAL ACCESS HEALTH AND WELLNESS,02/22/2022 12:00:00 AM,,25,23,02/28/2022 12:00:00 AM
2022-03-03T10-04-44,71854,TOTAL ACCESS HEALTH AND WELLNESS,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,25,23,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,71854,TOTAL ACCESS HEALTH AND WELLNESS,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,25,20,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,71854,TOTAL ACCESS HEALTH AND WELLNESS,NLP,NLP,NLP,20,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,71854,TOTAL ACCESS HEALTH AND WELLNESS,NLP,NLP,NLP,20,03/14/2022 12:00:00 AM
2022-03-18T11-03-37,71854,TOTAL ACCESS HEALTH AND WELLNESS,NLP,NLP,NLP,20,03/14/2022 12:00:00 AM
2022-03-18T11-17-38,71854,TOTAL ACCESS HEALTH AND WELLNESS,NLP,NLP,NLP,19,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,71854,TOTAL ACCESS HEALTH AND WELLNESS,NLP,NLP,NLP,19,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,71854,TOTAL ACCESS HEALTH AND WELLNESS,NLP,NLP,NLP,19,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,71854,TOTAL ACCESS HEALTH AND WELLNESS,NLP,NLP,NLP,19,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,71854,TOTAL ACCESS HEALTH AND WELLNESS,NLP,NLP,NLP,19,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,71854,TOTAL ACCESS HEALTH AND WELLNESS,NLP,NLP,NLP,19,03/18/2022 12:00:00 AM
