2022-02-18T16-04-21,16701,Kaleida Health Bradford Reg Med Ctr,02/16/2022 12:00:00 AM,,5,,
2022-03-03T09-56-49,16701,Kaleida Health Bradford Reg Med Ctr,02/28/2022 12:00:00 AM,,20,,
2022-03-03T10-04-44,16701,Kaleida Health Bradford Reg Med Ctr,02/28/2022 12:00:00 AM,02/25/2022 12:00:00 AM,20,,
2022-03-08T14-40-56,16701,Kaleida Health Bradford Reg Med Ctr,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,20,,
2022-05-27T05-48-57,16701,GHS-BRADFORD,NLP,NLP,NLP,9,05/26/2022 12:00:00 AM
2022-05-28T05-34-18,16701,GHS-BRADFORD,NLP,NLP,NLP,9,05/27/2022 12:00:00 AM
2022-05-29T05-31-58,16701,GHS-BRADFORD,NLP,NLP,NLP,9,05/27/2022 12:00:00 AM
2022-05-30T05-32-42,16701,GHS-BRADFORD,NLP,NLP,NLP,9,05/27/2022 12:00:00 AM
2022-05-31T08-56-01,16701,GHS-BRADFORD,NLP,NLP,NLP,9,05/27/2022 12:00:00 AM
2022-06-01T05-37-50,16701,GHS-BRADFORD,NLP,NLP,NLP,9,05/31/2022 12:00:00 AM
2022-06-02T07-54-10,16701,GHS-BRADFORD,NLP,NLP,NLP,9,06/01/2022 12:00:00 AM
2022-06-03T08-50-11,16701,GHS-BRADFORD,NLP,NLP,NLP,9,06/01/2022 12:00:00 AM
2022-06-04T19-11-08,16701,GHS-BRADFORD,NLP,NLP,NLP,9,06/03/2022 12:00:00 AM
2022-06-05T08-48-25,16701,GHS-BRADFORD,NLP,NLP,NLP,9,06/03/2022 12:00:00 AM
2022-06-06T06-32-51,16701,GHS-BRADFORD,NLP,NLP,NLP,9,06/03/2022 12:00:00 AM
2022-06-07T05-36-41,16701,GHS-BRADFORD,NLP,NLP,NLP,,06/06/2022 12:00:00 AM
2022-06-08T05-42-02,16701,GHS-BRADFORD,NLP,NLP,NLP,,06/06/2022 12:00:00 AM
2022-06-09T04-15-20,16701,GHS-BRADFORD,NLP,NLP,NLP,9,06/08/2022 12:00:00 AM
2022-06-10T04-15-36,16701,GHS-BRADFORD,NLP,NLP,NLP,9,06/09/2022 12:00:00 AM
2022-06-11T04-15-14,16701,GHS-BRADFORD,NLP,NLP,NLP,9,06/10/2022 12:00:00 AM
2022-06-12T04-15-15,16701,GHS-BRADFORD,NLP,NLP,NLP,9,06/10/2022 12:00:00 AM
2022-06-13T04-15-40,16701,GHS-BRADFORD,NLP,NLP,NLP,9,06/10/2022 12:00:00 AM
2022-06-14T04-15-16,16701,GHS-BRADFORD,NLP,NLP,NLP,9,06/10/2022 12:00:00 AM
2022-06-15T04-15-27,16701,GHS-BRADFORD,NLP,NLP,NLP,9,06/14/2022 12:00:00 AM
2022-06-16T04-15-45,16701,GHS-BRADFORD,NLP,NLP,NLP,9,06/14/2022 12:00:00 AM
2022-06-17T04-15-27,16701,GHS-BRADFORD,NLP,NLP,NLP,9,06/16/2022 12:00:00 AM
2022-06-18T04-15-18,16701,GHS-BRADFORD,NLP,NLP,NLP,9,06/16/2022 12:00:00 AM
2022-06-19T04-15-29,16701,GHS-BRADFORD,NLP,NLP,NLP,9,06/16/2022 12:00:00 AM
2022-06-20T04-15-58,16701,GHS-BRADFORD,NLP,NLP,NLP,9,06/16/2022 12:00:00 AM
2022-06-21T04-15-35,16701,GHS-BRADFORD,NLP,NLP,NLP,9,06/16/2022 12:00:00 AM
2022-06-22T04-15-20,16701,GHS-BRADFORD,NLP,NLP,NLP,9,06/21/2022 12:00:00 AM
2022-06-23T04-15-16,16701,GHS-BRADFORD,NLP,NLP,NLP,9,06/21/2022 12:00:00 AM
2022-06-24T04-15-26,16701,GHS-BRADFORD,NLP,NLP,NLP,9,06/23/2022 12:00:00 AM
2022-06-25T04-15-18,16701,GHS-BRADFORD,NLP,NLP,NLP,9,06/23/2022 12:00:00 AM
2022-06-26T04-15-17,16701,GHS-BRADFORD,NLP,NLP,NLP,9,06/23/2022 12:00:00 AM
2022-06-27T04-15-31,16701,GHS-BRADFORD,NLP,NLP,NLP,9,06/23/2022 12:00:00 AM
2022-06-28T04-15-44,16701,GHS-BRADFORD,NLP,NLP,NLP,9,06/27/2022 12:00:00 AM
2022-06-29T04-15-40,16701,GHS-BRADFORD,NLP,NLP,NLP,9,06/27/2022 12:00:00 AM
2022-06-30T04-15-32,16701,GHS-BRADFORD,NLP,NLP,NLP,9,06/27/2022 12:00:00 AM
2022-07-01T04-15-22,16701,GHS-BRADFORD,NLP,NLP,NLP,9,06/30/2022 12:00:00 AM
2022-07-03T14-40-38,16701,GHS-BRADFORD,NLP,NLP,NLP,9,06/30/2022 12:00:00 AM
2022-07-04T04-15-29,16701,GHS-BRADFORD,NLP,NLP,NLP,9,06/30/2022 12:00:00 AM
2022-07-05T04-15-18,16701,GHS-BRADFORD,NLP,NLP,NLP,9,06/30/2022 12:00:00 AM
2022-07-06T04-15-19,16701,GHS-BRADFORD,NLP,NLP,NLP,9,07/05/2022 12:00:00 AM
2022-07-07T04-15-17,16701,GHS-BRADFORD,NLP,NLP,NLP,9,07/05/2022 12:00:00 AM
2022-07-07T13-15-18,16701,GHS-BRADFORD,NLP,NLP,NLP,9,07/05/2022 12:00:00 AM
2022-07-08T04-15-19,16701,GHS-BRADFORD,NLP,NLP,NLP,9,07/07/2022 12:00:00 AM
2022-07-09T04-15-19,16701,GHS-BRADFORD,NLP,NLP,NLP,9,07/07/2022 12:00:00 AM
2022-07-10T04-15-26,16701,GHS-BRADFORD,NLP,NLP,NLP,9,07/07/2022 12:00:00 AM
2022-07-11T04-15-25,16701,GHS-BRADFORD,NLP,NLP,NLP,9,07/07/2022 12:00:00 AM
2022-07-12T04-15-22,16701,GHS-BRADFORD,NLP,NLP,NLP,9,07/11/2022 12:00:00 AM
2022-07-13T04-15-22,16701,GHS-BRADFORD,NLP,NLP,NLP,9,07/11/2022 12:00:00 AM
2022-07-14T04-15-29,16701,GHS-BRADFORD,NLP,NLP,NLP,9,07/11/2022 12:00:00 AM
2022-07-15T04-15-46,16701,GHS-BRADFORD,NLP,NLP,NLP,9,07/14/2022 12:00:00 AM
2022-07-17T04-15-18,16701,GHS-BRADFORD,NLP,NLP,NLP,9,07/14/2022 12:00:00 AM
2022-07-18T04-15-21,16701,GHS-BRADFORD,NLP,NLP,NLP,9,07/14/2022 12:00:00 AM
2022-07-18T07-55-19,16701,GHS-BRADFORD,NLP,NLP,NLP,9,07/14/2022 12:00:00 AM
