2022-03-08T14-40-56,04543,LINCOLNHEALTH,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,20,,
2022-05-04T05-12-02,04543,LINCOLNHEALTH,NLP,NLP,NLP,45,05/03/2022 12:00:00 AM
2022-05-05T09-49-47,04543,LINCOLNHEALTH,NLP,NLP,NLP,42,05/04/2022 12:00:00 AM
2022-05-06T06-12-41,04543,LINCOLNHEALTH,NLP,NLP,NLP,40,05/05/2022 12:00:00 AM
2022-05-07T05-45-31,04543,LINCOLNHEALTH,NLP,NLP,NLP,64,05/06/2022 12:00:00 AM
2022-05-08T10-02-59,04543,LINCOLNHEALTH,NLP,NLP,NLP,64,05/06/2022 12:00:00 AM
2022-05-09T05-08-14,04543,LINCOLNHEALTH,NLP,NLP,NLP,64,05/06/2022 12:00:00 AM
2022-05-10T06-06-54,04543,LINCOLNHEALTH,NLP,NLP,NLP,54,05/09/2022 12:00:00 AM
2022-05-11T06-51-12,04543,LINCOLNHEALTH,NLP,NLP,NLP,52,05/10/2022 12:00:00 AM
2022-05-12T07-16-49,04543,LINCOLNHEALTH,NLP,NLP,NLP,48,05/11/2022 12:00:00 AM
2022-05-13T06-07-31,04543,LINCOLNHEALTH,NLP,NLP,NLP,48,05/11/2022 12:00:00 AM
2022-05-14T08-49-14,04543,LINCOLNHEALTH,NLP,NLP,NLP,37,05/13/2022 12:00:00 AM
2022-05-15T05-54-13,04543,LINCOLNHEALTH,NLP,NLP,NLP,37,05/13/2022 12:00:00 AM
2022-05-16T05-54-24,04543,LINCOLNHEALTH,NLP,NLP,NLP,30,05/15/2022 12:00:00 AM
2022-05-17T05-27-38,04543,LINCOLNHEALTH,NLP,NLP,NLP,30,05/16/2022 12:00:00 AM
2022-05-18T05-40-23,04543,LINCOLNHEALTH,NLP,NLP,NLP,30,05/16/2022 12:00:00 AM
2022-05-19T05-25-31,04543,LINCOLNHEALTH,NLP,NLP,NLP,41,05/18/2022 12:00:00 AM
2022-05-20T05-59-40,04543,LINCOLNHEALTH,NLP,NLP,NLP,41,05/18/2022 12:00:00 AM
2022-05-21T05-54-21,04543,LINCOLNHEALTH,NLP,NLP,NLP,38,05/20/2022 12:00:00 AM
2022-05-22T09-07-10,04543,LINCOLNHEALTH,NLP,NLP,NLP,38,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,04543,LINCOLNHEALTH,NLP,NLP,NLP,38,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,04543,LINCOLNHEALTH,NLP,NLP,NLP,38,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,04543,LINCOLNHEALTH,NLP,NLP,NLP,38,05/20/2022 12:00:00 AM
