2022-02-18T16-04-21,35974,GERALDINE CLINIC,02/17/2022 12:00:00 AM,,5,0,02/16/2022 12:00:00 AM
2022-03-03T09-56-49,35974,GERALDINE CLINIC,02/21/2022 12:00:00 AM,,15,5,02/23/2022 12:00:00 AM
2022-03-03T10-04-44,35974,GERALDINE CLINIC,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,15,5,02/23/2022 12:00:00 AM
2022-03-08T14-40-56,35974,GERALDINE CLINIC,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,15,5,02/23/2022 12:00:00 AM
2022-03-18T11-17-38,35974,GERALDINE CLINIC,NLP,NLP,NLP,14,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,35974,GERALDINE CLINIC,NLP,NLP,NLP,14,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,35974,GERALDINE CLINIC,NLP,NLP,NLP,14,03/17/2022 12:00:00 AM
2022-03-19T11-58-02,35974,GERALDINE CLINIC,NLP,NLP,NLP,14,03/17/2022 12:00:00 AM
2022-03-20T06-05-37,35974,GERALDINE CLINIC,NLP,NLP,NLP,14,03/17/2022 12:00:00 AM
2022-03-21T06-11-50,35974,GERALDINE CLINIC,NLP,NLP,NLP,14,03/17/2022 12:00:00 AM
2022-03-21T14-18-38,35974,GERALDINE CLINIC,NLP,NLP,NLP,14,03/17/2022 12:00:00 AM
2022-03-21T16-35-27,35974,GERALDINE CLINIC,NLP,NLP,NLP,14,03/17/2022 12:00:00 AM
2022-03-22T09-16-18,35974,GERALDINE CLINIC,NLP,NLP,NLP,14,03/17/2022 12:00:00 AM
2022-03-23T08-41-43,35974,GERALDINE CLINIC,NLP,NLP,NLP,14,03/17/2022 12:00:00 AM
2022-03-24T07-49-11,35974,GERALDINE CLINIC,NLP,NLP,NLP,14,03/17/2022 12:00:00 AM
2022-03-24T13-46-29,35974,GERALDINE CLINIC,NLP,NLP,NLP,14,03/17/2022 12:00:00 AM
2022-03-28T06-21-17,35974,GERALDINE CLINIC,NLP,NLP,NLP,14,03/17/2022 12:00:00 AM
2022-03-29T08-50-48,35974,GERALDINE CLINIC,NLP,NLP,NLP,14,03/17/2022 12:00:00 AM
2022-03-30T09-27-07,35974,GERALDINE CLINIC,NLP,NLP,NLP,14,03/17/2022 12:00:00 AM
2022-03-31T08-53-07,35974,GERALDINE CLINIC,NLP,NLP,NLP,14,03/17/2022 12:00:00 AM
2022-03-31T15-09-22,35974,GERALDINE CLINIC,NLP,NLP,NLP,14,03/17/2022 12:00:00 AM
2022-04-01T06-54-45,35974,GERALDINE CLINIC,NLP,NLP,NLP,14,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,35974,GERALDINE CLINIC,NLP,NLP,NLP,14,03/31/2022 12:00:00 AM
2022-04-03T05-51-54,35974,GERALDINE CLINIC,NLP,NLP,NLP,14,03/31/2022 12:00:00 AM
2022-04-04T05-38-24,35974,GERALDINE CLINIC,NLP,NLP,NLP,14,03/31/2022 12:00:00 AM
2022-04-05T05-48-33,35974,GERALDINE CLINIC,NLP,NLP,NLP,14,03/31/2022 12:00:00 AM
2022-04-06T05-45-18,35974,GERALDINE CLINIC,NLP,NLP,NLP,14,03/31/2022 12:00:00 AM
2022-04-07T05-34-07,35974,GERALDINE CLINIC,NLP,NLP,NLP,14,03/31/2022 12:00:00 AM
2022-04-08T05-48-29,35974,GERALDINE CLINIC,NLP,NLP,NLP,14,03/31/2022 12:00:00 AM
2022-04-09T05-41-09,35974,GERALDINE CLINIC,NLP,NLP,NLP,14,03/31/2022 12:00:00 AM
2022-04-10T09-31-27,35974,GERALDINE CLINIC,NLP,NLP,NLP,14,03/31/2022 12:00:00 AM
2022-04-11T07-06-23,35974,GERALDINE CLINIC,NLP,NLP,NLP,14,03/31/2022 12:00:00 AM
2022-04-12T07-06-55,35974,GERALDINE CLINIC,NLP,NLP,NLP,14,03/31/2022 12:00:00 AM
2022-04-13T09-20-57,35974,GERALDINE CLINIC,NLP,NLP,NLP,14,03/31/2022 12:00:00 AM
2022-04-13T11-55-39,35974,GERALDINE CLINIC,NLP,NLP,NLP,14,03/31/2022 12:00:00 AM
2022-04-14T09-18-06,35974,GERALDINE CLINIC,NLP,NLP,NLP,14,03/31/2022 12:00:00 AM
2022-04-15T06-03-51,35974,GERALDINE CLINIC,NLP,NLP,NLP,14,03/31/2022 12:00:00 AM
2022-04-16T05-33-42,35974,GERALDINE CLINIC,NLP,NLP,NLP,14,03/31/2022 12:00:00 AM
2022-04-17T05-32-24,35974,GERALDINE CLINIC,NLP,NLP,NLP,14,03/31/2022 12:00:00 AM
2022-04-18T05-31-10,35974,GERALDINE CLINIC,NLP,NLP,NLP,14,03/31/2022 12:00:00 AM
2022-04-19T05-39-24,35974,GERALDINE CLINIC,NLP,NLP,NLP,14,03/31/2022 12:00:00 AM
2022-04-20T05-27-37,35974,GERALDINE CLINIC,NLP,NLP,NLP,14,03/31/2022 12:00:00 AM
2022-04-21T05-29-54,35974,GERALDINE CLINIC,NLP,NLP,NLP,14,03/31/2022 12:00:00 AM
2022-04-22T05-26-18,35974,GERALDINE CLINIC,NLP,NLP,NLP,14,03/31/2022 12:00:00 AM
2022-04-23T05-25-10,35974,GERALDINE CLINIC,NLP,NLP,NLP,14,03/31/2022 12:00:00 AM
2022-05-06T06-12-41,35974,GERALDINE CLINIC,NLP,NLP,NLP,14,05/05/2022 12:00:00 AM
2022-05-07T05-45-31,35974,GERALDINE CLINIC,NLP,NLP,NLP,14,05/05/2022 12:00:00 AM
2022-05-08T10-02-59,35974,GERALDINE CLINIC,NLP,NLP,NLP,14,05/05/2022 12:00:00 AM
2022-05-09T05-08-14,35974,GERALDINE CLINIC,NLP,NLP,NLP,14,05/05/2022 12:00:00 AM
2022-05-10T06-06-54,35974,GERALDINE CLINIC,NLP,NLP,NLP,14,05/05/2022 12:00:00 AM
2022-05-11T06-51-12,35974,GERALDINE CLINIC,NLP,NLP,NLP,14,05/05/2022 12:00:00 AM
2022-05-12T07-16-49,35974,GERALDINE CLINIC,NLP,NLP,NLP,14,05/05/2022 12:00:00 AM
2022-05-13T06-07-31,35974,GERALDINE CLINIC,NLP,NLP,NLP,14,05/05/2022 12:00:00 AM
2022-05-14T08-49-14,35974,GERALDINE CLINIC,NLP,NLP,NLP,14,05/13/2022 12:00:00 AM
2022-05-15T05-54-13,35974,GERALDINE CLINIC,NLP,NLP,NLP,14,05/13/2022 12:00:00 AM
2022-05-16T05-54-24,35974,GERALDINE CLINIC,NLP,NLP,NLP,14,05/13/2022 12:00:00 AM
2022-05-17T05-27-38,35974,GERALDINE CLINIC,NLP,NLP,NLP,14,05/13/2022 12:00:00 AM
2022-05-18T05-40-23,35974,GERALDINE CLINIC,NLP,NLP,NLP,14,05/13/2022 12:00:00 AM
2022-05-19T05-25-31,35974,GERALDINE CLINIC,NLP,NLP,NLP,14,05/13/2022 12:00:00 AM
