2022-02-18T16-04-21,10466,MONTEFIORE MEDICAL CENTER WAKEFIELD,02/17/2022 12:00:00 AM,,10,,
2022-03-03T09-56-49,10466,MONTEFIORE MEDICAL CENTER WAKEFIELD,02/24/2022 12:00:00 AM,,40,,
2022-03-03T10-04-44,10466,MONTEFIORE MEDICAL CENTER WAKEFIELD,02/24/2022 12:00:00 AM,02/25/2022 12:00:00 AM,40,40,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,10466,MONTEFIORE MEDICAL CENTER WAKEFIELD,02/24/2022 12:00:00 AM,02/25/2022 12:00:00 AM,40,40,03/02/2022 12:00:00 AM
2022-03-23T08-41-43,10466,MONTEFIORE MEDICAL CENTER WAKEFIELD,NLP,NLP,NLP,60,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,10466,MONTEFIORE MEDICAL CENTER WAKEFIELD,NLP,NLP,NLP,60,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,10466,MONTEFIORE MEDICAL CENTER WAKEFIELD,NLP,NLP,NLP,50,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,10466,MONTEFIORE MEDICAL CENTER WAKEFIELD,NLP,NLP,NLP,50,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,10466,MONTEFIORE MEDICAL CENTER WAKEFIELD,NLP,NLP,NLP,50,03/24/2022 12:00:00 AM
2022-03-26T12-42-50,10466,MONTEFIORE MEDICAL CENTER WAKEFIELD,NLP,NLP,NLP,50,03/24/2022 12:00:00 AM
2022-03-27T06-25-27,10466,MONTEFIORE MEDICAL CENTER WAKEFIELD,NLP,NLP,NLP,50,03/24/2022 12:00:00 AM
2022-03-28T06-21-17,10466,MONTEFIORE MEDICAL CENTER WAKEFIELD,NLP,NLP,NLP,50,03/24/2022 12:00:00 AM
2022-03-29T08-50-48,10466,MONTEFIORE MEDICAL CENTER WAKEFIELD,NLP,NLP,NLP,110,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,10466,MONTEFIORE MEDICAL CENTER WAKEFIELD,NLP,NLP,NLP,110,03/28/2022 12:00:00 AM
2022-03-31T08-53-07,10466,MONTEFIORE MEDICAL CENTER WAKEFIELD,NLP,NLP,NLP,110,03/28/2022 12:00:00 AM
