2022-02-18T16-04-21,24801,WELCH COMMUNITY HOSP,02/15/2022 12:00:00 AM,,10,,
2022-03-03T09-56-49,24801,WELCH COMMUNITY HOSP,02/28/2022 12:00:00 AM,,25,,
2022-03-03T10-04-44,24801,WELCH COMMUNITY HOSP,02/28/2022 12:00:00 AM,02/24/2022 12:00:00 AM,25,,
2022-03-08T14-40-56,24801,WELCH COMMUNITY HOSP,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,25,,
2022-05-24T05-46-03,24801,WELCH COMMUNITY HOSP,NLP,NLP,NLP,7,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,24801,WELCH COMMUNITY HOSP,NLP,NLP,NLP,7,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,24801,WELCH COMMUNITY HOSP,NLP,NLP,NLP,7,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,24801,WELCH COMMUNITY HOSP,NLP,NLP,NLP,7,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,24801,WELCH COMMUNITY HOSP,NLP,NLP,NLP,7,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,24801,WELCH COMMUNITY HOSP,NLP,NLP,NLP,7,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,24801,WELCH COMMUNITY HOSP,NLP,NLP,NLP,7,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,24801,WELCH COMMUNITY HOSP,NLP,NLP,NLP,7,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,24801,WELCH COMMUNITY HOSP,NLP,NLP,NLP,7,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,24801,WELCH COMMUNITY HOSP,NLP,NLP,NLP,7,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,24801,WELCH COMMUNITY HOSP,NLP,NLP,NLP,7,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,24801,WELCH COMMUNITY HOSP,NLP,NLP,NLP,7,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,24801,WELCH COMMUNITY HOSP,NLP,NLP,NLP,7,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,24801,WELCH COMMUNITY HOSP,NLP,NLP,NLP,7,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,24801,WELCH COMMUNITY HOSP,NLP,NLP,NLP,7,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,24801,WELCH COMMUNITY HOSP,NLP,NLP,NLP,7,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,24801,WELCH COMMUNITY HOSP,NLP,NLP,NLP,7,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,24801,WELCH COMMUNITY HOSP,NLP,NLP,NLP,7,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,24801,WELCH COMMUNITY HOSP,NLP,NLP,NLP,7,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,24801,WELCH COMMUNITY HOSP,NLP,NLP,NLP,7,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,24801,WELCH COMMUNITY HOSP,NLP,NLP,NLP,7,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,24801,WELCH COMMUNITY HOSP,NLP,NLP,NLP,7,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,24801,WELCH COMMUNITY HOSP,NLP,NLP,NLP,7,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,24801,WELCH COMMUNITY HOSP,NLP,NLP,NLP,7,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,24801,WELCH COMMUNITY HOSP,NLP,NLP,NLP,7,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,24801,WELCH COMMUNITY HOSP,NLP,NLP,NLP,7,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,24801,WELCH COMMUNITY HOSP,NLP,NLP,NLP,7,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,24801,WELCH COMMUNITY HOSP,NLP,NLP,NLP,7,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,24801,WELCH COMMUNITY HOSP,NLP,NLP,NLP,7,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,24801,WELCH COMMUNITY HOSP,NLP,NLP,NLP,7,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,24801,WELCH COMMUNITY HOSP,NLP,NLP,NLP,7,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,24801,WELCH COMMUNITY HOSP,NLP,NLP,NLP,7,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,24801,WELCH COMMUNITY HOSP,NLP,NLP,NLP,7,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,24801,WELCH COMMUNITY HOSP,NLP,NLP,NLP,7,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,24801,WELCH COMMUNITY HOSP,NLP,NLP,NLP,7,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,24801,WELCH COMMUNITY HOSP,NLP,NLP,NLP,7,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,24801,WELCH COMMUNITY HOSP,NLP,NLP,NLP,7,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,24801,WELCH COMMUNITY HOSP,NLP,NLP,NLP,7,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,24801,WELCH COMMUNITY HOSP,NLP,NLP,NLP,7,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,24801,WELCH COMMUNITY HOSP,NLP,NLP,NLP,7,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,24801,WELCH COMMUNITY HOSP,NLP,NLP,NLP,7,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,24801,WELCH COMMUNITY HOSP,NLP,NLP,NLP,7,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,24801,WELCH COMMUNITY HOSP,NLP,NLP,NLP,7,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,24801,WELCH COMMUNITY HOSP,NLP,NLP,NLP,7,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,24801,WELCH COMMUNITY HOSP,NLP,NLP,NLP,7,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,24801,WELCH COMMUNITY HOSP,NLP,NLP,NLP,7,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,24801,WELCH COMMUNITY HOSP,NLP,NLP,NLP,7,05/23/2022 12:00:00 AM
2022-05-26T07-59-29,24801,WELCH COMMUNITY HOSP,NLP,NLP,NLP,7,05/23/2022 12:00:00 AM
2022-05-26T07-59-29,24801,WELCH COMMUNITY HOSP,NLP,NLP,NLP,7,05/23/2022 12:00:00 AM
2022-05-26T07-59-29,24801,WELCH COMMUNITY HOSP,NLP,NLP,NLP,7,05/23/2022 12:00:00 AM
2022-05-27T05-48-57,24801,WELCH COMMUNITY HOSP,NLP,NLP,NLP,7,05/23/2022 12:00:00 AM
2022-05-28T05-34-18,24801,WELCH COMMUNITY HOSP,NLP,NLP,NLP,7,05/23/2022 12:00:00 AM
2022-05-29T05-31-58,24801,WELCH COMMUNITY HOSP,NLP,NLP,NLP,7,05/23/2022 12:00:00 AM
2022-05-30T05-32-42,24801,WELCH COMMUNITY HOSP,NLP,NLP,NLP,7,05/23/2022 12:00:00 AM
2022-05-31T08-56-01,24801,WELCH COMMUNITY HOSP,NLP,NLP,NLP,7,05/23/2022 12:00:00 AM
2022-06-01T05-37-50,24801,WELCH COMMUNITY HOSP,NLP,NLP,NLP,12,05/31/2022 12:00:00 AM
2022-06-02T07-54-10,24801,WELCH COMMUNITY HOSP,NLP,NLP,NLP,12,05/31/2022 12:00:00 AM
2022-06-03T08-50-11,24801,WELCH COMMUNITY HOSP,NLP,NLP,NLP,12,05/31/2022 12:00:00 AM
2022-06-04T19-11-08,24801,WELCH COMMUNITY HOSP,NLP,NLP,NLP,12,05/31/2022 12:00:00 AM
2022-06-05T08-48-25,24801,WELCH COMMUNITY HOSP,NLP,NLP,NLP,12,05/31/2022 12:00:00 AM
2022-06-06T06-32-51,24801,WELCH COMMUNITY HOSP,NLP,NLP,NLP,12,05/31/2022 12:00:00 AM
