2022-02-18T16-04-21,11794,STONY BROOK UNIV MEDICAL CTR,02/17/2022 12:00:00 AM,,15,0,02/18/2022 12:00:00 AM
2022-03-03T09-56-49,11794,STONY BROOK UNIV MEDICAL CTR,02/24/2022 12:00:00 AM,,25,25,02/28/2022 12:00:00 AM
2022-03-03T10-04-44,11794,STONY BROOK UNIV MEDICAL CTR,02/24/2022 12:00:00 AM,02/25/2022 12:00:00 AM,25,25,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,11794,STONY BROOK UNIV MEDICAL CTR,02/24/2022 12:00:00 AM,02/25/2022 12:00:00 AM,25,25,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,11794,STONY BROOK UNIV MEDICAL CTR,NLP,NLP,NLP,24,03/11/2022 12:00:00 AM
2022-03-18T11-17-38,11794,STONY BROOK UNIV MEDICAL CTR,NLP,NLP,NLP,24,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,11794,STONY BROOK UNIV MEDICAL CTR,NLP,NLP,NLP,24,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,11794,STONY BROOK UNIV MEDICAL CTR,NLP,NLP,NLP,24,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,11794,STONY BROOK UNIV MEDICAL CTR,NLP,NLP,NLP,24,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,11794,STONY BROOK UNIV MEDICAL CTR,NLP,NLP,NLP,24,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,11794,STONY BROOK UNIV MEDICAL CTR,NLP,NLP,NLP,24,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,11794,STONY BROOK UNIV MEDICAL CTR,NLP,NLP,NLP,24,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,11794,STONY BROOK UNIV MEDICAL CTR,NLP,NLP,NLP,24,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,11794,STONY BROOK UNIV MEDICAL CTR,NLP,NLP,NLP,24,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,11794,STONY BROOK UNIV MEDICAL CTR,NLP,NLP,NLP,24,03/21/2022 12:00:00 AM
2022-03-24T07-49-11,11794,STONY BROOK UNIV MEDICAL CTR,NLP,NLP,NLP,24,03/21/2022 12:00:00 AM
2022-03-24T13-46-29,11794,STONY BROOK UNIV MEDICAL CTR,NLP,NLP,NLP,34,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,11794,STONY BROOK UNIV MEDICAL CTR,NLP,NLP,NLP,34,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,11794,STONY BROOK UNIV MEDICAL CTR,NLP,NLP,NLP,34,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,11794,STONY BROOK UNIV MEDICAL CTR,NLP,NLP,NLP,34,03/25/2022 12:00:00 AM
