2022-02-18T16-04-21,21701,FREDERICK HEALTH HOSPITAL,02/17/2022 12:00:00 AM,,20,80,02/17/2022 12:00:00 AM
2022-03-03T09-56-49,21701,FREDERICK HEALTH HOSPITAL,02/24/2022 12:00:00 AM,,75,79,02/23/2022 12:00:00 AM
2022-03-03T10-04-44,21701,FREDERICK HEALTH HOSPITAL,02/24/2022 12:00:00 AM,03/01/2022 12:00:00 AM,75,79,02/23/2022 12:00:00 AM
2022-03-08T14-40-56,21701,FREDERICK HEALTH HOSPITAL,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,95,79,02/23/2022 12:00:00 AM
2022-03-29T08-50-48,21701,FREDERICK HEALTH HOSPITAL,NLP,NLP,NLP,79,02/23/2022 12:00:00 AM
2022-03-30T09-27-07,21701,FREDERICK HEALTH HOSPITAL,NLP,NLP,NLP,79,02/23/2022 12:00:00 AM
2022-03-31T08-53-07,21701,FREDERICK HEALTH HOSPITAL,NLP,NLP,NLP,79,02/23/2022 12:00:00 AM
2022-03-31T15-09-22,21701,FREDERICK HEALTH HOSPITAL,NLP,NLP,NLP,79,02/23/2022 12:00:00 AM
2022-04-01T06-54-45,21701,FREDERICK HEALTH HOSPITAL,NLP,NLP,NLP,79,02/23/2022 12:00:00 AM
2022-04-02T06-05-59,21701,FREDERICK HEALTH HOSPITAL,NLP,NLP,NLP,79,02/23/2022 12:00:00 AM
2022-04-03T05-51-54,21701,FREDERICK HEALTH HOSPITAL,NLP,NLP,NLP,79,02/23/2022 12:00:00 AM
2022-04-04T05-38-24,21701,FREDERICK HEALTH HOSPITAL,NLP,NLP,NLP,79,02/23/2022 12:00:00 AM
2022-04-05T05-48-33,21701,FREDERICK HEALTH HOSPITAL,NLP,NLP,NLP,79,02/23/2022 12:00:00 AM
2022-04-06T05-45-18,21701,FREDERICK HEALTH HOSPITAL,NLP,NLP,NLP,79,02/23/2022 12:00:00 AM
2022-04-07T05-34-07,21701,FREDERICK HEALTH HOSPITAL,NLP,NLP,NLP,79,02/23/2022 12:00:00 AM
2022-04-08T05-48-29,21701,FREDERICK HEALTH HOSPITAL,NLP,NLP,NLP,79,02/23/2022 12:00:00 AM
2022-04-09T05-41-09,21701,FREDERICK HEALTH HOSPITAL,NLP,NLP,NLP,79,02/23/2022 12:00:00 AM
2022-04-10T09-31-27,21701,FREDERICK HEALTH HOSPITAL,NLP,NLP,NLP,79,02/23/2022 12:00:00 AM
2022-04-11T07-06-23,21701,FREDERICK HEALTH HOSPITAL,NLP,NLP,NLP,79,02/23/2022 12:00:00 AM
2022-04-12T07-06-55,21701,FREDERICK HEALTH HOSPITAL,NLP,NLP,NLP,79,02/23/2022 12:00:00 AM
2022-04-13T09-20-57,21701,FREDERICK HEALTH HOSPITAL,NLP,NLP,NLP,79,02/23/2022 12:00:00 AM
2022-04-13T11-55-39,21701,FREDERICK HEALTH HOSPITAL,NLP,NLP,NLP,79,02/23/2022 12:00:00 AM
2022-04-14T09-18-06,21701,FREDERICK HEALTH HOSPITAL,NLP,NLP,NLP,79,02/23/2022 12:00:00 AM
2022-04-15T06-03-51,21701,FREDERICK HEALTH HOSPITAL,NLP,NLP,NLP,79,02/23/2022 12:00:00 AM
2022-04-16T05-33-42,21701,FREDERICK HEALTH HOSPITAL,NLP,NLP,NLP,79,02/23/2022 12:00:00 AM
2022-04-17T05-32-24,21701,FREDERICK HEALTH HOSPITAL,NLP,NLP,NLP,79,02/23/2022 12:00:00 AM
2022-04-18T05-31-10,21701,FREDERICK HEALTH HOSPITAL,NLP,NLP,NLP,79,02/23/2022 12:00:00 AM
2022-04-19T05-39-24,21701,FREDERICK HEALTH HOSPITAL,NLP,NLP,NLP,79,02/23/2022 12:00:00 AM
2022-04-20T05-27-37,21701,FREDERICK HEALTH HOSPITAL,NLP,NLP,NLP,117,04/19/2022 12:00:00 AM
2022-04-21T05-29-54,21701,FREDERICK HEALTH HOSPITAL,NLP,NLP,NLP,117,04/20/2022 12:00:00 AM
2022-04-22T05-26-18,21701,FREDERICK HEALTH HOSPITAL,NLP,NLP,NLP,117,04/20/2022 12:00:00 AM
2022-04-23T05-25-10,21701,FREDERICK HEALTH HOSPITAL,NLP,NLP,NLP,117,04/20/2022 12:00:00 AM
2022-04-24T05-22-24,21701,FREDERICK HEALTH HOSPITAL,NLP,NLP,NLP,117,04/20/2022 12:00:00 AM
2022-04-25T05-22-33,21701,FREDERICK HEALTH HOSPITAL,NLP,NLP,NLP,117,04/20/2022 12:00:00 AM
2022-04-26T05-20-54,21701,FREDERICK HEALTH HOSPITAL,NLP,NLP,NLP,117,04/20/2022 12:00:00 AM
2022-04-27T05-23-49,21701,FREDERICK HEALTH HOSPITAL,NLP,NLP,NLP,117,04/20/2022 12:00:00 AM
2022-04-28T09-22-45,21701,FREDERICK HEALTH HOSPITAL,NLP,NLP,NLP,117,04/20/2022 12:00:00 AM
2022-04-29T05-13-54,21701,FREDERICK HEALTH HOSPITAL,NLP,NLP,NLP,117,04/20/2022 12:00:00 AM
2022-04-30T05-15-55,21701,FREDERICK HEALTH HOSPITAL,NLP,NLP,NLP,117,04/20/2022 12:00:00 AM
