2022-03-03T09-56-49,35603,WHITFIELD FAMILY PRACTICE LLC,02/23/2022 12:00:00 AM,,5,,
2022-03-03T10-04-44,35603,WHITFIELD FAMILY PRACTICE LLC,03/01/2022 12:00:00 AM,03/01/2022 12:00:00 AM,10,,
2022-03-08T14-40-56,35603,WHITFIELD FAMILY PRACTICE LLC,03/01/2022 12:00:00 AM,03/03/2022 12:00:00 AM,10,,
2022-06-04T19-11-08,35603,WHITFIELD FAMILY PRACTICE LLC,NLP,NLP,NLP,2,06/03/2022 12:00:00 AM
2022-06-05T08-48-25,35603,WHITFIELD FAMILY PRACTICE LLC,NLP,NLP,NLP,2,06/03/2022 12:00:00 AM
2022-06-06T06-32-51,35603,WHITFIELD FAMILY PRACTICE LLC,NLP,NLP,NLP,2,06/03/2022 12:00:00 AM
2022-06-07T05-36-41,35603,WHITFIELD FAMILY PRACTICE LLC,NLP,NLP,NLP,2,06/03/2022 12:00:00 AM
2022-06-08T05-42-02,35603,WHITFIELD FAMILY PRACTICE LLC,NLP,NLP,NLP,2,06/03/2022 12:00:00 AM
2022-06-09T04-15-20,35603,WHITFIELD FAMILY PRACTICE LLC,NLP,NLP,NLP,2,06/03/2022 12:00:00 AM
2022-06-10T04-15-36,35603,WHITFIELD FAMILY PRACTICE LLC,NLP,NLP,NLP,2,06/03/2022 12:00:00 AM
2022-06-11T04-15-14,35603,WHITFIELD FAMILY PRACTICE LLC,NLP,NLP,NLP,2,06/03/2022 12:00:00 AM
2022-06-12T04-15-15,35603,WHITFIELD FAMILY PRACTICE LLC,NLP,NLP,NLP,2,06/03/2022 12:00:00 AM
2022-06-13T04-15-40,35603,WHITFIELD FAMILY PRACTICE LLC,NLP,NLP,NLP,2,06/03/2022 12:00:00 AM
2022-06-14T04-15-16,35603,WHITFIELD FAMILY PRACTICE LLC,NLP,NLP,NLP,2,06/03/2022 12:00:00 AM
2022-06-15T04-15-27,35603,WHITFIELD FAMILY PRACTICE LLC,NLP,NLP,NLP,2,06/03/2022 12:00:00 AM
2022-06-16T04-15-45,35603,WHITFIELD FAMILY PRACTICE LLC,NLP,NLP,NLP,2,06/03/2022 12:00:00 AM
2022-06-17T04-15-27,35603,WHITFIELD FAMILY PRACTICE LLC,NLP,NLP,NLP,7,06/16/2022 12:00:00 AM
2022-06-18T04-15-18,35603,WHITFIELD FAMILY PRACTICE LLC,NLP,NLP,NLP,7,06/16/2022 12:00:00 AM
2022-06-19T04-15-29,35603,WHITFIELD FAMILY PRACTICE LLC,NLP,NLP,NLP,7,06/16/2022 12:00:00 AM
2022-06-20T04-15-58,35603,WHITFIELD FAMILY PRACTICE LLC,NLP,NLP,NLP,7,06/16/2022 12:00:00 AM
2022-06-21T04-15-35,35603,WHITFIELD FAMILY PRACTICE LLC,NLP,NLP,NLP,7,06/16/2022 12:00:00 AM
2022-06-22T04-15-20,35603,WHITFIELD FAMILY PRACTICE LLC,NLP,NLP,NLP,7,06/16/2022 12:00:00 AM
2022-06-23T04-15-16,35603,WHITFIELD FAMILY PRACTICE LLC,NLP,NLP,NLP,7,06/16/2022 12:00:00 AM
2022-06-24T04-15-26,35603,WHITFIELD FAMILY PRACTICE LLC,NLP,NLP,NLP,7,06/16/2022 12:00:00 AM
2022-06-25T04-15-18,35603,WHITFIELD FAMILY PRACTICE LLC,NLP,NLP,NLP,7,06/16/2022 12:00:00 AM
2022-06-26T04-15-17,35603,WHITFIELD FAMILY PRACTICE LLC,NLP,NLP,NLP,7,06/16/2022 12:00:00 AM
2022-06-27T04-15-31,35603,WHITFIELD FAMILY PRACTICE LLC,NLP,NLP,NLP,1,06/27/2022 12:00:00 AM
2022-06-28T04-15-44,35603,WHITFIELD FAMILY PRACTICE LLC,NLP,NLP,NLP,1,06/27/2022 12:00:00 AM
2022-06-29T04-15-40,35603,WHITFIELD FAMILY PRACTICE LLC,NLP,NLP,NLP,1,06/27/2022 12:00:00 AM
2022-06-30T04-15-32,35603,WHITFIELD FAMILY PRACTICE LLC,NLP,NLP,NLP,1,06/27/2022 12:00:00 AM
2022-07-01T04-15-22,35603,WHITFIELD FAMILY PRACTICE LLC,NLP,NLP,NLP,1,06/27/2022 12:00:00 AM
2022-07-03T14-40-38,35603,WHITFIELD FAMILY PRACTICE LLC,NLP,NLP,NLP,1,06/27/2022 12:00:00 AM
2022-07-04T04-15-29,35603,WHITFIELD FAMILY PRACTICE LLC,NLP,NLP,NLP,1,06/27/2022 12:00:00 AM
2022-07-05T04-15-18,35603,WHITFIELD FAMILY PRACTICE LLC,NLP,NLP,NLP,1,06/27/2022 12:00:00 AM
2022-07-06T04-15-19,35603,WHITFIELD FAMILY PRACTICE LLC,NLP,NLP,NLP,1,06/27/2022 12:00:00 AM
2022-07-07T04-15-17,35603,WHITFIELD FAMILY PRACTICE LLC,NLP,NLP,NLP,1,06/27/2022 12:00:00 AM
2022-07-07T13-15-18,35603,WHITFIELD FAMILY PRACTICE LLC,NLP,NLP,NLP,1,06/27/2022 12:00:00 AM
2022-07-08T04-15-19,35603,WHITFIELD FAMILY PRACTICE LLC,NLP,NLP,NLP,1,06/27/2022 12:00:00 AM
2022-07-09T04-15-19,35603,WHITFIELD FAMILY PRACTICE LLC,NLP,NLP,NLP,7,07/08/2022 12:00:00 AM
2022-07-10T04-15-26,35603,WHITFIELD FAMILY PRACTICE LLC,NLP,NLP,NLP,7,07/08/2022 12:00:00 AM
2022-07-11T04-15-25,35603,WHITFIELD FAMILY PRACTICE LLC,NLP,NLP,NLP,7,07/08/2022 12:00:00 AM
