2022-02-18T16-04-21,38834,MAGNOLIA REGIONAL HEALTH CENTER,02/16/2022 12:00:00 AM,,5,,
2022-03-03T09-56-49,38834,MAGNOLIA REGIONAL HEALTH CENTER,02/23/2022 12:00:00 AM,,10,5,02/25/2022 12:00:00 AM
2022-03-03T10-04-44,38834,MAGNOLIA REGIONAL HEALTH CENTER,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,10,10,03/01/2022 12:00:00 AM
2022-03-08T14-40-56,38834,MAGNOLIA REGIONAL HEALTH CENTER,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,10,10,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,10,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,10,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,10,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,10,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,10,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,10,03/17/2022 12:00:00 AM
2022-03-19T11-58-02,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,10,03/17/2022 12:00:00 AM
2022-03-20T06-05-37,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,10,03/17/2022 12:00:00 AM
2022-03-21T06-11-50,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,10,03/17/2022 12:00:00 AM
2022-03-21T14-18-38,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,10,03/17/2022 12:00:00 AM
2022-03-21T16-35-27,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,10,03/17/2022 12:00:00 AM
2022-03-22T09-16-18,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,10,03/17/2022 12:00:00 AM
2022-03-23T08-41-43,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,10,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,10,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,10,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,10,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,10,03/25/2022 12:00:00 AM
