2022-02-18T16-04-21,86504,FORT DEFIANCE INDIAN HOSPITAL,02/17/2022 12:00:00 AM,,10,0,02/17/2022 12:00:00 AM
2022-03-03T09-56-49,86504,FORT DEFIANCE INDIAN HOSPITAL,02/25/2022 12:00:00 AM,,20,10,02/25/2022 12:00:00 AM
2022-03-03T10-04-44,86504,FORT DEFIANCE INDIAN HOSPITAL,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,20,18,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,86504,FORT DEFIANCE INDIAN HOSPITAL,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,20,7,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,86504,FORT DEFIANCE INDIAN HOSPITAL,NLP,NLP,NLP,27,03/10/2022 12:00:00 AM
2022-03-18T09-58-11,86504,FORT DEFIANCE INDIAN HOSPITAL,NLP,NLP,NLP,27,03/10/2022 12:00:00 AM
2022-03-18T11-03-37,86504,FORT DEFIANCE INDIAN HOSPITAL,NLP,NLP,NLP,27,03/10/2022 12:00:00 AM
2022-03-21T16-35-27,86504,FORT DEFIANCE INDIAN HOSPITAL,NLP,NLP,NLP,26,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,86504,FORT DEFIANCE INDIAN HOSPITAL,NLP,NLP,NLP,26,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,86504,FORT DEFIANCE INDIAN HOSPITAL,NLP,NLP,NLP,26,03/21/2022 12:00:00 AM
2022-03-24T07-49-11,86504,FORT DEFIANCE INDIAN HOSPITAL,NLP,NLP,NLP,26,03/21/2022 12:00:00 AM
2022-03-24T13-46-29,86504,FORT DEFIANCE INDIAN HOSPITAL,NLP,NLP,NLP,26,03/21/2022 12:00:00 AM
2022-03-25T08-10-53,86504,FORT DEFIANCE INDIAN HOSPITAL,NLP,NLP,NLP,26,03/21/2022 12:00:00 AM
