2022-02-18T16-04-21,34982,MIDWAY SPECIALTY CARE - FT PIERCE,02/17/2022 12:00:00 AM,,50,0,02/16/2022 12:00:00 AM
2022-03-03T09-56-49,34982,MIDWAY SPECIALTY CARE - FT PIERCE,02/25/2022 12:00:00 AM,,60,50,02/28/2022 12:00:00 AM
2022-03-03T10-04-44,34982,MIDWAY SPECIALTY CARE - FT PIERCE,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,60,50,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,34982,Midway Specialty Care Center,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,60,50,03/02/2022 12:00:00 AM
2022-03-16T18-51-35,34982,Midway Specialty Care Center,NLP,NLP,NLP,50,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,34982,Midway Specialty Care Center,NLP,NLP,NLP,50,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,34982,Midway Specialty Care Center,NLP,NLP,NLP,50,03/09/2022 12:00:00 AM
2022-03-29T08-50-48,34982,Midway Specialty Care Center,NLP,NLP,NLP,50,03/09/2022 12:00:00 AM
2022-03-30T09-27-07,34982,Midway Specialty Care Center,NLP,NLP,NLP,50,03/09/2022 12:00:00 AM
2022-03-31T08-53-07,34982,Midway Specialty Care Center,NLP,NLP,NLP,50,03/09/2022 12:00:00 AM
2022-03-31T15-09-22,34982,Midway Specialty Care Center,NLP,NLP,NLP,50,03/09/2022 12:00:00 AM
2022-04-01T06-54-45,34982,Midway Specialty Care Center,NLP,NLP,NLP,50,03/09/2022 12:00:00 AM
2022-04-02T06-05-59,34982,Midway Specialty Care Center,NLP,NLP,NLP,50,03/09/2022 12:00:00 AM
2022-04-03T05-51-54,34982,Midway Specialty Care Center,NLP,NLP,NLP,50,03/09/2022 12:00:00 AM
2022-04-04T05-38-24,34982,Midway Specialty Care Center,NLP,NLP,NLP,50,03/09/2022 12:00:00 AM
2022-04-05T05-48-33,34982,Midway Specialty Care Center,NLP,NLP,NLP,50,03/09/2022 12:00:00 AM
2022-04-06T05-45-18,34982,Midway Specialty Care Center,NLP,NLP,NLP,50,03/09/2022 12:00:00 AM
2022-04-07T05-34-07,34982,Midway Specialty Care Center,NLP,NLP,NLP,50,03/09/2022 12:00:00 AM
2022-04-08T05-48-29,34982,Midway Specialty Care Center,NLP,NLP,NLP,50,03/09/2022 12:00:00 AM
2022-04-09T05-41-09,34982,Midway Specialty Care Center,NLP,NLP,NLP,50,03/09/2022 12:00:00 AM
