2022-03-08T14-40-56,39422,JASPER GENERAL HOSPITAL,03/01/2022 12:00:00 AM,03/04/2022 12:00:00 AM,5,,
2022-05-28T05-34-18,39422,JASPER GENERAL HOSPITAL,NLP,NLP,NLP,5,05/27/2022 12:00:00 AM
2022-05-29T05-31-58,39422,JASPER GENERAL HOSPITAL,NLP,NLP,NLP,5,05/27/2022 12:00:00 AM
2022-05-30T05-32-42,39422,JASPER GENERAL HOSPITAL,NLP,NLP,NLP,5,05/27/2022 12:00:00 AM
2022-05-31T08-56-01,39422,JASPER GENERAL HOSPITAL,NLP,NLP,NLP,5,05/27/2022 12:00:00 AM
2022-06-01T05-37-50,39422,JASPER GENERAL HOSPITAL,NLP,NLP,NLP,5,05/27/2022 12:00:00 AM
2022-06-02T07-54-10,39422,JASPER GENERAL HOSPITAL,NLP,NLP,NLP,5,05/27/2022 12:00:00 AM
2022-06-03T08-50-11,39422,JASPER GENERAL HOSPITAL,NLP,NLP,NLP,5,05/27/2022 12:00:00 AM
2022-06-04T19-11-08,39422,JASPER GENERAL HOSPITAL,NLP,NLP,NLP,5,05/27/2022 12:00:00 AM
2022-06-05T08-48-25,39422,JASPER GENERAL HOSPITAL,NLP,NLP,NLP,5,05/27/2022 12:00:00 AM
2022-06-06T06-32-51,39422,JASPER GENERAL HOSPITAL,NLP,NLP,NLP,5,05/27/2022 12:00:00 AM
2022-06-07T05-36-41,39422,JASPER GENERAL HOSPITAL,NLP,NLP,NLP,5,05/27/2022 12:00:00 AM
2022-06-08T05-42-02,39422,JASPER GENERAL HOSPITAL,NLP,NLP,NLP,5,05/27/2022 12:00:00 AM
