2022-02-18T16-04-21,71801,PAFFORD HEALTH SYSTEMS INC,02/16/2022 12:00:00 AM,,10,,
2022-03-03T09-56-49,71801,PAFFORD HEALTH SYSTEMS INC,02/22/2022 12:00:00 AM,,20,,
2022-03-03T10-04-44,71801,PAFFORD HEALTH SYSTEMS INC,03/01/2022 12:00:00 AM,02/24/2022 12:00:00 AM,30,,
2022-03-08T14-40-56,71801,PAFFORD HEALTH SYSTEMS INC,03/01/2022 12:00:00 AM,03/03/2022 12:00:00 AM,30,,
2022-06-08T05-42-02,71801,PAFFORD HEALTH SYSTEMS INC,NLP,NLP,NLP,25,06/07/2022 12:00:00 AM
2022-06-09T04-15-20,71801,PAFFORD HEALTH SYSTEMS INC,NLP,NLP,NLP,25,06/07/2022 12:00:00 AM
2022-06-10T04-15-36,71801,PAFFORD HEALTH SYSTEMS INC,NLP,NLP,NLP,25,06/07/2022 12:00:00 AM
2022-06-11T04-15-14,71801,PAFFORD HEALTH SYSTEMS INC,NLP,NLP,NLP,21,06/11/2022 12:00:00 AM
2022-06-12T04-15-15,71801,PAFFORD HEALTH SYSTEMS INC,NLP,NLP,NLP,21,06/11/2022 12:00:00 AM
2022-06-13T04-15-40,71801,PAFFORD HEALTH SYSTEMS INC,NLP,NLP,NLP,21,06/11/2022 12:00:00 AM
2022-06-14T04-15-16,71801,PAFFORD HEALTH SYSTEMS INC,NLP,NLP,NLP,21,06/11/2022 12:00:00 AM
2022-06-15T04-15-27,71801,PAFFORD HEALTH SYSTEMS INC,NLP,NLP,NLP,15,06/14/2022 12:00:00 AM
2022-06-16T04-15-45,71801,PAFFORD HEALTH SYSTEMS INC,NLP,NLP,NLP,15,06/14/2022 12:00:00 AM
2022-06-17T04-15-27,71801,PAFFORD HEALTH SYSTEMS INC,NLP,NLP,NLP,15,06/14/2022 12:00:00 AM
2022-06-18T04-15-18,71801,PAFFORD HEALTH SYSTEMS INC,NLP,NLP,NLP,15,06/14/2022 12:00:00 AM
2022-06-19T04-15-29,71801,PAFFORD HEALTH SYSTEMS INC,NLP,NLP,NLP,10,06/18/2022 12:00:00 AM
2022-06-20T04-15-58,71801,PAFFORD HEALTH SYSTEMS INC,NLP,NLP,NLP,10,06/18/2022 12:00:00 AM
2022-06-21T04-15-35,71801,PAFFORD HEALTH SYSTEMS INC,NLP,NLP,NLP,10,06/18/2022 12:00:00 AM
2022-06-22T04-15-20,71801,PAFFORD HEALTH SYSTEMS INC,NLP,NLP,NLP,10,06/21/2022 12:00:00 AM
2022-06-23T04-15-16,71801,PAFFORD HEALTH SYSTEMS INC,NLP,NLP,NLP,5,06/22/2022 12:00:00 AM
2022-06-24T04-15-26,71801,PAFFORD HEALTH SYSTEMS INC,NLP,NLP,NLP,1,06/23/2022 12:00:00 AM
2022-06-25T04-15-18,71801,PAFFORD HEALTH SYSTEMS INC,NLP,NLP,NLP,9,06/24/2022 12:00:00 AM
2022-06-26T04-15-17,71801,PAFFORD HEALTH SYSTEMS INC,NLP,NLP,NLP,9,06/24/2022 12:00:00 AM
2022-06-27T04-15-31,71801,PAFFORD HEALTH SYSTEMS INC,NLP,NLP,NLP,9,06/24/2022 12:00:00 AM
2022-06-28T04-15-44,71801,PAFFORD HEALTH SYSTEMS INC,NLP,NLP,NLP,4,06/27/2022 12:00:00 AM
2022-07-03T14-40-38,71801,PAFFORD HEALTH SYSTEMS INC,NLP,NLP,NLP,20,07/01/2022 12:00:00 AM
2022-07-04T04-15-29,71801,PAFFORD HEALTH SYSTEMS INC,NLP,NLP,NLP,20,07/01/2022 12:00:00 AM
2022-07-05T04-15-18,71801,PAFFORD HEALTH SYSTEMS INC,NLP,NLP,NLP,20,07/01/2022 12:00:00 AM
2022-07-06T04-15-19,71801,PAFFORD HEALTH SYSTEMS INC,NLP,NLP,NLP,17,07/05/2022 12:00:00 AM
2022-07-07T04-15-17,71801,PAFFORD HEALTH SYSTEMS INC,NLP,NLP,NLP,17,07/05/2022 12:00:00 AM
2022-07-07T13-15-18,71801,PAFFORD HEALTH SYSTEMS INC,NLP,NLP,NLP,17,07/05/2022 12:00:00 AM
2022-07-08T04-15-19,71801,PAFFORD HEALTH SYSTEMS INC,NLP,NLP,NLP,5,07/07/2022 12:00:00 AM
2022-07-09T04-15-19,71801,PAFFORD HEALTH SYSTEMS INC,NLP,NLP,NLP,1,07/08/2022 12:00:00 AM
2022-07-10T04-15-26,71801,PAFFORD HEALTH SYSTEMS INC,NLP,NLP,NLP,1,07/08/2022 12:00:00 AM
2022-07-11T04-15-25,71801,PAFFORD HEALTH SYSTEMS INC,NLP,NLP,NLP,1,07/08/2022 12:00:00 AM
2022-07-12T04-15-22,71801,PAFFORD HEALTH SYSTEMS INC,NLP,NLP,NLP,6,07/11/2022 12:00:00 AM
