2022-02-18T16-04-21,33185,Kendall South Medical Center,02/17/2022 12:00:00 AM,,50,0,02/14/2022 12:00:00 AM
2022-04-05T05-48-33,33185,Kendall South Medical Center,NLP,NLP,NLP,0,02/14/2022 12:00:00 AM
2022-04-06T05-45-18,33185,Kendall South Medical Center,NLP,NLP,NLP,0,02/14/2022 12:00:00 AM
2022-04-07T05-34-07,33185,Kendall South Medical Center,NLP,NLP,NLP,0,02/14/2022 12:00:00 AM
2022-04-08T05-48-29,33185,Kendall South Medical Center,NLP,NLP,NLP,0,02/14/2022 12:00:00 AM
2022-04-09T05-41-09,33185,Kendall South Medical Center,NLP,NLP,NLP,0,02/14/2022 12:00:00 AM
2022-04-10T09-31-27,33185,Kendall South Medical Center,NLP,NLP,NLP,0,02/14/2022 12:00:00 AM
2022-04-11T07-06-23,33185,Kendall South Medical Center,NLP,NLP,NLP,0,02/14/2022 12:00:00 AM
2022-04-12T07-06-55,33185,Kendall South Medical Center,NLP,NLP,NLP,0,02/14/2022 12:00:00 AM
2022-04-13T09-20-57,33185,Kendall South Medical Center,NLP,NLP,NLP,0,02/14/2022 12:00:00 AM
2022-04-13T11-55-39,33185,Kendall South Medical Center,NLP,NLP,NLP,0,02/14/2022 12:00:00 AM
2022-04-14T09-18-06,33185,Kendall South Medical Center,NLP,NLP,NLP,0,02/14/2022 12:00:00 AM
