2022-02-18T16-04-21,71263,WEST CARROLL MEMORIAL HOSPITAL,02/14/2022 12:00:00 AM,,5,4,02/18/2022 12:00:00 AM
2022-03-03T09-56-49,71263,WEST CARROLL MEMORIAL HOSPITAL,02/28/2022 12:00:00 AM,,15,4,02/28/2022 12:00:00 AM
2022-03-03T10-04-44,71263,WEST CARROLL MEMORIAL HOSPITAL,02/28/2022 12:00:00 AM,02/23/2022 12:00:00 AM,15,4,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,71263,WEST CARROLL MEMORIAL HOSPITAL,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,15,9,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,71263,WEST CARROLL MEMORIAL HOSPITAL,NLP,NLP,NLP,9,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,71263,WEST CARROLL MEMORIAL HOSPITAL,NLP,NLP,NLP,23,03/14/2022 12:00:00 AM
2022-03-18T11-03-37,71263,WEST CARROLL MEMORIAL HOSPITAL,NLP,NLP,NLP,23,03/14/2022 12:00:00 AM
2022-03-18T11-17-38,71263,WEST CARROLL MEMORIAL HOSPITAL,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,71263,WEST CARROLL MEMORIAL HOSPITAL,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,71263,WEST CARROLL MEMORIAL HOSPITAL,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,71263,WEST CARROLL MEMORIAL HOSPITAL,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,71263,WEST CARROLL MEMORIAL HOSPITAL,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,71263,WEST CARROLL MEMORIAL HOSPITAL,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,71263,WEST CARROLL MEMORIAL HOSPITAL,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,71263,WEST CARROLL MEMORIAL HOSPITAL,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,71263,WEST CARROLL MEMORIAL HOSPITAL,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,71263,WEST CARROLL MEMORIAL HOSPITAL,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,71263,WEST CARROLL MEMORIAL HOSPITAL,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,71263,WEST CARROLL MEMORIAL HOSPITAL,NLP,NLP,NLP,23,03/23/2022 12:00:00 AM
