2022-02-18T16-04-21,38652,Medplus New Albany,02/17/2022 12:00:00 AM,,5,0,02/17/2022 12:00:00 AM
2022-03-03T10-04-44,38652,BAPTIST MEMORIAL HOSPITAL - UNION C,03/01/2022 12:00:00 AM,,10,,
2022-03-08T14-40-56,38652,BAPTIST MEMORIAL HOSPITAL - UNION C,03/01/2022 12:00:00 AM,03/03/2022 12:00:00 AM,10,,
2022-03-16T18-51-35,38652,BAPTIST MEMORIAL HOSPITAL - UNION C,NLP,NLP,NLP,10,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,38652,BAPTIST MEMORIAL HOSPITAL - UNION C,NLP,NLP,NLP,10,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,38652,BAPTIST MEMORIAL HOSPITAL - UNION C,NLP,NLP,NLP,10,03/09/2022 12:00:00 AM
2022-03-24T13-46-29,38652,BAPTIST MEMORIAL HOSPITAL - UNION C,NLP,NLP,NLP,10,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,38652,BAPTIST MEMORIAL HOSPITAL - UNION C,NLP,NLP,NLP,10,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,38652,BAPTIST MEMORIAL HOSPITAL - UNION C,NLP,NLP,NLP,10,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,38652,BAPTIST MEMORIAL HOSPITAL - UNION C,NLP,NLP,NLP,10,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,38652,BAPTIST MEMORIAL HOSPITAL - UNION C,NLP,NLP,NLP,10,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,38652,BAPTIST MEMORIAL HOSPITAL - UNION C,NLP,NLP,NLP,10,03/23/2022 12:00:00 AM
2022-03-29T08-50-48,38652,BAPTIST MEMORIAL HOSPITAL - UNION C,NLP,NLP,NLP,10,03/23/2022 12:00:00 AM
2022-03-30T09-27-07,38652,BAPTIST MEMORIAL HOSPITAL - UNION C,NLP,NLP,NLP,10,03/23/2022 12:00:00 AM
2022-03-31T08-53-07,38652,BAPTIST MEMORIAL HOSPITAL - UNION C,NLP,NLP,NLP,10,03/23/2022 12:00:00 AM
2022-03-31T15-09-22,38652,BAPTIST MEMORIAL HOSPITAL - UNION C,NLP,NLP,NLP,10,03/23/2022 12:00:00 AM
2022-04-01T06-54-45,38652,BAPTIST MEMORIAL HOSPITAL - UNION C,NLP,NLP,NLP,10,03/23/2022 12:00:00 AM
2022-04-02T06-05-59,38652,BAPTIST MEMORIAL HOSPITAL - UNION C,NLP,NLP,NLP,10,03/23/2022 12:00:00 AM
2022-04-03T05-51-54,38652,BAPTIST MEMORIAL HOSPITAL - UNION C,NLP,NLP,NLP,10,03/23/2022 12:00:00 AM
2022-04-04T05-38-24,38652,BAPTIST MEMORIAL HOSPITAL - UNION C,NLP,NLP,NLP,10,03/23/2022 12:00:00 AM
2022-04-05T05-48-33,38652,BAPTIST MEMORIAL HOSPITAL - UNION C,NLP,NLP,NLP,10,03/23/2022 12:00:00 AM
2022-04-05T05-48-33,38652,Medplus New Albany,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-04-06T05-45-18,38652,BAPTIST MEMORIAL HOSPITAL - UNION C,NLP,NLP,NLP,10,03/23/2022 12:00:00 AM
2022-04-06T05-45-18,38652,Medplus New Albany,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
