2022-02-18T16-04-21,70601,CHRISTUS OCHSNER ST. PATRICK HOSPIT,02/14/2022 12:00:00 AM,,5,,
2022-02-18T16-04-21,70601,LAKE CHARLES MEMORIAL HOSPITAL,02/15/2022 12:00:00 AM,,15,,
2022-03-03T09-56-49,70601,LAKE CHARLES MEMORIAL HOSPITAL,02/28/2022 12:00:00 AM,,65,,
2022-03-03T09-56-49,70601,CHRISTUS OCHSNER ST. PATRICK HOSPIT,02/28/2022 12:00:00 AM,,15,,
2022-03-03T10-04-44,70601,CHRISTUS OCHSNER ST. PATRICK HOSPIT,02/28/2022 12:00:00 AM,02/23/2022 12:00:00 AM,15,,
2022-03-03T10-04-44,70601,LAKE CHARLES MEMORIAL HOSPITAL,02/28/2022 12:00:00 AM,02/23/2022 12:00:00 AM,65,,
2022-03-08T14-40-56,70601,CHRISTUS OCHSNER ST. PATRICK HOSPIT,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,15,,
2022-03-08T14-40-56,70601,LAKE CHARLES MEMORIAL HOSPITAL,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,65,,
2022-05-24T05-46-03,70601,CHRISTUS OCHSNER ST. PATRICK HOSPIT,NLP,NLP,NLP,10,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,70601,CHRISTUS OCHSNER ST. PATRICK HOSPIT,NLP,NLP,NLP,10,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,70601,CHRISTUS OCHSNER ST. PATRICK HOSPIT,NLP,NLP,NLP,10,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,70601,CHRISTUS OCHSNER ST. PATRICK HOSPIT,NLP,NLP,NLP,10,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,70601,CHRISTUS OCHSNER ST. PATRICK HOSPIT,NLP,NLP,NLP,10,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,70601,CHRISTUS OCHSNER ST. PATRICK HOSPIT,NLP,NLP,NLP,10,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,70601,CHRISTUS OCHSNER ST. PATRICK HOSPIT,NLP,NLP,NLP,10,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,70601,CHRISTUS OCHSNER ST. PATRICK HOSPIT,NLP,NLP,NLP,10,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,70601,CHRISTUS OCHSNER ST. PATRICK HOSPIT,NLP,NLP,NLP,10,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,70601,CHRISTUS OCHSNER ST. PATRICK HOSPIT,NLP,NLP,NLP,10,05/23/2022 12:00:00 AM
