2022-02-18T16-04-21,66801,NEWMAN REG HEALTH,02/14/2022 12:00:00 AM,,5,,
2022-03-03T09-56-49,66801,NEWMAN REG HEALTH,02/21/2022 12:00:00 AM,,15,15,02/24/2022 12:00:00 AM
2022-03-03T10-04-44,66801,NEWMAN REG HEALTH,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,15,15,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,66801,NEWMAN REG HEALTH,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,15,15,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,66801,NEWMAN REG HEALTH,NLP,NLP,NLP,15,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,66801,NEWMAN REG HEALTH,NLP,NLP,NLP,15,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,66801,NEWMAN REG HEALTH,NLP,NLP,NLP,15,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,66801,NEWMAN REG HEALTH,NLP,NLP,NLP,15,03/15/2022 12:00:00 AM
2022-03-18T15-22-50,66801,NEWMAN REG HEALTH,NLP,NLP,NLP,15,03/15/2022 12:00:00 AM
2022-03-19T08-15-59,66801,NEWMAN REG HEALTH,NLP,NLP,NLP,15,03/15/2022 12:00:00 AM
2022-03-19T11-58-02,66801,NEWMAN REG HEALTH,NLP,NLP,NLP,15,03/15/2022 12:00:00 AM
2022-03-20T06-05-37,66801,NEWMAN REG HEALTH,NLP,NLP,NLP,15,03/15/2022 12:00:00 AM
2022-03-21T06-11-50,66801,NEWMAN REG HEALTH,NLP,NLP,NLP,15,03/15/2022 12:00:00 AM
2022-03-21T14-18-38,66801,NEWMAN REG HEALTH,NLP,NLP,NLP,15,03/15/2022 12:00:00 AM
2022-03-21T16-35-27,66801,NEWMAN REG HEALTH,NLP,NLP,NLP,15,03/15/2022 12:00:00 AM
2022-03-22T09-16-18,66801,NEWMAN REG HEALTH,NLP,NLP,NLP,15,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,66801,NEWMAN REG HEALTH,NLP,NLP,NLP,15,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,66801,NEWMAN REG HEALTH,NLP,NLP,NLP,15,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,66801,NEWMAN REG HEALTH,NLP,NLP,NLP,15,03/22/2022 12:00:00 AM
2022-03-25T08-10-53,66801,NEWMAN REG HEALTH,NLP,NLP,NLP,15,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,66801,NEWMAN REG HEALTH,NLP,NLP,NLP,15,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,66801,NEWMAN REG HEALTH,NLP,NLP,NLP,15,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,66801,NEWMAN REG HEALTH,NLP,NLP,NLP,15,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,66801,NEWMAN REG HEALTH,NLP,NLP,NLP,15,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,66801,NEWMAN REG HEALTH,NLP,NLP,NLP,15,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,66801,NEWMAN REG HEALTH,NLP,NLP,NLP,15,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,66801,NEWMAN REG HEALTH,NLP,NLP,NLP,15,03/29/2022 12:00:00 AM
2022-03-31T15-09-22,66801,NEWMAN REG HEALTH,NLP,NLP,NLP,15,03/29/2022 12:00:00 AM
2022-04-01T06-54-45,66801,NEWMAN REG HEALTH,NLP,NLP,NLP,15,03/29/2022 12:00:00 AM
2022-04-02T06-05-59,66801,NEWMAN REG HEALTH,NLP,NLP,NLP,15,03/29/2022 12:00:00 AM
2022-04-03T05-51-54,66801,NEWMAN REG HEALTH,NLP,NLP,NLP,15,03/29/2022 12:00:00 AM
2022-04-04T05-38-24,66801,NEWMAN REG HEALTH,NLP,NLP,NLP,15,03/29/2022 12:00:00 AM
2022-04-05T05-48-33,66801,NEWMAN REG HEALTH,NLP,NLP,NLP,15,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,66801,NEWMAN REG HEALTH,NLP,NLP,NLP,15,04/05/2022 12:00:00 AM
