2022-02-18T16-04-21,71913,HAMILTON WEST FAMILY MEDICINE,02/16/2022 12:00:00 AM,,5,,
2022-03-03T09-56-49,71913,HAMILTON WEST FAMILY MEDICINE,02/22/2022 12:00:00 AM,,10,10,02/28/2022 12:00:00 AM
2022-03-03T10-04-44,71913,HAMILTON WEST FAMILY MEDICINE,02/22/2022 12:00:00 AM,02/25/2022 12:00:00 AM,10,10,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,71913,HAMILTON WEST FAMILY MEDICINE,02/22/2022 12:00:00 AM,02/25/2022 12:00:00 AM,10,10,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,71913,HAMILTON WEST FAMILY MEDICINE,NLP,NLP,NLP,10,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,71913,HAMILTON WEST FAMILY MEDICINE,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-03-18T11-03-37,71913,HAMILTON WEST FAMILY MEDICINE,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-03-18T11-17-38,71913,HAMILTON WEST FAMILY MEDICINE,NLP,NLP,NLP,10,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,71913,HAMILTON WEST FAMILY MEDICINE,NLP,NLP,NLP,10,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,71913,HAMILTON WEST FAMILY MEDICINE,NLP,NLP,NLP,10,03/17/2022 12:00:00 AM
2022-03-19T11-58-02,71913,HAMILTON WEST FAMILY MEDICINE,NLP,NLP,NLP,10,03/19/2022 12:00:00 AM
