2022-02-18T16-04-21,66209,MENORAH MED CENTER,02/14/2022 12:00:00 AM,,5,,
2022-03-03T09-56-49,66209,MENORAH MED CENTER,02/28/2022 12:00:00 AM,,25,,
2022-03-03T10-04-44,66209,MENORAH MED CENTER,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,25,,
2022-03-08T14-40-56,66209,MENORAH MED CENTER,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,25,,
2022-03-16T18-51-35,66209,MENORAH MED CENTER,NLP,NLP,NLP,5,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,66209,MENORAH MED CENTER,NLP,NLP,NLP,5,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,66209,MENORAH MED CENTER,NLP,NLP,NLP,5,03/09/2022 12:00:00 AM
2022-03-29T08-50-48,66209,MENORAH MED CENTER,NLP,NLP,NLP,5,03/09/2022 12:00:00 AM
2022-03-30T09-27-07,66209,MENORAH MED CENTER,NLP,NLP,NLP,5,03/09/2022 12:00:00 AM
2022-03-31T08-53-07,66209,MENORAH MED CENTER,NLP,NLP,NLP,5,03/09/2022 12:00:00 AM
2022-03-31T15-09-22,66209,MENORAH MED CENTER,NLP,NLP,NLP,5,03/09/2022 12:00:00 AM
2022-04-01T06-54-45,66209,MENORAH MED CENTER,NLP,NLP,NLP,5,03/09/2022 12:00:00 AM
2022-04-02T06-05-59,66209,MENORAH MED CENTER,NLP,NLP,NLP,5,03/09/2022 12:00:00 AM
2022-04-03T05-51-54,66209,MENORAH MED CENTER,NLP,NLP,NLP,5,03/09/2022 12:00:00 AM
2022-04-04T05-38-24,66209,MENORAH MED CENTER,NLP,NLP,NLP,5,03/09/2022 12:00:00 AM
2022-04-05T05-48-33,66209,MENORAH MED CENTER,NLP,NLP,NLP,5,03/09/2022 12:00:00 AM
2022-04-06T05-45-18,66209,MENORAH MED CENTER,NLP,NLP,NLP,5,03/09/2022 12:00:00 AM
2022-04-07T05-34-07,66209,MENORAH MED CENTER,NLP,NLP,NLP,5,03/09/2022 12:00:00 AM
2022-04-08T05-48-29,66209,MENORAH MED CENTER,NLP,NLP,NLP,5,03/09/2022 12:00:00 AM
2022-04-09T05-41-09,66209,MENORAH MED CENTER,NLP,NLP,NLP,5,03/09/2022 12:00:00 AM
2022-04-10T09-31-27,66209,MENORAH MED CENTER,NLP,NLP,NLP,5,03/09/2022 12:00:00 AM
2022-04-11T07-06-23,66209,MENORAH MED CENTER,NLP,NLP,NLP,5,03/09/2022 12:00:00 AM
2022-04-12T07-06-55,66209,MENORAH MED CENTER,NLP,NLP,NLP,5,03/09/2022 12:00:00 AM
2022-04-13T09-20-57,66209,MENORAH MED CENTER,NLP,NLP,NLP,5,03/09/2022 12:00:00 AM
