2022-02-18T16-04-21,71201,ST. FRANCIS MEDICAL CENTER,02/15/2022 12:00:00 AM,,15,,
2022-03-03T09-56-49,71201,ST. FRANCIS MEDICAL CENTER,02/28/2022 12:00:00 AM,,60,,
2022-03-03T10-04-44,71201,ST. FRANCIS MEDICAL CENTER,02/28/2022 12:00:00 AM,02/23/2022 12:00:00 AM,60,,
2022-03-08T14-40-56,71201,ST. FRANCIS MEDICAL CENTER,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,60,,
2022-06-02T07-54-10,71201,ST. FRANCIS MEDICAL CENTER,NLP,NLP,NLP,1,06/01/2022 12:00:00 AM
2022-06-03T08-50-11,71201,ST. FRANCIS MEDICAL CENTER,NLP,NLP,NLP,1,06/01/2022 12:00:00 AM
2022-06-04T19-11-08,71201,ST. FRANCIS MEDICAL CENTER,NLP,NLP,NLP,1,06/01/2022 12:00:00 AM
2022-06-05T08-48-25,71201,ST. FRANCIS MEDICAL CENTER,NLP,NLP,NLP,1,06/01/2022 12:00:00 AM
2022-06-06T06-32-51,71201,ST. FRANCIS MEDICAL CENTER,NLP,NLP,NLP,1,06/01/2022 12:00:00 AM
2022-06-07T05-36-41,71201,ST. FRANCIS MEDICAL CENTER,NLP,NLP,NLP,1,06/01/2022 12:00:00 AM
2022-06-14T04-15-16,71201,ST. FRANCIS MEDICAL CENTER,NLP,NLP,NLP,23,06/13/2022 12:00:00 AM
