2022-02-18T16-04-21,79761,MEDICAL CENTER HOSPITAL (ODESSA),02/15/2022 12:00:00 AM,,160,,
2022-03-03T09-56-49,79761,MEDICAL CENTER HOSPITAL (ODESSA),02/21/2022 12:00:00 AM,,320,,
2022-03-03T10-04-44,79761,MEDICAL CENTER HOSPITAL (ODESSA),02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,320,,
2022-03-08T14-40-56,79761,MEDICAL CENTER HOSPITAL (ODESSA),02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,320,,
2022-07-15T04-15-46,79761,MEDICAL CENTER HOSPITAL (ODESSA),NLP,NLP,NLP,20,07/14/2022 12:00:00 AM
2022-07-17T04-15-18,79761,MEDICAL CENTER HOSPITAL (ODESSA),NLP,NLP,NLP,20,07/14/2022 12:00:00 AM
2022-07-18T04-15-21,79761,MEDICAL CENTER HOSPITAL (ODESSA),NLP,NLP,NLP,20,07/14/2022 12:00:00 AM
2022-07-18T07-55-19,79761,MEDICAL CENTER HOSPITAL (ODESSA),NLP,NLP,NLP,20,07/14/2022 12:00:00 AM
2022-07-19T04-15-25,79761,MEDICAL CENTER HOSPITAL (ODESSA),NLP,NLP,NLP,20,07/14/2022 12:00:00 AM
2022-07-20T04-15-41,79761,MEDICAL CENTER HOSPITAL (ODESSA),NLP,NLP,NLP,20,07/14/2022 12:00:00 AM
2022-07-21T04-15-40,79761,MEDICAL CENTER HOSPITAL (ODESSA),NLP,NLP,NLP,10,07/20/2022 12:00:00 AM
2022-07-22T04-15-29,79761,MEDICAL CENTER HOSPITAL (ODESSA),NLP,NLP,NLP,10,07/20/2022 12:00:00 AM
2022-07-23T04-15-20,79761,MEDICAL CENTER HOSPITAL (ODESSA),NLP,NLP,NLP,10,07/20/2022 12:00:00 AM
2022-07-24T04-15-21,79761,MEDICAL CENTER HOSPITAL (ODESSA),NLP,NLP,NLP,10,07/20/2022 12:00:00 AM
