2022-02-18T16-04-21,18901,DOYLESTOWN HOSPITAL,02/16/2022 12:00:00 AM,,5,0,02/18/2022 12:00:00 AM
2022-03-03T09-56-49,18901,DOYLESTOWN HOSPITAL,02/28/2022 12:00:00 AM,,30,10,02/25/2022 12:00:00 AM
2022-03-03T10-04-44,18901,DOYLESTOWN HOSPITAL,02/28/2022 12:00:00 AM,02/25/2022 12:00:00 AM,30,30,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,18901,DOYLESTOWN HOSPITAL,03/07/2022 12:00:00 AM,03/02/2022 12:00:00 AM,50,30,03/02/2022 12:00:00 AM
2022-03-24T13-46-29,18901,DOYLESTOWN HOSPITAL,NLP,NLP,NLP,37,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,18901,DOYLESTOWN HOSPITAL,NLP,NLP,NLP,37,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,18901,DOYLESTOWN HOSPITAL,NLP,NLP,NLP,37,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,18901,DOYLESTOWN HOSPITAL,NLP,NLP,NLP,37,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,18901,DOYLESTOWN HOSPITAL,NLP,NLP,NLP,37,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,18901,DOYLESTOWN HOSPITAL,NLP,NLP,NLP,37,03/23/2022 12:00:00 AM
2022-03-29T08-50-48,18901,DOYLESTOWN HOSPITAL,NLP,NLP,NLP,37,03/23/2022 12:00:00 AM
2022-03-30T09-27-07,18901,DOYLESTOWN HOSPITAL,NLP,NLP,NLP,37,03/23/2022 12:00:00 AM
2022-03-31T08-53-07,18901,DOYLESTOWN HOSPITAL,NLP,NLP,NLP,37,03/23/2022 12:00:00 AM
2022-03-31T15-09-22,18901,DOYLESTOWN HOSPITAL,NLP,NLP,NLP,37,03/23/2022 12:00:00 AM
2022-04-01T06-54-45,18901,DOYLESTOWN HOSPITAL,NLP,NLP,NLP,37,03/23/2022 12:00:00 AM
2022-04-02T06-05-59,18901,DOYLESTOWN HOSPITAL,NLP,NLP,NLP,36,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,18901,DOYLESTOWN HOSPITAL,NLP,NLP,NLP,36,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,18901,DOYLESTOWN HOSPITAL,NLP,NLP,NLP,36,04/01/2022 12:00:00 AM
2022-04-05T05-48-33,18901,DOYLESTOWN HOSPITAL,NLP,NLP,NLP,36,04/01/2022 12:00:00 AM
2022-04-06T05-45-18,18901,DOYLESTOWN HOSPITAL,NLP,NLP,NLP,56,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,18901,DOYLESTOWN HOSPITAL,NLP,NLP,NLP,56,04/05/2022 12:00:00 AM
2022-04-08T05-48-29,18901,DOYLESTOWN HOSPITAL,NLP,NLP,NLP,66,04/07/2022 12:00:00 AM
2022-04-09T05-41-09,18901,DOYLESTOWN HOSPITAL,NLP,NLP,NLP,65,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,18901,DOYLESTOWN HOSPITAL,NLP,NLP,NLP,65,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,18901,DOYLESTOWN HOSPITAL,NLP,NLP,NLP,65,04/08/2022 12:00:00 AM
2022-04-12T07-06-55,18901,DOYLESTOWN HOSPITAL,NLP,NLP,NLP,63,04/11/2022 12:00:00 AM
2022-04-13T09-20-57,18901,DOYLESTOWN HOSPITAL,NLP,NLP,NLP,63,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,18901,DOYLESTOWN HOSPITAL,NLP,NLP,NLP,59,04/13/2022 12:00:00 AM
