2022-03-08T14-40-56,81003,CO DEPT OF CORRECTIONS PHARMACY,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,15,,
2022-03-18T09-58-11,81003,CO DEPT OF CORRECTIONS PHARMACY,NLP,NLP,NLP,15,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,81003,CO DEPT OF CORRECTIONS PHARMACY,NLP,NLP,NLP,15,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,81003,CO DEPT OF CORRECTIONS PHARMACY,NLP,NLP,NLP,15,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,81003,CO DEPT OF CORRECTIONS PHARMACY,NLP,NLP,NLP,15,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,81003,CO DEPT OF CORRECTIONS PHARMACY,NLP,NLP,NLP,15,03/17/2022 12:00:00 AM
2022-03-19T11-58-02,81003,CO DEPT OF CORRECTIONS PHARMACY,NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,81003,CO DEPT OF CORRECTIONS PHARMACY,NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,81003,CO DEPT OF CORRECTIONS PHARMACY,NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,81003,CO DEPT OF CORRECTIONS PHARMACY,NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,81003,CO DEPT OF CORRECTIONS PHARMACY,NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
2022-03-22T09-16-18,81003,CO DEPT OF CORRECTIONS PHARMACY,NLP,NLP,NLP,15,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,81003,CO DEPT OF CORRECTIONS PHARMACY,NLP,NLP,NLP,15,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,81003,CO DEPT OF CORRECTIONS PHARMACY,NLP,NLP,NLP,15,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,81003,CO DEPT OF CORRECTIONS PHARMACY,NLP,NLP,NLP,15,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,81003,CO DEPT OF CORRECTIONS PHARMACY,NLP,NLP,NLP,15,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,81003,CO DEPT OF CORRECTIONS PHARMACY,NLP,NLP,NLP,15,03/25/2022 12:00:00 AM
