2022-03-08T14-40-56,99664,North Star Health Clinic Pharmacy,02/28/2022 12:00:00 AM,03/03/2022 12:00:00 AM,5,5,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,99664,North Star Health Clinic Pharmacy,NLP,NLP,NLP,5,03/08/2022 12:00:00 AM
2022-03-18T11-17-38,99664,North Star Health Clinic Pharmacy,NLP,NLP,NLP,5,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,99664,North Star Health Clinic Pharmacy,NLP,NLP,NLP,5,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,99664,North Star Health Clinic Pharmacy,NLP,NLP,NLP,5,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,99664,North Star Health Clinic Pharmacy,NLP,NLP,NLP,5,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,99664,North Star Health Clinic Pharmacy,NLP,NLP,NLP,5,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,99664,North Star Health Clinic Pharmacy,NLP,NLP,NLP,5,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,99664,North Star Health Clinic Pharmacy,NLP,NLP,NLP,5,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,99664,North Star Health Clinic Pharmacy,NLP,NLP,NLP,5,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,99664,North Star Health Clinic Pharmacy,NLP,NLP,NLP,5,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,99664,North Star Health Clinic Pharmacy,NLP,NLP,NLP,15,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,99664,North Star Health Clinic Pharmacy,NLP,NLP,NLP,15,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,99664,North Star Health Clinic Pharmacy,NLP,NLP,NLP,15,03/22/2022 12:00:00 AM
2022-03-25T08-10-53,99664,North Star Health Clinic Pharmacy,NLP,NLP,NLP,15,03/22/2022 12:00:00 AM
