2022-03-08T14-40-56,24641,Hopkins Medical Association,03/01/2022 12:00:00 AM,03/03/2022 12:00:00 AM,30,30,03/04/2022 12:00:00 AM
2022-03-16T18-51-35,24641,Hopkins Medical Association,NLP,NLP,NLP,30,03/10/2022 12:00:00 AM
2022-03-18T09-58-11,24641,Hopkins Medical Association,NLP,NLP,NLP,30,03/10/2022 12:00:00 AM
2022-03-18T11-03-37,24641,Hopkins Medical Association,NLP,NLP,NLP,30,03/10/2022 12:00:00 AM
2022-03-18T11-17-38,24641,Hopkins Medical Association,NLP,NLP,NLP,30,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,24641,Hopkins Medical Association,NLP,NLP,NLP,30,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,24641,Hopkins Medical Association,NLP,NLP,NLP,30,03/17/2022 12:00:00 AM
2022-03-19T11-58-02,24641,Hopkins Medical Association,NLP,NLP,NLP,30,03/17/2022 12:00:00 AM
2022-03-20T06-05-37,24641,Hopkins Medical Association,NLP,NLP,NLP,30,03/17/2022 12:00:00 AM
2022-03-21T06-11-50,24641,Hopkins Medical Association,NLP,NLP,NLP,30,03/17/2022 12:00:00 AM
2022-03-21T14-18-38,24641,Hopkins Medical Association,NLP,NLP,NLP,30,03/17/2022 12:00:00 AM
2022-03-21T16-35-27,24641,Hopkins Medical Association,NLP,NLP,NLP,30,03/17/2022 12:00:00 AM
2022-03-22T09-16-18,24641,Hopkins Medical Association,NLP,NLP,NLP,30,03/17/2022 12:00:00 AM
2022-03-23T08-41-43,24641,Hopkins Medical Association,NLP,NLP,NLP,30,03/17/2022 12:00:00 AM
2022-03-24T07-49-11,24641,Hopkins Medical Association,NLP,NLP,NLP,30,03/17/2022 12:00:00 AM
2022-03-24T13-46-29,24641,Hopkins Medical Association,NLP,NLP,NLP,30,03/17/2022 12:00:00 AM
2022-03-25T08-10-53,24641,Hopkins Medical Association,NLP,NLP,NLP,30,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,24641,Hopkins Medical Association,NLP,NLP,NLP,30,03/24/2022 12:00:00 AM
2022-03-26T12-42-50,24641,Hopkins Medical Association,NLP,NLP,NLP,30,03/24/2022 12:00:00 AM
2022-03-27T06-25-27,24641,Hopkins Medical Association,NLP,NLP,NLP,30,03/24/2022 12:00:00 AM
2022-03-28T06-21-17,24641,Hopkins Medical Association,NLP,NLP,NLP,30,03/24/2022 12:00:00 AM
2022-03-29T08-50-48,24641,Hopkins Medical Association,NLP,NLP,NLP,30,03/24/2022 12:00:00 AM
2022-03-30T09-27-07,24641,Hopkins Medical Association,NLP,NLP,NLP,30,03/24/2022 12:00:00 AM
2022-03-31T08-53-07,24641,Hopkins Medical Association,NLP,NLP,NLP,30,03/24/2022 12:00:00 AM
2022-03-31T15-09-22,24641,Hopkins Medical Association,NLP,NLP,NLP,30,03/24/2022 12:00:00 AM
2022-04-01T06-54-45,24641,Hopkins Medical Association,NLP,NLP,NLP,30,03/24/2022 12:00:00 AM
2022-04-02T06-05-59,24641,Hopkins Medical Association,NLP,NLP,NLP,30,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,24641,Hopkins Medical Association,NLP,NLP,NLP,30,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,24641,Hopkins Medical Association,NLP,NLP,NLP,30,04/01/2022 12:00:00 AM
2022-04-05T05-48-33,24641,Hopkins Medical Association,NLP,NLP,NLP,30,04/01/2022 12:00:00 AM
2022-04-06T05-45-18,24641,Hopkins Medical Association,NLP,NLP,NLP,30,04/01/2022 12:00:00 AM
2022-04-07T05-34-07,24641,Hopkins Medical Association,NLP,NLP,NLP,30,04/01/2022 12:00:00 AM
