2022-02-18T16-04-21,10901,Good Samaritan Hospital Of Suffern,02/17/2022 12:00:00 AM,,10,,
2022-03-03T09-56-49,10901,Good Samaritan Hospital Of Suffern,02/24/2022 12:00:00 AM,,30,,
2022-03-03T10-04-44,10901,Good Samaritan Hospital Of Suffern,02/24/2022 12:00:00 AM,02/25/2022 12:00:00 AM,30,,
2022-03-08T14-40-56,10901,Good Samaritan Hospital Of Suffern,02/24/2022 12:00:00 AM,02/25/2022 12:00:00 AM,30,,
2022-03-16T18-51-35,10901,Good Samaritan Hospital Of Suffern,NLP,NLP,NLP,50,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,10901,Good Samaritan Hospital Of Suffern,NLP,NLP,NLP,50,03/11/2022 12:00:00 AM
2022-03-18T11-03-37,10901,Good Samaritan Hospital Of Suffern,NLP,NLP,NLP,50,03/11/2022 12:00:00 AM
2022-03-18T11-17-38,10901,Good Samaritan Hospital Of Suffern,NLP,NLP,NLP,50,03/11/2022 12:00:00 AM
2022-03-18T15-22-50,10901,Good Samaritan Hospital Of Suffern,NLP,NLP,NLP,50,03/11/2022 12:00:00 AM
2022-03-19T08-15-59,10901,Good Samaritan Hospital Of Suffern,NLP,NLP,NLP,68,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,10901,Good Samaritan Hospital Of Suffern,NLP,NLP,NLP,68,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,10901,Good Samaritan Hospital Of Suffern,NLP,NLP,NLP,68,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,10901,Good Samaritan Hospital Of Suffern,NLP,NLP,NLP,68,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,10901,Good Samaritan Hospital Of Suffern,NLP,NLP,NLP,68,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,10901,Good Samaritan Hospital Of Suffern,NLP,NLP,NLP,68,03/18/2022 12:00:00 AM
2022-03-22T09-16-18,10901,Good Samaritan Hospital Of Suffern,NLP,NLP,NLP,68,03/18/2022 12:00:00 AM
2022-03-23T08-41-43,10901,Good Samaritan Hospital Of Suffern,NLP,NLP,NLP,68,03/18/2022 12:00:00 AM
2022-03-24T07-49-11,10901,Good Samaritan Hospital Of Suffern,NLP,NLP,NLP,68,03/18/2022 12:00:00 AM
2022-03-24T13-46-29,10901,Good Samaritan Hospital Of Suffern,NLP,NLP,NLP,68,03/18/2022 12:00:00 AM
2022-03-25T08-10-53,10901,Good Samaritan Hospital Of Suffern,NLP,NLP,NLP,68,03/18/2022 12:00:00 AM
2022-03-26T06-57-27,10901,Good Samaritan Hospital Of Suffern,NLP,NLP,NLP,75,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,10901,Good Samaritan Hospital Of Suffern,NLP,NLP,NLP,75,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,10901,Good Samaritan Hospital Of Suffern,NLP,NLP,NLP,75,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,10901,Good Samaritan Hospital Of Suffern,NLP,NLP,NLP,75,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,10901,Good Samaritan Hospital Of Suffern,NLP,NLP,NLP,75,03/25/2022 12:00:00 AM
2022-03-30T09-27-07,10901,Good Samaritan Hospital Of Suffern,NLP,NLP,NLP,75,03/25/2022 12:00:00 AM
