2022-02-18T16-04-21,38703,DELTA REGIONAL MEDICAL CENTER,02/16/2022 12:00:00 AM,,10,,
2022-03-03T09-56-49,38703,DELTA REGIONAL MEDICAL CENTER,02/23/2022 12:00:00 AM,,20,10,02/24/2022 12:00:00 AM
2022-03-03T10-04-44,38703,DELTA REGIONAL MEDICAL CENTER,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,20,20,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,38703,DELTA REGIONAL MEDICAL CENTER,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,20,20,03/02/2022 12:00:00 AM
2022-03-16T18-51-35,38703,DELTA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,20,03/08/2022 12:00:00 AM
2022-03-23T08-41-43,38703,DELTA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,38703,DELTA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,38703,DELTA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-25T08-10-53,38703,DELTA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-26T06-57-27,38703,DELTA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,38703,DELTA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,38703,DELTA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,38703,DELTA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,38703,DELTA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-30T09-27-07,38703,DELTA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-31T08-53-07,38703,DELTA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-31T15-09-22,38703,DELTA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-04-01T06-54-45,38703,DELTA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-04-02T06-05-59,38703,DELTA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-04-03T05-51-54,38703,DELTA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-04-04T05-38-24,38703,DELTA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-04-05T05-48-33,38703,DELTA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-04-06T05-45-18,38703,DELTA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-04-07T05-34-07,38703,DELTA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-04-08T05-48-29,38703,DELTA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-04-09T05-41-09,38703,DELTA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-04-10T09-31-27,38703,DELTA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-04-11T07-06-23,38703,DELTA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-04-12T07-06-55,38703,DELTA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-04-13T09-20-57,38703,DELTA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-04-13T11-55-39,38703,DELTA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-04-14T09-18-06,38703,DELTA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-04-15T06-03-51,38703,DELTA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-04-16T05-33-42,38703,DELTA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-04-17T05-32-24,38703,DELTA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-04-18T05-31-10,38703,DELTA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-04-19T05-39-24,38703,DELTA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
