2022-02-18T16-04-21,26330,UNITED HOSPITAL CENTER,02/15/2022 12:00:00 AM,,20,,
2022-03-03T09-56-49,26330,UNITED HOSPITAL CENTER,02/28/2022 12:00:00 AM,,55,,
2022-03-03T10-04-44,26330,UNITED HOSPITAL CENTER,02/28/2022 12:00:00 AM,02/24/2022 12:00:00 AM,55,,
2022-03-08T14-40-56,26330,UNITED HOSPITAL CENTER,03/07/2022 12:00:00 AM,03/02/2022 12:00:00 AM,65,,
2022-05-21T05-54-21,26330,UNITED HOSPITAL CENTER,NLP,NLP,NLP,1,05/19/2022 12:00:00 AM
2022-05-22T09-07-10,26330,UNITED HOSPITAL CENTER,NLP,NLP,NLP,1,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,26330,UNITED HOSPITAL CENTER,NLP,NLP,NLP,1,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,26330,UNITED HOSPITAL CENTER,NLP,NLP,NLP,1,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,26330,UNITED HOSPITAL CENTER,NLP,NLP,NLP,1,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,26330,UNITED HOSPITAL CENTER,NLP,NLP,NLP,1,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,26330,UNITED HOSPITAL CENTER,NLP,NLP,NLP,1,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,26330,UNITED HOSPITAL CENTER,NLP,NLP,NLP,1,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,26330,UNITED HOSPITAL CENTER,NLP,NLP,NLP,1,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,26330,UNITED HOSPITAL CENTER,NLP,NLP,NLP,1,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,26330,UNITED HOSPITAL CENTER,NLP,NLP,NLP,1,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,26330,UNITED HOSPITAL CENTER,NLP,NLP,NLP,1,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,26330,UNITED HOSPITAL CENTER,NLP,NLP,NLP,1,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,26330,UNITED HOSPITAL CENTER,NLP,NLP,NLP,1,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,26330,UNITED HOSPITAL CENTER,NLP,NLP,NLP,1,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,26330,UNITED HOSPITAL CENTER,NLP,NLP,NLP,1,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,26330,UNITED HOSPITAL CENTER,NLP,NLP,NLP,1,05/19/2022 12:00:00 AM
