2022-02-18T16-04-21,35660,HELEN KELLER HOSPITAL,02/17/2022 12:00:00 AM,,10,,
2022-03-03T09-56-49,35660,HELEN KELLER HOSPITAL,02/21/2022 12:00:00 AM,,20,,
2022-03-03T10-04-44,35660,HELEN KELLER HOSPITAL,03/01/2022 12:00:00 AM,02/23/2022 12:00:00 AM,40,,
2022-03-08T14-40-56,35660,HELEN KELLER HOSPITAL,03/01/2022 12:00:00 AM,03/03/2022 12:00:00 AM,40,,
2022-05-03T06-05-23,35660,HELEN KELLER HOSPITAL,NLP,NLP,NLP,48,05/02/2022 12:00:00 AM
2022-05-04T05-12-02,35660,HELEN KELLER HOSPITAL,NLP,NLP,NLP,48,05/02/2022 12:00:00 AM
2022-05-05T09-49-47,35660,HELEN KELLER HOSPITAL,NLP,NLP,NLP,48,05/04/2022 12:00:00 AM
2022-05-06T06-12-41,35660,HELEN KELLER HOSPITAL,NLP,NLP,NLP,48,05/05/2022 12:00:00 AM
2022-05-07T05-45-31,35660,HELEN KELLER HOSPITAL,NLP,NLP,NLP,48,05/06/2022 12:00:00 AM
2022-05-08T10-02-59,35660,HELEN KELLER HOSPITAL,NLP,NLP,NLP,48,05/06/2022 12:00:00 AM
2022-05-09T05-08-14,35660,HELEN KELLER HOSPITAL,NLP,NLP,NLP,48,05/06/2022 12:00:00 AM
2022-05-10T06-06-54,35660,HELEN KELLER HOSPITAL,NLP,NLP,NLP,48,05/09/2022 12:00:00 AM
2022-05-11T06-51-12,35660,HELEN KELLER HOSPITAL,NLP,NLP,NLP,48,05/10/2022 12:00:00 AM
2022-05-12T07-16-49,35660,HELEN KELLER HOSPITAL,NLP,NLP,NLP,48,05/11/2022 12:00:00 AM
2022-05-13T06-07-31,35660,HELEN KELLER HOSPITAL,NLP,NLP,NLP,48,05/11/2022 12:00:00 AM
2022-05-14T08-49-14,35660,HELEN KELLER HOSPITAL,NLP,NLP,NLP,48,05/11/2022 12:00:00 AM
2022-05-15T05-54-13,35660,HELEN KELLER HOSPITAL,NLP,NLP,NLP,48,05/11/2022 12:00:00 AM
2022-05-16T05-54-24,35660,HELEN KELLER HOSPITAL,NLP,NLP,NLP,48,05/11/2022 12:00:00 AM
2022-05-17T05-27-38,35660,HELEN KELLER HOSPITAL,NLP,NLP,NLP,41,05/16/2022 12:00:00 AM
2022-05-18T05-40-23,35660,HELEN KELLER HOSPITAL,NLP,NLP,NLP,38,05/17/2022 12:00:00 AM
2022-05-19T05-25-31,35660,HELEN KELLER HOSPITAL,NLP,NLP,NLP,36,05/18/2022 12:00:00 AM
2022-05-20T05-59-40,35660,HELEN KELLER HOSPITAL,NLP,NLP,NLP,36,05/18/2022 12:00:00 AM
2022-05-21T05-54-21,35660,HELEN KELLER HOSPITAL,NLP,NLP,NLP,35,05/19/2022 12:00:00 AM
2022-05-22T09-07-10,35660,HELEN KELLER HOSPITAL,NLP,NLP,NLP,35,05/19/2022 12:00:00 AM
