2022-02-18T16-04-21,78229,HCA METHODIST HOSP AND CHILDRENS H,02/15/2022 12:00:00 AM,,70,0,02/15/2022 12:00:00 AM
2022-03-24T13-46-29,78229,UHSSA UNIVERSITY HOSPITAL,NLP,NLP,NLP,100,03/24/2022 12:00:00 AM
2022-03-24T13-46-29,78229,HCA METHODIST HOSP AND CHILDRENS H,NLP,NLP,NLP,140,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,78229,UHSSA UNIVERSITY HOSPITAL,NLP,NLP,NLP,100,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,78229,HCA METHODIST HOSP AND CHILDRENS H,NLP,NLP,NLP,140,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,78229,UHSSA UNIVERSITY HOSPITAL,NLP,NLP,NLP,100,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,78229,HCA METHODIST HOSP AND CHILDRENS H,NLP,NLP,NLP,140,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,78229,UHSSA UNIVERSITY HOSPITAL,NLP,NLP,NLP,100,03/24/2022 12:00:00 AM
2022-03-26T12-42-50,78229,HCA METHODIST HOSP AND CHILDRENS H,NLP,NLP,NLP,140,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,78229,UHSSA UNIVERSITY HOSPITAL,NLP,NLP,NLP,100,03/24/2022 12:00:00 AM
2022-03-27T06-25-27,78229,HCA METHODIST HOSP AND CHILDRENS H,NLP,NLP,NLP,140,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,78229,UHSSA UNIVERSITY HOSPITAL,NLP,NLP,NLP,100,03/24/2022 12:00:00 AM
2022-03-28T06-21-17,78229,HCA METHODIST HOSP AND CHILDRENS H,NLP,NLP,NLP,140,03/23/2022 12:00:00 AM
2022-03-29T08-50-48,78229,HCA METHODIST HOSP AND CHILDRENS H,NLP,NLP,NLP,140,03/23/2022 12:00:00 AM
2022-03-29T08-50-48,78229,UHSSA UNIVERSITY HOSPITAL,NLP,NLP,NLP,100,03/24/2022 12:00:00 AM
2022-03-30T09-27-07,78229,HCA METHODIST HOSP AND CHILDRENS H,NLP,NLP,NLP,140,03/23/2022 12:00:00 AM
2022-03-30T09-27-07,78229,UHSSA UNIVERSITY HOSPITAL,NLP,NLP,NLP,100,03/29/2022 12:00:00 AM
