2022-02-18T16-04-21,15201,Curtis Pharmacy - 575 LTC,02/16/2022 12:00:00 AM,,50,,
2022-03-03T09-56-49,15201,Curtis Pharmacy - 575 LTC,02/23/2022 12:00:00 AM,,100,25,02/24/2022 12:00:00 AM
2022-03-03T10-04-44,15201,Curtis Pharmacy - 575 LTC,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,100,25,02/24/2022 12:00:00 AM
2022-03-08T14-40-56,15201,Curtis Pharmacy - 575 LTC,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,100,25,02/24/2022 12:00:00 AM
2022-03-16T18-51-35,15201,Curtis Pharmacy - 575 LTC,NLP,NLP,NLP,43,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,15201,Curtis Pharmacy - 575 LTC,NLP,NLP,NLP,43,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,15201,Curtis Pharmacy - 575 LTC,NLP,NLP,NLP,43,03/09/2022 12:00:00 AM
2022-05-21T05-54-21,15201,Curtis Pharmacy - 575 LTC,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-22T09-07-10,15201,Curtis Pharmacy - 575 LTC,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,15201,Curtis Pharmacy - 575 LTC,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,15201,Curtis Pharmacy - 575 LTC,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,15201,Curtis Pharmacy - 575 LTC,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,15201,Curtis Pharmacy - 575 LTC,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,15201,Curtis Pharmacy - 575 LTC,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,15201,Curtis Pharmacy - 575 LTC,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,15201,Curtis Pharmacy - 575 LTC,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,15201,Curtis Pharmacy - 575 LTC,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,15201,Curtis Pharmacy - 575 LTC,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,15201,Curtis Pharmacy - 575 LTC,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,15201,Curtis Pharmacy - 575 LTC,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,15201,Curtis Pharmacy - 575 LTC,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,15201,Curtis Pharmacy - 575 LTC,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,15201,Curtis Pharmacy - 575 LTC,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,15201,Curtis Pharmacy - 575 LTC,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,15201,Curtis Pharmacy - 575 LTC,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-24T05-46-03,15201,Curtis Pharmacy - 575 LTC,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-24T05-46-03,15201,Curtis Pharmacy - 575 LTC,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-24T05-46-03,15201,Curtis Pharmacy - 575 LTC,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-24T05-46-03,15201,Curtis Pharmacy - 575 LTC,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-24T05-46-03,15201,Curtis Pharmacy - 575 LTC,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-24T05-46-03,15201,Curtis Pharmacy - 575 LTC,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-24T05-46-03,15201,Curtis Pharmacy - 575 LTC,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-24T05-46-03,15201,Curtis Pharmacy - 575 LTC,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-24T05-46-03,15201,Curtis Pharmacy - 575 LTC,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-24T05-46-03,15201,Curtis Pharmacy - 575 LTC,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-24T05-46-03,15201,Curtis Pharmacy - 575 LTC,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-24T05-46-03,15201,Curtis Pharmacy - 575 LTC,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-24T05-46-03,15201,Curtis Pharmacy - 575 LTC,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-24T05-46-03,15201,Curtis Pharmacy - 575 LTC,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-24T05-46-03,15201,Curtis Pharmacy - 575 LTC,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-24T05-46-03,15201,Curtis Pharmacy - 575 LTC,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-24T05-46-03,15201,Curtis Pharmacy - 575 LTC,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-24T05-46-03,15201,Curtis Pharmacy - 575 LTC,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-24T05-46-03,15201,Curtis Pharmacy - 575 LTC,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-24T05-46-03,15201,Curtis Pharmacy - 575 LTC,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-24T05-46-03,15201,Curtis Pharmacy - 575 LTC,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-24T05-46-03,15201,Curtis Pharmacy - 575 LTC,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-28T05-34-18,15201,Curtis Pharmacy - 575 LTC,NLP,NLP,NLP,40,05/27/2022 12:00:00 AM
2022-05-29T05-31-58,15201,Curtis Pharmacy - 575 LTC,NLP,NLP,NLP,40,05/27/2022 12:00:00 AM
2022-05-30T05-32-42,15201,Curtis Pharmacy - 575 LTC,NLP,NLP,NLP,40,05/27/2022 12:00:00 AM
2022-05-31T08-56-01,15201,Curtis Pharmacy - 575 LTC,NLP,NLP,NLP,40,05/27/2022 12:00:00 AM
2022-06-05T08-48-25,15201,Curtis Pharmacy - 575 LTC,NLP,NLP,NLP,65,06/04/2022 12:00:00 AM
2022-06-06T06-32-51,15201,Curtis Pharmacy - 575 LTC,NLP,NLP,NLP,30,06/05/2022 12:00:00 AM
2022-06-07T05-36-41,15201,Curtis Pharmacy - 575 LTC,NLP,NLP,NLP,5,06/06/2022 12:00:00 AM
2022-06-08T05-42-02,15201,Curtis Pharmacy - 575 LTC,NLP,NLP,NLP,5,06/06/2022 12:00:00 AM
2022-06-21T04-15-35,15201,Curtis Pharmacy - 575 LTC,NLP,NLP,NLP,25,06/20/2022 12:00:00 AM
