2022-02-18T16-04-21,14850,Cayuga Medical Center of Ithaca,02/17/2022 12:00:00 AM,,10,0,02/18/2022 12:00:00 AM
2022-03-03T09-56-49,14850,Cayuga Medical Center of Ithaca,02/24/2022 12:00:00 AM,,25,25,03/01/2022 12:00:00 AM
2022-03-03T10-04-44,14850,Cayuga Medical Center of Ithaca,02/24/2022 12:00:00 AM,02/25/2022 12:00:00 AM,25,25,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,14850,Cayuga Medical Center of Ithaca,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,40,25,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,14850,Cayuga Medical Center of Ithaca,NLP,NLP,NLP,40,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,14850,Cayuga Medical Center of Ithaca,NLP,NLP,NLP,55,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,14850,Cayuga Medical Center of Ithaca,NLP,NLP,NLP,55,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,14850,Cayuga Medical Center of Ithaca,NLP,NLP,NLP,55,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,14850,Cayuga Medical Center of Ithaca,NLP,NLP,NLP,55,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,14850,Cayuga Medical Center of Ithaca,NLP,NLP,NLP,55,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,14850,Cayuga Medical Center of Ithaca,NLP,NLP,NLP,70,03/19/2022 12:00:00 AM
2022-03-20T06-05-37,14850,Cayuga Medical Center of Ithaca,NLP,NLP,NLP,70,03/19/2022 12:00:00 AM
2022-03-21T06-11-50,14850,Cayuga Medical Center of Ithaca,NLP,NLP,NLP,70,03/20/2022 12:00:00 AM
2022-03-21T14-18-38,14850,Cayuga Medical Center of Ithaca,NLP,NLP,NLP,70,03/20/2022 12:00:00 AM
2022-03-21T16-35-27,14850,Cayuga Medical Center of Ithaca,NLP,NLP,NLP,70,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,14850,Cayuga Medical Center of Ithaca,NLP,NLP,NLP,70,03/21/2022 12:00:00 AM
