2022-02-18T16-04-21,27278,UNC HOSPITALS HILLSBOROUGH CAMPUS,02/16/2022 12:00:00 AM,,20,,
2022-03-03T09-56-49,27278,UNC HOSPITALS HILLSBOROUGH CAMPUS,02/23/2022 12:00:00 AM,,70,60,02/28/2022 12:00:00 AM
2022-03-03T10-04-44,27278,UNC HOSPITALS HILLSBOROUGH CAMPUS,03/01/2022 12:00:00 AM,02/25/2022 12:00:00 AM,80,60,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,27278,UNC HOSPITALS HILLSBOROUGH CAMPUS,03/01/2022 12:00:00 AM,03/03/2022 12:00:00 AM,80,80,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,27278,UNC HOSPITALS HILLSBOROUGH CAMPUS,NLP,NLP,NLP,90,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,27278,UNC HOSPITALS HILLSBOROUGH CAMPUS,NLP,NLP,NLP,90,03/14/2022 12:00:00 AM
2022-03-18T11-03-37,27278,UNC HOSPITALS HILLSBOROUGH CAMPUS,NLP,NLP,NLP,90,03/14/2022 12:00:00 AM
2022-03-18T11-17-38,27278,UNC HOSPITALS HILLSBOROUGH CAMPUS,NLP,NLP,NLP,90,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,27278,UNC HOSPITALS HILLSBOROUGH CAMPUS,NLP,NLP,NLP,90,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,27278,UNC HOSPITALS HILLSBOROUGH CAMPUS,NLP,NLP,NLP,90,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,27278,UNC HOSPITALS HILLSBOROUGH CAMPUS,NLP,NLP,NLP,90,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,27278,UNC HOSPITALS HILLSBOROUGH CAMPUS,NLP,NLP,NLP,90,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,27278,UNC HOSPITALS HILLSBOROUGH CAMPUS,NLP,NLP,NLP,90,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,27278,UNC HOSPITALS HILLSBOROUGH CAMPUS,NLP,NLP,NLP,90,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,27278,UNC HOSPITALS HILLSBOROUGH CAMPUS,NLP,NLP,NLP,90,03/18/2022 12:00:00 AM
2022-03-22T09-16-18,27278,UNC HOSPITALS HILLSBOROUGH CAMPUS,NLP,NLP,NLP,90,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,27278,UNC HOSPITALS HILLSBOROUGH CAMPUS,NLP,NLP,NLP,90,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,27278,UNC HOSPITALS HILLSBOROUGH CAMPUS,NLP,NLP,NLP,90,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,27278,UNC HOSPITALS HILLSBOROUGH CAMPUS,NLP,NLP,NLP,90,03/22/2022 12:00:00 AM
2022-03-25T08-10-53,27278,UNC HOSPITALS HILLSBOROUGH CAMPUS,NLP,NLP,NLP,90,03/24/2022 12:00:00 AM
