2022-02-18T16-04-21,13676,Canton-Potsdam Hospital,02/17/2022 12:00:00 AM,,5,0,02/18/2022 12:00:00 AM
2022-03-03T09-56-49,13676,Canton-Potsdam Hospital,02/24/2022 12:00:00 AM,,20,5,02/28/2022 12:00:00 AM
2022-03-03T10-04-44,13676,Canton-Potsdam Hospital,02/24/2022 12:00:00 AM,02/25/2022 12:00:00 AM,20,20,03/01/2022 12:00:00 AM
2022-03-08T14-40-56,13676,Canton-Potsdam Hospital,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,40,20,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,13676,Canton-Potsdam Hospital,NLP,NLP,NLP,40,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,13676,Canton-Potsdam Hospital,NLP,NLP,NLP,40,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,13676,Canton-Potsdam Hospital,NLP,NLP,NLP,40,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,13676,Canton-Potsdam Hospital,NLP,NLP,NLP,40,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,13676,Canton-Potsdam Hospital,NLP,NLP,NLP,40,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,13676,Canton-Potsdam Hospital,NLP,NLP,NLP,40,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,13676,Canton-Potsdam Hospital,NLP,NLP,NLP,40,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,13676,Canton-Potsdam Hospital,NLP,NLP,NLP,40,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,13676,Canton-Potsdam Hospital,NLP,NLP,NLP,40,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,13676,Canton-Potsdam Hospital,NLP,NLP,NLP,40,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,13676,Canton-Potsdam Hospital,NLP,NLP,NLP,40,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,13676,Canton-Potsdam Hospital,NLP,NLP,NLP,40,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,13676,Canton-Potsdam Hospital,NLP,NLP,NLP,40,03/21/2022 12:00:00 AM
2022-03-24T07-49-11,13676,Canton-Potsdam Hospital,NLP,NLP,NLP,40,03/21/2022 12:00:00 AM
2022-03-24T13-46-29,13676,Canton-Potsdam Hospital,NLP,NLP,NLP,40,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,13676,Canton-Potsdam Hospital,NLP,NLP,NLP,40,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,13676,Canton-Potsdam Hospital,NLP,NLP,NLP,40,03/24/2022 12:00:00 AM
2022-03-26T12-42-50,13676,Canton-Potsdam Hospital,NLP,NLP,NLP,40,03/24/2022 12:00:00 AM
2022-03-27T06-25-27,13676,Canton-Potsdam Hospital,NLP,NLP,NLP,40,03/24/2022 12:00:00 AM
2022-03-28T06-21-17,13676,Canton-Potsdam Hospital,NLP,NLP,NLP,40,03/24/2022 12:00:00 AM
2022-03-29T08-50-48,13676,Canton-Potsdam Hospital,NLP,NLP,NLP,40,03/24/2022 12:00:00 AM
2022-03-30T09-27-07,13676,Canton-Potsdam Hospital,NLP,NLP,NLP,40,03/24/2022 12:00:00 AM
2022-03-31T08-53-07,13676,Canton-Potsdam Hospital,NLP,NLP,NLP,40,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,13676,Canton-Potsdam Hospital,NLP,NLP,NLP,40,03/30/2022 12:00:00 AM
