2022-03-08T14-40-56,50674,COMMUNITY MEMORIAL HOSPITAL MEDICAL,02/24/2022 12:00:00 AM,03/01/2022 12:00:00 AM,5,5,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,50674,COMMUNITY MEMORIAL HOSPITAL MEDICAL,NLP,NLP,NLP,5,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,50674,COMMUNITY MEMORIAL HOSPITAL MEDICAL,NLP,NLP,NLP,5,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,50674,COMMUNITY MEMORIAL HOSPITAL MEDICAL,NLP,NLP,NLP,5,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,50674,COMMUNITY MEMORIAL HOSPITAL MEDICAL,NLP,NLP,NLP,5,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,50674,COMMUNITY MEMORIAL HOSPITAL MEDICAL,NLP,NLP,NLP,5,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,50674,COMMUNITY MEMORIAL HOSPITAL MEDICAL,NLP,NLP,NLP,5,03/17/2022 12:00:00 AM
2022-03-19T11-58-02,50674,COMMUNITY MEMORIAL HOSPITAL MEDICAL,NLP,NLP,NLP,5,03/17/2022 12:00:00 AM
2022-03-20T06-05-37,50674,COMMUNITY MEMORIAL HOSPITAL MEDICAL,NLP,NLP,NLP,5,03/20/2022 12:00:00 AM
2022-03-21T06-11-50,50674,COMMUNITY MEMORIAL HOSPITAL MEDICAL,NLP,NLP,NLP,5,03/21/2022 12:00:00 AM
2022-03-21T14-18-38,50674,COMMUNITY MEMORIAL HOSPITAL MEDICAL,NLP,NLP,NLP,5,03/21/2022 12:00:00 AM
2022-03-21T16-35-27,50674,COMMUNITY MEMORIAL HOSPITAL MEDICAL,NLP,NLP,NLP,5,03/21/2022 12:00:00 AM
