2022-03-08T14-40-56,98362,OLYMPIC MEMORIAL HOSPITAL PHARMACY,03/03/2022 12:00:00 AM,03/04/2022 12:00:00 AM,5,5,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,98362,OLYMPIC MEMORIAL HOSPITAL PHARMACY,NLP,NLP,NLP,5,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,98362,OLYMPIC MEMORIAL HOSPITAL PHARMACY,NLP,NLP,NLP,5,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,98362,OLYMPIC MEMORIAL HOSPITAL PHARMACY,NLP,NLP,NLP,5,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,98362,OLYMPIC MEMORIAL HOSPITAL PHARMACY,NLP,NLP,NLP,5,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,98362,OLYMPIC MEMORIAL HOSPITAL PHARMACY,NLP,NLP,NLP,5,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,98362,OLYMPIC MEMORIAL HOSPITAL PHARMACY,NLP,NLP,NLP,5,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,98362,OLYMPIC MEMORIAL HOSPITAL PHARMACY,NLP,NLP,NLP,5,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,98362,OLYMPIC MEMORIAL HOSPITAL PHARMACY,NLP,NLP,NLP,5,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,98362,OLYMPIC MEMORIAL HOSPITAL PHARMACY,NLP,NLP,NLP,5,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,98362,OLYMPIC MEMORIAL HOSPITAL PHARMACY,NLP,NLP,NLP,5,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,98362,OLYMPIC MEMORIAL HOSPITAL PHARMACY,NLP,NLP,NLP,5,03/18/2022 12:00:00 AM
