2022-02-18T16-04-21,20007,MEDSTAR GEORGETOWN UNIVER HOSPITAL,02/17/2022 12:00:00 AM,,20,0,02/15/2022 12:00:00 AM
2022-03-03T09-56-49,20007,MEDSTAR GEORGETOWN UNIVER HOSPITAL,02/24/2022 12:00:00 AM,,45,20,02/24/2022 12:00:00 AM
2022-03-03T10-04-44,20007,MEDSTAR GEORGETOWN UNIVER HOSPITAL,02/24/2022 12:00:00 AM,03/01/2022 12:00:00 AM,45,20,02/24/2022 12:00:00 AM
2022-03-08T14-40-56,20007,MEDSTAR GEORGETOWN UNIVER HOSPITAL,02/24/2022 12:00:00 AM,03/01/2022 12:00:00 AM,45,20,02/24/2022 12:00:00 AM
2022-03-29T08-50-48,20007,MEDSTAR GEORGETOWN UNIVER HOSPITAL,NLP,NLP,NLP,45,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,20007,MEDSTAR GEORGETOWN UNIVER HOSPITAL,NLP,NLP,NLP,45,03/28/2022 12:00:00 AM
2022-03-31T08-53-07,20007,MEDSTAR GEORGETOWN UNIVER HOSPITAL,NLP,NLP,NLP,45,03/28/2022 12:00:00 AM
2022-03-31T15-09-22,20007,MEDSTAR GEORGETOWN UNIVER HOSPITAL,NLP,NLP,NLP,45,03/28/2022 12:00:00 AM
2022-04-01T06-54-45,20007,MEDSTAR GEORGETOWN UNIVER HOSPITAL,NLP,NLP,NLP,45,03/28/2022 12:00:00 AM
2022-04-02T06-05-59,20007,MEDSTAR GEORGETOWN UNIVER HOSPITAL,NLP,NLP,NLP,45,03/28/2022 12:00:00 AM
2022-04-03T05-51-54,20007,MEDSTAR GEORGETOWN UNIVER HOSPITAL,NLP,NLP,NLP,45,03/28/2022 12:00:00 AM
2022-04-04T05-38-24,20007,MEDSTAR GEORGETOWN UNIVER HOSPITAL,NLP,NLP,NLP,45,03/28/2022 12:00:00 AM
2022-04-05T05-48-33,20007,MEDSTAR GEORGETOWN UNIVER HOSPITAL,NLP,NLP,NLP,45,03/28/2022 12:00:00 AM
2022-04-06T05-45-18,20007,MEDSTAR GEORGETOWN UNIVER HOSPITAL,NLP,NLP,NLP,45,03/28/2022 12:00:00 AM
2022-04-07T05-34-07,20007,MEDSTAR GEORGETOWN UNIVER HOSPITAL,NLP,NLP,NLP,45,03/28/2022 12:00:00 AM
2022-04-08T05-48-29,20007,MEDSTAR GEORGETOWN UNIVER HOSPITAL,NLP,NLP,NLP,45,03/28/2022 12:00:00 AM
2022-04-09T05-41-09,20007,MEDSTAR GEORGETOWN UNIVER HOSPITAL,NLP,NLP,NLP,45,03/28/2022 12:00:00 AM
2022-04-10T09-31-27,20007,MEDSTAR GEORGETOWN UNIVER HOSPITAL,NLP,NLP,NLP,45,03/28/2022 12:00:00 AM
2022-04-11T07-06-23,20007,MEDSTAR GEORGETOWN UNIVER HOSPITAL,NLP,NLP,NLP,45,03/28/2022 12:00:00 AM
2022-04-12T07-06-55,20007,MEDSTAR GEORGETOWN UNIVER HOSPITAL,NLP,NLP,NLP,45,03/28/2022 12:00:00 AM
2022-04-13T09-20-57,20007,MEDSTAR GEORGETOWN UNIVER HOSPITAL,NLP,NLP,NLP,45,03/28/2022 12:00:00 AM
2022-04-13T11-55-39,20007,MEDSTAR GEORGETOWN UNIVER HOSPITAL,NLP,NLP,NLP,45,03/28/2022 12:00:00 AM
2022-04-14T09-18-06,20007,MEDSTAR GEORGETOWN UNIVER HOSPITAL,NLP,NLP,NLP,92,04/13/2022 12:00:00 AM
