2022-02-18T16-04-21,56001,MAYO CLINIC HLTH SYSTM MANKATO HOSP,02/18/2022 12:00:00 AM,,30,,
2022-03-03T09-56-49,56001,MAYO CLINIC HLTH SYSTM MANKATO HOSP,02/23/2022 12:00:00 AM,,150,,
2022-03-03T10-04-44,56001,MAYO CLINIC HLTH SYSTM MANKATO HOSP,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,150,,
2022-03-08T14-40-56,56001,MAYO CLINIC HLTH SYSTM MANKATO HOSP,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,150,80,03/03/2022 12:00:00 AM
2022-03-18T11-17-38,56001,MAYO CLINIC HLTH SYSTM MANKATO HOSP,NLP,NLP,NLP,205,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,56001,MAYO CLINIC HLTH SYSTM MANKATO HOSP,NLP,NLP,NLP,205,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,56001,MAYO CLINIC HLTH SYSTM MANKATO HOSP,NLP,NLP,NLP,205,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,56001,MAYO CLINIC HLTH SYSTM MANKATO HOSP,NLP,NLP,NLP,205,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,56001,MAYO CLINIC HLTH SYSTM MANKATO HOSP,NLP,NLP,NLP,205,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,56001,MAYO CLINIC HLTH SYSTM MANKATO HOSP,NLP,NLP,NLP,205,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,56001,MAYO CLINIC HLTH SYSTM MANKATO HOSP,NLP,NLP,NLP,205,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,56001,MAYO CLINIC HLTH SYSTM MANKATO HOSP,NLP,NLP,NLP,300,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,56001,MAYO CLINIC HLTH SYSTM MANKATO HOSP,NLP,NLP,NLP,300,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,56001,MAYO CLINIC HLTH SYSTM MANKATO HOSP,NLP,NLP,NLP,295,03/22/2022 12:00:00 AM
