2022-02-18T16-04-21,32159,THE VILLAGES REGIONAL HOSPITAL,02/17/2022 12:00:00 AM,,10,,
2022-03-03T09-56-49,32159,THE VILLAGES REGIONAL HOSPITAL,02/25/2022 12:00:00 AM,,60,10,02/25/2022 12:00:00 AM
2022-03-03T10-04-44,32159,THE VILLAGES REGIONAL HOSPITAL,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,60,10,02/25/2022 12:00:00 AM
2022-03-08T14-40-56,32159,The Villages Regional Hospital,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,60,160,03/03/2022 12:00:00 AM
2022-03-18T09-58-11,32159,The Villages Regional Hospital,NLP,NLP,NLP,160,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,32159,The Villages Regional Hospital,NLP,NLP,NLP,160,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,32159,The Villages Regional Hospital,NLP,NLP,NLP,160,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,32159,The Villages Regional Hospital,NLP,NLP,NLP,160,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,32159,The Villages Regional Hospital,NLP,NLP,NLP,160,03/17/2022 12:00:00 AM
2022-03-19T11-58-02,32159,The Villages Regional Hospital,NLP,NLP,NLP,160,03/17/2022 12:00:00 AM
2022-03-20T06-05-37,32159,The Villages Regional Hospital,NLP,NLP,NLP,160,03/17/2022 12:00:00 AM
2022-03-21T06-11-50,32159,The Villages Regional Hospital,NLP,NLP,NLP,160,03/17/2022 12:00:00 AM
