2022-03-08T14-40-56,74743,Choctaw Memorial Hospital,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,20,20,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,74743,Choctaw Memorial Hospital,NLP,NLP,NLP,20,03/10/2022 12:00:00 AM
2022-03-18T09-58-11,74743,Choctaw Memorial Hospital,NLP,NLP,NLP,20,03/14/2022 12:00:00 AM
2022-03-18T11-03-37,74743,Choctaw Memorial Hospital,NLP,NLP,NLP,20,03/14/2022 12:00:00 AM
2022-03-18T11-17-38,74743,Choctaw Memorial Hospital,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,74743,Choctaw Memorial Hospital,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,74743,Choctaw Memorial Hospital,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-19T11-58-02,74743,Choctaw Memorial Hospital,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-20T06-05-37,74743,Choctaw Memorial Hospital,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-21T06-11-50,74743,Choctaw Memorial Hospital,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-21T14-18-38,74743,Choctaw Memorial Hospital,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
