2022-02-18T16-04-21,15203,UPMC/HC PHARMACY,02/16/2022 12:00:00 AM,,80,,
2022-03-03T09-56-49,15203,UPMC/HC PHARMACY,02/28/2022 12:00:00 AM,,695,,
2022-03-03T10-04-44,15203,UPMC/HC PHARMACY,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,695,,
2022-03-08T14-40-56,15203,UPMC/HC PHARMACY,03/07/2022 12:00:00 AM,03/02/2022 12:00:00 AM,1125,,
2022-03-16T18-51-35,15203,UPMC/HC PHARMACY,NLP,NLP,NLP,695,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,15203,UPMC/HC PHARMACY,NLP,NLP,NLP,1125,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,15203,UPMC/HC PHARMACY,NLP,NLP,NLP,1125,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,15203,UPMC/HC PHARMACY,NLP,NLP,NLP,1125,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,15203,UPMC/HC PHARMACY,NLP,NLP,NLP,1125,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,15203,UPMC/HC PHARMACY,NLP,NLP,NLP,1125,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,15203,UPMC/HC PHARMACY,NLP,NLP,NLP,1125,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,15203,UPMC/HC PHARMACY,NLP,NLP,NLP,1125,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,15203,UPMC/HC PHARMACY,NLP,NLP,NLP,1125,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,15203,UPMC/HC PHARMACY,NLP,NLP,NLP,1125,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,15203,UPMC/HC PHARMACY,NLP,NLP,NLP,1125,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,15203,UPMC/HC PHARMACY,NLP,NLP,NLP,1125,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,15203,UPMC/HC PHARMACY,NLP,NLP,NLP,1125,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,15203,UPMC/HC PHARMACY,NLP,NLP,NLP,1125,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,15203,UPMC/HC PHARMACY,NLP,NLP,NLP,1125,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,15203,UPMC/HC PHARMACY,NLP,NLP,NLP,1125,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,15203,UPMC/HC PHARMACY,NLP,NLP,NLP,1670,03/25/2022 12:00:00 AM
