2022-02-18T16-04-21,17042,WELLSPAN GOOD SAMARITAN HOSPITAL,02/16/2022 12:00:00 AM,,5,,
2022-03-03T09-56-49,17042,WELLSPAN GOOD SAMARITAN HOSPITAL,02/28/2022 12:00:00 AM,,25,,
2022-03-03T10-04-44,17042,WELLSPAN GOOD SAMARITAN HOSPITAL,02/28/2022 12:00:00 AM,02/25/2022 12:00:00 AM,25,,
2022-03-08T14-40-56,17042,WELLSPAN GOOD SAMARITAN HOSPITAL,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,25,,
2022-03-16T18-51-35,17042,WELLSPAN GOOD SAMARITAN HOSPITAL,NLP,NLP,NLP,25,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,17042,WELLSPAN GOOD SAMARITAN HOSPITAL,NLP,NLP,NLP,25,03/11/2022 12:00:00 AM
2022-03-18T11-03-37,17042,WELLSPAN GOOD SAMARITAN HOSPITAL,NLP,NLP,NLP,25,03/11/2022 12:00:00 AM
2022-03-18T11-17-38,17042,WELLSPAN GOOD SAMARITAN HOSPITAL,NLP,NLP,NLP,25,03/11/2022 12:00:00 AM
2022-03-18T15-22-50,17042,WELLSPAN GOOD SAMARITAN HOSPITAL,NLP,NLP,NLP,25,03/11/2022 12:00:00 AM
2022-03-19T08-15-59,17042,WELLSPAN GOOD SAMARITAN HOSPITAL,NLP,NLP,NLP,25,03/11/2022 12:00:00 AM
2022-03-29T08-50-48,17042,WELLSPAN GOOD SAMARITAN HOSPITAL,NLP,NLP,NLP,25,03/11/2022 12:00:00 AM
2022-03-30T09-27-07,17042,WELLSPAN GOOD SAMARITAN HOSPITAL,NLP,NLP,NLP,25,03/11/2022 12:00:00 AM
