2022-02-18T16-04-21,25309,Thomas Memorial Hospital-inpt,02/15/2022 12:00:00 AM,,10,,
2022-03-03T09-56-49,25309,Thomas Memorial Hospital-inpt,02/28/2022 12:00:00 AM,,30,,
2022-03-03T10-04-44,25309,Thomas Memorial Hospital-inpt,02/28/2022 12:00:00 AM,02/24/2022 12:00:00 AM,30,,
2022-03-08T14-40-56,25309,Thomas Memorial Hospital-inpt,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,30,,
2022-06-14T04-15-16,25309,Thomas Memorial Hospital-inpt,NLP,NLP,NLP,29,06/13/2022 12:00:00 AM
2022-06-15T04-15-27,25309,Thomas Memorial Hospital-inpt,NLP,NLP,NLP,29,06/13/2022 12:00:00 AM
2022-06-16T04-15-45,25309,Thomas Memorial Hospital-inpt,NLP,NLP,NLP,29,06/13/2022 12:00:00 AM
2022-06-17T04-15-27,25309,Thomas Memorial Hospital-inpt,NLP,NLP,NLP,29,06/13/2022 12:00:00 AM
2022-06-18T04-15-18,25309,Thomas Memorial Hospital-inpt,NLP,NLP,NLP,29,06/13/2022 12:00:00 AM
2022-06-19T04-15-29,25309,Thomas Memorial Hospital-inpt,NLP,NLP,NLP,29,06/13/2022 12:00:00 AM
2022-06-20T04-15-58,25309,Thomas Memorial Hospital-inpt,NLP,NLP,NLP,29,06/13/2022 12:00:00 AM
2022-06-21T04-15-35,25309,Thomas Memorial Hospital-inpt,NLP,NLP,NLP,29,06/13/2022 12:00:00 AM
2022-06-22T04-15-20,25309,Thomas Memorial Hospital-inpt,NLP,NLP,NLP,29,06/13/2022 12:00:00 AM
2022-06-23T04-15-16,25309,Thomas Memorial Hospital-inpt,NLP,NLP,NLP,29,06/13/2022 12:00:00 AM
2022-06-24T04-15-26,25309,Thomas Memorial Hospital-inpt,NLP,NLP,NLP,29,06/13/2022 12:00:00 AM
2022-06-25T04-15-18,25309,Thomas Memorial Hospital-inpt,NLP,NLP,NLP,29,06/13/2022 12:00:00 AM
2022-06-26T04-15-17,25309,Thomas Memorial Hospital-inpt,NLP,NLP,NLP,29,06/13/2022 12:00:00 AM
2022-06-27T04-15-31,25309,Thomas Memorial Hospital-inpt,NLP,NLP,NLP,29,06/13/2022 12:00:00 AM
2022-07-01T04-15-22,25309,Thomas Memorial Hospital-inpt,NLP,NLP,NLP,18,06/30/2022 12:00:00 AM
2022-07-03T14-40-38,25309,Thomas Memorial Hospital-inpt,NLP,NLP,NLP,18,06/30/2022 12:00:00 AM
2022-07-04T04-15-29,25309,Thomas Memorial Hospital-inpt,NLP,NLP,NLP,18,06/30/2022 12:00:00 AM
2022-07-05T04-15-18,25309,Thomas Memorial Hospital-inpt,NLP,NLP,NLP,18,06/30/2022 12:00:00 AM
2022-07-06T04-15-19,25309,Thomas Memorial Hospital-inpt,NLP,NLP,NLP,18,06/30/2022 12:00:00 AM
2022-07-07T04-15-17,25309,Thomas Memorial Hospital-inpt,NLP,NLP,NLP,18,06/30/2022 12:00:00 AM
2022-07-07T13-15-18,25309,Thomas Memorial Hospital-inpt,NLP,NLP,NLP,18,06/30/2022 12:00:00 AM
2022-07-08T04-15-19,25309,Thomas Memorial Hospital-inpt,NLP,NLP,NLP,18,06/30/2022 12:00:00 AM
2022-07-09T04-15-19,25309,Thomas Memorial Hospital-inpt,NLP,NLP,NLP,18,06/30/2022 12:00:00 AM
2022-07-10T04-15-26,25309,Thomas Memorial Hospital-inpt,NLP,NLP,NLP,18,06/30/2022 12:00:00 AM
2022-07-11T04-15-25,25309,Thomas Memorial Hospital-inpt,NLP,NLP,NLP,18,06/30/2022 12:00:00 AM
2022-07-12T04-15-22,25309,Thomas Memorial Hospital-inpt,NLP,NLP,NLP,18,06/30/2022 12:00:00 AM
2022-07-13T04-15-22,25309,Thomas Memorial Hospital-inpt,NLP,NLP,NLP,18,06/30/2022 12:00:00 AM
2022-07-14T04-15-29,25309,Thomas Memorial Hospital-inpt,NLP,NLP,NLP,18,06/30/2022 12:00:00 AM
2022-07-15T04-15-46,25309,Thomas Memorial Hospital-inpt,NLP,NLP,NLP,8,07/14/2022 12:00:00 AM
2022-07-17T04-15-18,25309,Thomas Memorial Hospital-inpt,NLP,NLP,NLP,8,07/14/2022 12:00:00 AM
2022-07-18T04-15-21,25309,Thomas Memorial Hospital-inpt,NLP,NLP,NLP,8,07/14/2022 12:00:00 AM
2022-07-18T07-55-19,25309,Thomas Memorial Hospital-inpt,NLP,NLP,NLP,8,07/14/2022 12:00:00 AM
