2022-02-18T16-04-21,45177,CLINTON MEMORIAL HOSPITAL,02/16/2022 12:00:00 AM,,10,0,02/16/2022 12:00:00 AM
2022-03-18T09-58-11,45177,CLINTON MEMORIAL HOSPITAL,NLP,NLP,NLP,35,03/14/2022 12:00:00 AM
2022-03-18T11-03-37,45177,CLINTON MEMORIAL HOSPITAL,NLP,NLP,NLP,35,03/14/2022 12:00:00 AM
2022-03-18T11-17-38,45177,CLINTON MEMORIAL HOSPITAL,NLP,NLP,NLP,35,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,45177,CLINTON MEMORIAL HOSPITAL,NLP,NLP,NLP,35,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,45177,CLINTON MEMORIAL HOSPITAL,NLP,NLP,NLP,35,03/17/2022 12:00:00 AM
2022-03-19T11-58-02,45177,CLINTON MEMORIAL HOSPITAL,NLP,NLP,NLP,35,03/17/2022 12:00:00 AM
2022-03-20T06-05-37,45177,CLINTON MEMORIAL HOSPITAL,NLP,NLP,NLP,35,03/17/2022 12:00:00 AM
2022-03-21T06-11-50,45177,CLINTON MEMORIAL HOSPITAL,NLP,NLP,NLP,35,03/17/2022 12:00:00 AM
2022-03-21T14-18-38,45177,CLINTON MEMORIAL HOSPITAL,NLP,NLP,NLP,35,03/17/2022 12:00:00 AM
2022-03-21T16-35-27,45177,CLINTON MEMORIAL HOSPITAL,NLP,NLP,NLP,30,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,45177,CLINTON MEMORIAL HOSPITAL,NLP,NLP,NLP,30,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,45177,CLINTON MEMORIAL HOSPITAL,NLP,NLP,NLP,30,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,45177,CLINTON MEMORIAL HOSPITAL,NLP,NLP,NLP,30,03/22/2022 12:00:00 AM
