2022-03-08T14-40-56,73505,COMANCHE COUNTY MEMORIAL HOSPITAL,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,35,35,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,73505,COMANCHE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,35,03/11/2022 12:00:00 AM
2022-03-18T11-17-38,73505,COMANCHE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,35,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,73505,COMANCHE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,35,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,73505,COMANCHE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,35,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,73505,COMANCHE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,35,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,73505,COMANCHE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,35,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,73505,COMANCHE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,35,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,73505,COMANCHE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,35,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,73505,COMANCHE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,35,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,73505,COMANCHE COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,35,03/21/2022 12:00:00 AM
