2022-02-18T16-04-21,71465,HARDTNER MEDICAL CENTER,02/14/2022 12:00:00 AM,,5,0,02/18/2022 12:00:00 AM
2022-03-03T09-56-49,71465,HARDTNER MEDICAL CENTER,02/21/2022 12:00:00 AM,,10,10,02/28/2022 12:00:00 AM
2022-03-03T10-04-44,71465,HARDTNER MEDICAL CENTER,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,10,10,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,71465,HARDTNER MEDICAL CENTER,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,10,10,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,71465,HARDTNER MEDICAL CENTER,NLP,NLP,NLP,10,03/08/2022 12:00:00 AM
2022-03-18T11-17-38,71465,HARDTNER MEDICAL CENTER,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,71465,HARDTNER MEDICAL CENTER,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,71465,HARDTNER MEDICAL CENTER,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,71465,HARDTNER MEDICAL CENTER,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,71465,HARDTNER MEDICAL CENTER,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,71465,HARDTNER MEDICAL CENTER,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,71465,HARDTNER MEDICAL CENTER,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,71465,HARDTNER MEDICAL CENTER,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,71465,HARDTNER MEDICAL CENTER,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,71465,HARDTNER MEDICAL CENTER,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,71465,HARDTNER MEDICAL CENTER,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-03-26T06-57-27,71465,HARDTNER MEDICAL CENTER,NLP,NLP,NLP,10,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,71465,HARDTNER MEDICAL CENTER,NLP,NLP,NLP,10,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,71465,HARDTNER MEDICAL CENTER,NLP,NLP,NLP,10,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,71465,HARDTNER MEDICAL CENTER,NLP,NLP,NLP,10,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,71465,HARDTNER MEDICAL CENTER,NLP,NLP,NLP,10,03/25/2022 12:00:00 AM
2022-03-30T09-27-07,71465,HARDTNER MEDICAL CENTER,NLP,NLP,NLP,10,03/25/2022 12:00:00 AM
2022-03-31T08-53-07,71465,HARDTNER MEDICAL CENTER,NLP,NLP,NLP,10,03/25/2022 12:00:00 AM
2022-03-31T15-09-22,71465,HARDTNER MEDICAL CENTER,NLP,NLP,NLP,10,03/25/2022 12:00:00 AM
2022-04-01T06-54-45,71465,HARDTNER MEDICAL CENTER,NLP,NLP,NLP,10,03/25/2022 12:00:00 AM
2022-04-02T06-05-59,71465,HARDTNER MEDICAL CENTER,NLP,NLP,NLP,10,03/25/2022 12:00:00 AM
2022-04-03T05-51-54,71465,HARDTNER MEDICAL CENTER,NLP,NLP,NLP,10,03/25/2022 12:00:00 AM
