2022-02-18T16-04-21,35960,CHEROKEE MEDICAL CENTER,02/17/2022 12:00:00 AM,,10,0,02/16/2022 12:00:00 AM
2022-04-05T05-48-33,35960,CHEROKEE MEDICAL CENTER,NLP,NLP,NLP,0,02/16/2022 12:00:00 AM
2022-04-06T05-45-18,35960,CHEROKEE MEDICAL CENTER,NLP,NLP,NLP,0,02/16/2022 12:00:00 AM
2022-04-07T05-34-07,35960,CHEROKEE MEDICAL CENTER,NLP,NLP,NLP,0,02/16/2022 12:00:00 AM
2022-04-08T05-48-29,35960,CHEROKEE MEDICAL CENTER,NLP,NLP,NLP,0,02/16/2022 12:00:00 AM
2022-04-09T05-41-09,35960,CHEROKEE MEDICAL CENTER,NLP,NLP,NLP,0,02/16/2022 12:00:00 AM
2022-04-10T09-31-27,35960,CHEROKEE MEDICAL CENTER,NLP,NLP,NLP,0,02/16/2022 12:00:00 AM
2022-04-11T07-06-23,35960,CHEROKEE MEDICAL CENTER,NLP,NLP,NLP,0,02/16/2022 12:00:00 AM
2022-04-12T07-06-55,35960,CHEROKEE MEDICAL CENTER,NLP,NLP,NLP,0,02/16/2022 12:00:00 AM
2022-04-13T09-20-57,35960,CHEROKEE MEDICAL CENTER,NLP,NLP,NLP,0,02/16/2022 12:00:00 AM
2022-04-13T11-55-39,35960,CHEROKEE MEDICAL CENTER,NLP,NLP,NLP,0,02/16/2022 12:00:00 AM
2022-04-14T09-18-06,35960,CHEROKEE MEDICAL CENTER,NLP,NLP,NLP,0,02/16/2022 12:00:00 AM
2022-04-15T06-03-51,35960,CHEROKEE MEDICAL CENTER,NLP,NLP,NLP,0,02/16/2022 12:00:00 AM
2022-04-16T05-33-42,35960,CHEROKEE MEDICAL CENTER,NLP,NLP,NLP,0,02/16/2022 12:00:00 AM
2022-04-17T05-32-24,35960,CHEROKEE MEDICAL CENTER,NLP,NLP,NLP,0,02/16/2022 12:00:00 AM
2022-04-18T05-31-10,35960,CHEROKEE MEDICAL CENTER,NLP,NLP,NLP,0,02/16/2022 12:00:00 AM
2022-04-19T05-39-24,35960,CHEROKEE MEDICAL CENTER,NLP,NLP,NLP,0,02/16/2022 12:00:00 AM
2022-04-20T05-27-37,35960,CHEROKEE MEDICAL CENTER,NLP,NLP,NLP,0,02/16/2022 12:00:00 AM
