2022-02-18T16-04-21,50138,KNOXVILLE HOSPITAL and CLINICS,02/16/2022 12:00:00 AM,,10,,
2022-03-03T09-56-49,50138,KNOXVILLE HOSPITAL and CLINICS,02/24/2022 12:00:00 AM,,20,,
2022-03-03T10-04-44,50138,KNOXVILLE HOSPITAL and CLINICS,02/24/2022 12:00:00 AM,03/01/2022 12:00:00 AM,20,,
2022-03-08T14-40-56,50138,KNOXVILLE HOSPITAL and CLINICS,03/03/2022 12:00:00 AM,03/04/2022 12:00:00 AM,50,50,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,50138,KNOXVILLE HOSPITAL and CLINICS,NLP,NLP,NLP,60,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,50138,KNOXVILLE HOSPITAL and CLINICS,NLP,NLP,NLP,60,03/11/2022 12:00:00 AM
2022-03-18T11-03-37,50138,KNOXVILLE HOSPITAL and CLINICS,NLP,NLP,NLP,60,03/11/2022 12:00:00 AM
2022-03-18T11-17-38,50138,KNOXVILLE HOSPITAL and CLINICS,NLP,NLP,NLP,60,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,50138,KNOXVILLE HOSPITAL and CLINICS,NLP,NLP,NLP,60,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,50138,KNOXVILLE HOSPITAL and CLINICS,NLP,NLP,NLP,60,03/17/2022 12:00:00 AM
2022-03-19T11-58-02,50138,KNOXVILLE HOSPITAL and CLINICS,NLP,NLP,NLP,80,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,50138,KNOXVILLE HOSPITAL and CLINICS,NLP,NLP,NLP,80,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,50138,KNOXVILLE HOSPITAL and CLINICS,NLP,NLP,NLP,80,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,50138,KNOXVILLE HOSPITAL and CLINICS,NLP,NLP,NLP,80,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,50138,KNOXVILLE HOSPITAL and CLINICS,NLP,NLP,NLP,80,03/18/2022 12:00:00 AM
2022-03-22T09-16-18,50138,KNOXVILLE HOSPITAL and CLINICS,NLP,NLP,NLP,80,03/18/2022 12:00:00 AM
