2022-02-18T16-04-21,14620,HIGHLAND HOSPITAL,02/17/2022 12:00:00 AM,,15,,
2022-03-03T09-56-49,14620,HIGHLAND HOSPITAL,02/24/2022 12:00:00 AM,,40,,
2022-03-03T10-04-44,14620,HIGHLAND HOSPITAL,02/24/2022 12:00:00 AM,02/25/2022 12:00:00 AM,40,,
2022-03-08T14-40-56,14620,HIGHLAND HOSPITAL,02/24/2022 12:00:00 AM,02/25/2022 12:00:00 AM,40,,
2022-05-21T05-54-21,14620,HIGHLAND HOSPITAL,NLP,NLP,NLP,38,05/20/2022 12:00:00 AM
2022-05-22T09-07-10,14620,HIGHLAND HOSPITAL,NLP,NLP,NLP,38,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,14620,HIGHLAND HOSPITAL,NLP,NLP,NLP,38,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,14620,HIGHLAND HOSPITAL,NLP,NLP,NLP,38,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,14620,HIGHLAND HOSPITAL,NLP,NLP,NLP,38,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,14620,HIGHLAND HOSPITAL,NLP,NLP,NLP,38,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,14620,HIGHLAND HOSPITAL,NLP,NLP,NLP,38,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,14620,HIGHLAND HOSPITAL,NLP,NLP,NLP,38,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,14620,HIGHLAND HOSPITAL,NLP,NLP,NLP,38,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,14620,HIGHLAND HOSPITAL,NLP,NLP,NLP,38,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,14620,HIGHLAND HOSPITAL,NLP,NLP,NLP,38,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,14620,HIGHLAND HOSPITAL,NLP,NLP,NLP,38,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,14620,HIGHLAND HOSPITAL,NLP,NLP,NLP,38,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,14620,HIGHLAND HOSPITAL,NLP,NLP,NLP,38,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,14620,HIGHLAND HOSPITAL,NLP,NLP,NLP,38,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,14620,HIGHLAND HOSPITAL,NLP,NLP,NLP,38,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,14620,HIGHLAND HOSPITAL,NLP,NLP,NLP,38,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,14620,HIGHLAND HOSPITAL,NLP,NLP,NLP,38,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,14620,HIGHLAND HOSPITAL,NLP,NLP,NLP,38,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,14620,HIGHLAND HOSPITAL,NLP,NLP,NLP,38,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,14620,HIGHLAND HOSPITAL,NLP,NLP,NLP,38,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,14620,HIGHLAND HOSPITAL,NLP,NLP,NLP,38,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,14620,HIGHLAND HOSPITAL,NLP,NLP,NLP,38,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,14620,HIGHLAND HOSPITAL,NLP,NLP,NLP,38,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,14620,HIGHLAND HOSPITAL,NLP,NLP,NLP,38,05/20/2022 12:00:00 AM
