2022-02-18T16-04-21,67337,COFFEYVILLE REG MED CTR,02/14/2022 12:00:00 AM,,5,,
2022-03-03T09-56-49,67337,COFFEYVILLE REG MED CTR,02/21/2022 12:00:00 AM,,15,,
2022-03-03T10-04-44,67337,COFFEYVILLE REG MED CTR,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,15,,
2022-03-08T14-40-56,67337,COFFEYVILLE REG MED CTR,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,15,,
2022-03-16T18-51-35,67337,COFFEYVILLE REG MED CTR,NLP,NLP,NLP,15,03/10/2022 12:00:00 AM
2022-03-18T09-58-11,67337,COFFEYVILLE REG MED CTR,NLP,NLP,NLP,15,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,67337,COFFEYVILLE REG MED CTR,NLP,NLP,NLP,15,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,67337,COFFEYVILLE REG MED CTR,NLP,NLP,NLP,15,03/15/2022 12:00:00 AM
2022-03-18T15-22-50,67337,COFFEYVILLE REG MED CTR,NLP,NLP,NLP,15,03/15/2022 12:00:00 AM
2022-03-19T08-15-59,67337,COFFEYVILLE REG MED CTR,NLP,NLP,NLP,15,03/15/2022 12:00:00 AM
2022-03-19T11-58-02,67337,COFFEYVILLE REG MED CTR,NLP,NLP,NLP,15,03/15/2022 12:00:00 AM
2022-03-20T06-05-37,67337,COFFEYVILLE REG MED CTR,NLP,NLP,NLP,15,03/15/2022 12:00:00 AM
2022-03-21T06-11-50,67337,COFFEYVILLE REG MED CTR,NLP,NLP,NLP,15,03/15/2022 12:00:00 AM
2022-03-21T14-18-38,67337,COFFEYVILLE REG MED CTR,NLP,NLP,NLP,15,03/15/2022 12:00:00 AM
2022-03-21T16-35-27,67337,COFFEYVILLE REG MED CTR,NLP,NLP,NLP,15,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,67337,COFFEYVILLE REG MED CTR,NLP,NLP,NLP,15,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,67337,COFFEYVILLE REG MED CTR,NLP,NLP,NLP,15,03/21/2022 12:00:00 AM
2022-03-24T07-49-11,67337,COFFEYVILLE REG MED CTR,NLP,NLP,NLP,15,03/21/2022 12:00:00 AM
