2022-02-18T16-04-21,33898,MORNING STAR HEALTH SOLUTIONS INC,02/17/2022 12:00:00 AM,,5,0,02/16/2022 12:00:00 AM
2022-03-03T09-56-49,33898,MORNING STAR HEALTH SOLUTIONS INC,02/25/2022 12:00:00 AM,,20,5,02/23/2022 12:00:00 AM
2022-03-03T10-04-44,33898,MORNING STAR HEALTH SOLUTIONS INC,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,20,20,03/01/2022 12:00:00 AM
2022-03-08T14-40-56,33898,Morning Star Health Solutions; Inc,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,20,20,03/04/2022 12:00:00 AM
2022-03-16T18-51-35,33898,Morning Star Health Solutions; Inc,NLP,NLP,NLP,20,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,33898,Morning Star Health Solutions; Inc,NLP,NLP,NLP,20,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,33898,Morning Star Health Solutions; Inc,NLP,NLP,NLP,20,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,33898,Morning Star Health Solutions; Inc,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,33898,Morning Star Health Solutions; Inc,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,33898,Morning Star Health Solutions; Inc,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-19T11-58-02,33898,Morning Star Health Solutions; Inc,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-20T06-05-37,33898,Morning Star Health Solutions; Inc,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-21T06-11-50,33898,Morning Star Health Solutions; Inc,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-21T14-18-38,33898,Morning Star Health Solutions; Inc,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-21T16-35-27,33898,Morning Star Health Solutions; Inc,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-22T09-16-18,33898,Morning Star Health Solutions; Inc,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-23T08-41-43,33898,Morning Star Health Solutions; Inc,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-24T07-49-11,33898,Morning Star Health Solutions; Inc,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-24T13-46-29,33898,Morning Star Health Solutions; Inc,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
