2022-02-18T16-04-21,15102,SPARTAN PHARMACY BETHEL PARK,02/16/2022 12:00:00 AM,,50,,
2022-03-03T09-56-49,15102,SPARTAN PHARMACY BETHEL PARK,02/23/2022 12:00:00 AM,,100,25,02/24/2022 12:00:00 AM
2022-03-03T10-04-44,15102,SPARTAN PHARMACY BETHEL PARK,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,100,25,02/24/2022 12:00:00 AM
2022-03-08T14-40-56,15102,SPARTAN PHARMACY BETHEL PARK,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,100,25,02/24/2022 12:00:00 AM
2022-03-16T18-51-35,15102,SPARTAN PHARMACY BETHEL PARK,NLP,NLP,NLP,86,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,15102,SPARTAN PHARMACY BETHEL PARK,NLP,NLP,NLP,86,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,15102,SPARTAN PHARMACY BETHEL PARK,NLP,NLP,NLP,86,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,15102,SPARTAN PHARMACY BETHEL PARK,NLP,NLP,NLP,50,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,15102,SPARTAN PHARMACY BETHEL PARK,NLP,NLP,NLP,50,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,15102,SPARTAN PHARMACY BETHEL PARK,NLP,NLP,NLP,50,03/17/2022 12:00:00 AM
2022-03-19T11-58-02,15102,SPARTAN PHARMACY BETHEL PARK,NLP,NLP,NLP,50,03/17/2022 12:00:00 AM
2022-03-20T06-05-37,15102,SPARTAN PHARMACY BETHEL PARK,NLP,NLP,NLP,50,03/17/2022 12:00:00 AM
2022-03-21T06-11-50,15102,SPARTAN PHARMACY BETHEL PARK,NLP,NLP,NLP,50,03/17/2022 12:00:00 AM
2022-03-21T14-18-38,15102,SPARTAN PHARMACY BETHEL PARK,NLP,NLP,NLP,50,03/17/2022 12:00:00 AM
2022-03-21T16-35-27,15102,SPARTAN PHARMACY BETHEL PARK,NLP,NLP,NLP,50,03/17/2022 12:00:00 AM
2022-03-22T09-16-18,15102,SPARTAN PHARMACY BETHEL PARK,NLP,NLP,NLP,50,03/17/2022 12:00:00 AM
2022-03-23T08-41-43,15102,SPARTAN PHARMACY BETHEL PARK,NLP,NLP,NLP,50,03/17/2022 12:00:00 AM
2022-03-24T07-49-11,15102,SPARTAN PHARMACY BETHEL PARK,NLP,NLP,NLP,50,03/17/2022 12:00:00 AM
2022-04-21T05-29-54,15102,SPARTAN PHARMACY BETHEL PARK,NLP,NLP,NLP,0,04/06/2022 12:00:00 AM
2022-04-22T05-26-18,15102,SPARTAN PHARMACY BETHEL PARK,NLP,NLP,NLP,0,04/06/2022 12:00:00 AM
2022-04-23T05-25-10,15102,SPARTAN PHARMACY BETHEL PARK,NLP,NLP,NLP,0,04/06/2022 12:00:00 AM
2022-04-24T05-22-24,15102,SPARTAN PHARMACY BETHEL PARK,NLP,NLP,NLP,0,04/06/2022 12:00:00 AM
2022-04-25T05-22-33,15102,SPARTAN PHARMACY BETHEL PARK,NLP,NLP,NLP,0,04/06/2022 12:00:00 AM
2022-04-26T05-20-54,15102,SPARTAN PHARMACY BETHEL PARK,NLP,NLP,NLP,0,04/06/2022 12:00:00 AM
2022-04-27T05-23-49,15102,SPARTAN PHARMACY BETHEL PARK,NLP,NLP,NLP,0,04/06/2022 12:00:00 AM
2022-05-21T05-54-21,15102,SPARTAN PHARMACY BETHEL PARK,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-22T09-07-10,15102,SPARTAN PHARMACY BETHEL PARK,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,15102,SPARTAN PHARMACY BETHEL PARK,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,15102,SPARTAN PHARMACY BETHEL PARK,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,15102,SPARTAN PHARMACY BETHEL PARK,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,15102,SPARTAN PHARMACY BETHEL PARK,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,15102,SPARTAN PHARMACY BETHEL PARK,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,15102,SPARTAN PHARMACY BETHEL PARK,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,15102,SPARTAN PHARMACY BETHEL PARK,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,15102,SPARTAN PHARMACY BETHEL PARK,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,15102,SPARTAN PHARMACY BETHEL PARK,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,15102,SPARTAN PHARMACY BETHEL PARK,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,15102,SPARTAN PHARMACY BETHEL PARK,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,15102,SPARTAN PHARMACY BETHEL PARK,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
